effect_id,bank_id,reporting_year,driver_type,linked_id,affected_statement,line_item,effect_timing,horizon,quantitative_effect_meur,qualitative_description,material_adjustment_next_period_flag,basis,is_synthetic
FE-RISK-BANK01-2024-0006,BANK01,2024,risk,RISK-BANK01-2024-0006,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,current,short_0_2yr,16.52,Current-period effect attributable to: Transition risk — EV shift in auto lending.,True,modelled_estimate,True
FE-RISK-BANK01-2024-0006-ANT,BANK01,2024,risk,RISK-BANK01-2024-0006,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,anticipated,short_0_2yr,165.2,Anticipated short_0_2yr effect attributable to: Transition risk — EV shift in auto lending.,True,modelled_estimate,True
FE-RISK-BANK01-2024-0005,BANK01,2024,risk,RISK-BANK01-2024-0005,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,current,long_5yr_plus,13.65,Current-period effect attributable to: Stranded assets — fossil fuel sector exposure.,False,modelled_estimate,True
FE-RISK-BANK01-2024-0005-ANT,BANK01,2024,risk,RISK-BANK01-2024-0005,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,anticipated,long_5yr_plus,136.5,Anticipated long_5yr_plus effect attributable to: Stranded assets — fossil fuel sector exposure.,False,modelled_estimate,True
FE-RISK-BANK01-2024-0008,BANK01,2024,risk,RISK-BANK01-2024-0008,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,current,medium_2_5yr,6.75,Current-period effect attributable to: Transition risk — carbon pricing on industrial loans.,False,modelled_estimate,True
FE-RISK-BANK01-2024-0008-ANT,BANK01,2024,risk,RISK-BANK01-2024-0008,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,anticipated,medium_2_5yr,67.5,Anticipated medium_2_5yr effect attributable to: Transition risk — carbon pricing on industrial loans.,False,modelled_estimate,True
FE-RISK-BANK02-2024-0005,BANK02,2024,risk,RISK-BANK02-2024-0005,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,current,medium_2_5yr,44.12,Current-period effect attributable to: Physical risk — mortgage book flood exposure.,False,modelled_estimate,True
FE-RISK-BANK02-2024-0005-ANT,BANK02,2024,risk,RISK-BANK02-2024-0005,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,anticipated,medium_2_5yr,441.2,Anticipated medium_2_5yr effect attributable to: Physical risk — mortgage book flood exposure.,False,modelled_estimate,True
FE-RISK-BANK02-2024-0002,BANK02,2024,risk,RISK-BANK02-2024-0002,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,current,long_5yr_plus,22.94,Current-period effect attributable to: Physical risk — wildfire exposure in southern portfolio.,False,modelled_estimate,True
FE-RISK-BANK02-2024-0002-ANT,BANK02,2024,risk,RISK-BANK02-2024-0002,balance_sheet/income_statement,Loans and advances - collateral value / ECL allowance,anticipated,long_5yr_plus,229.4,Anticipated long_5yr_plus effect attributable to: Physical risk — wildfire exposure in southern portfolio.,False,modelled_estimate,True
FE-RISK-BANK02-2024-0006,BANK02,2024,risk,RISK-BANK02-2024-0006,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,current,medium_2_5yr,13.11,Current-period effect attributable to: Stranded assets — fossil fuel sector exposure.,False,modelled_estimate,True
FE-RISK-BANK02-2024-0006-ANT,BANK02,2024,risk,RISK-BANK02-2024-0006,balance_sheet/income_statement,Loans and advances to customers - ECL allowance,anticipated,medium_2_5yr,131.1,Anticipated medium_2_5yr effect attributable to: Stranded assets — fossil fuel sector exposure.,False,modelled_estimate,True
