hybrid_report_section,hybrid_section_confidence,hybrid_obligation_type,hybrid_mandatory,hybrid_generation_bucket,hybrid_evidence_tags,hybrid_banking_relevance,hybrid_split_ok,hybrid_classification_confidence,hybrid_needs_review,hybrid_reason,requirement_id,hybrid_error
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""asset_management"", ""commercial_banking"", ""financed_emissions"", ""ghg_emissions"", ""insurance"", ""scope_3""]",high,True,0.9,False,Mandatory ‘shall disclose’ requirement on additional financed emissions information within Scope 3 GHG emissions disclosures; aligns with Metrics and Targets section for emissions metrics.,IFRS_S2_B37_C01,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""financed_emissions"", ""ghg_emissions"", ""scope_3""]",high,True,0.78,True,Leaf is mandatory but text is partly a cross-reference/container introducing additional financed-emissions disclosures; may be better treated as container_context rather than a standalone disclosure item.,IFRS_S2_B59_C01,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""financed_emissions"", ""ghg_emissions""]",high,True,0.9,False,Appendix B financed emissions requirement uses 'shall' and directly mandates applying para 29(a) GHG disclosure requirements when disclosing financed emissions; aligns with Metrics and Targets.,IFRS_S2_B60_C01,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""asset_management"", ""financed_emissions"", ""ghg_emissions"", ""scope_1"", ""scope_2"", ""scope_3""]",high,True,0.9,False,Leaf mandatory disclosure in Appendix B on financed emissions metrics for asset management; aligns with Metrics and Targets and clause marker is a valid list item.,IFRS_S2_B61_C01,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""asset_management"", ""financed_emissions""]",high,True,0.9,False,Leaf mandatory disclosure in Appendix B asset management metrics: requires AUM included in financed emissions disclosure for each disaggregated financed-emissions item.,IFRS_S2_B61_C02,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""asset_management"", ""financed_emissions""]",high,True,0.88,False,"Appendix B asset management financed emissions disclosure metric (AUM percentage and exclusions), aligning with Metrics and Targets; leaf-level mandatory requirement with clear clause marker.",IFRS_S2_B61_C03,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""asset_management"", ""financed_emissions""]",high,True,0.9,False,Appendix B asset management disclosure item (d) requires methodology for financed emissions calculation; fits Metrics and Targets and is a clear mandatory leaf requirement.,IFRS_S2_B61_C04,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""commercial_banking"", ""financed_emissions"", ""ghg_emissions"", ""scope_1"", ""scope_2"", ""scope_3""]",high,True,0.9,False,Appendix B commercial banking metric requires disclosure of absolute gross financed emissions disaggregated by Scope 1–3 by industry and asset class; aligns with Metrics and Targets.,IFRS_S2_B62_C01,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""commercial_banking"", ""connected_information"", ""financial_effects""]",high,True,0.84,False,Appendix B commercial banking metric: mandatory disclosure of how to calculate gross exposure for funded amounts; aligns with Metrics and Targets and is a leaf requirement.,IFRS_S2_B62_C03,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""commercial_banking""]",high,True,0.86,False,Appendix B commercial banking metric requires separate disclosure of undrawn loan commitments from drawn portions; aligns with Metrics and Targets and is a leaf-level mandatory requirement.,IFRS_S2_B62_C04,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""commercial_banking"", ""financed_emissions""]",high,True,0.86,False,"Appendix B commercial banking metric disclosure: if gross exposure included in financed emissions is <100%, entity must explain exclusions and asset types excluded.",IFRS_S2_B62_C06,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""commercial_banking"", ""financed_emissions""]",high,True,0.84,False,"Appendix B commercial banking financed-emissions disclosure specifies mandatory treatment of gross exposure for funded amounts (exclude risk mitigants impacts), fitting Metrics and Targets.",IFRS_S2_B62_C07,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""commercial_banking"", ""financed_emissions""]",high,True,0.9,False,Appendix B commercial banking metric disclosure on financed emissions coverage; explicit 'shall disclose separately' makes it a mandatory leaf under Metrics and Targets.,IFRS_S2_B62_C08,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""commercial_banking"", ""financed_emissions""]",high,True,0.9,False,Appendix B commercial banking disclosure requires methodology for financed emissions calculation; fits Metrics and Targets and is a clear mandatory leaf item with valid clause marker.,IFRS_S2_B62_C09,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""commercial_banking""]",high,True,0.86,False,Leaf disclosure requirement in Appendix B commercial banking guidance: entity shall disclose the industry-classification system used when disaggregating B62 information by industry.,IFRS_S2_B62A_C05,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""commercial_banking""]",high,True,0.87,False,Appendix B commercial banking disclosure requiring information explaining how the chosen industry-classification system meets B62A(a)(i); fits Metrics and Targets disaggregation requirements.,IFRS_S2_B62A_C06,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""commercial_banking"", ""financed_emissions""]",high,True,0.84,False,Appendix B commercial banking requirement specifying mandatory asset-class inclusions for disaggregated financed emissions and requiring explanation if additional asset classes are included.,IFRS_S2_B62A_C07,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""financed_emissions"", ""ghg_emissions"", ""insurance"", ""scope_1"", ""scope_2"", ""scope_3""]",high,True,0.9,False,Appendix B insurance-specific financed emissions disclosure; mandatory ‘shall disclose’ and leaf clause (a) fits Metrics and Targets (GHG/financed emissions metrics).,IFRS_S2_B63_C01,
Metrics and Targets,0.78,mandatory,True,must_disclose_leaf,"[""commercial_banking"", ""financial_effects"", ""insurance""]",high,True,0.82,False,Appendix B insurance-specific financed emissions disclosure; clause (i) specifies how to calculate gross exposure for funded amounts. Mandatory ‘shall disclose’ supports must_disclose_leaf and Metrics and Targets mapping.,IFRS_S2_B63_C03,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""commercial_banking"", ""financed_emissions"", ""insurance""]",high,True,0.84,False,Appendix B insurance industry disclosure requiring separate disclosure of undrawn loan commitments amount; fits metrics-related disclosure and is a leaf mandatory requirement.,IFRS_S2_B63_C04,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""financed_emissions"", ""insurance""]",high,True,0.84,False,"Appendix B insurance financed-emissions disclosure: if gross exposure included is <100%, entity must explain exclusions (including asset types). Fits Metrics and Targets and is a leaf mandatory disclosure.",IFRS_S2_B63_C06,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""financed_emissions"", ""insurance""]",high,True,0.88,False,Appendix B insurance financed-emissions disclosure; clause (ii) is a specific mandatory disclosure about undrawn loan commitments percentage included in financed emissions.,IFRS_S2_B63_C07,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""financed_emissions"", ""insurance""]",high,True,0.9,False,Appendix B insurance financed emissions disclosure; clause (d) is a specific mandatory leaf requiring methodology and allocation method for financed emissions tied to gross exposure.,IFRS_S2_B63_C08,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""commercial_banking"", ""financed_emissions"", ""insurance""]",high,True,0.84,False,Appendix B63A(b) mandates asset-class disaggregation content and an explanation when additional asset classes are included; aligns with financed emissions metrics disclosures.,IFRS_S2_B63A_C07,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""ghg_emissions""]",medium,True,0.78,True,Clause marker (iii) appears to reference paragraph 29(a)(iii) rather than a true sub-item; requirement text ends with a colon suggesting it is a lead-in container for (a)-(c).,IFRS_S2_B26_C01,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""ghg_emissions"", ""scope_2""]",medium,True,0.83,False,Appendix B clarifies mandatory disclosure of location-based Scope 2 emissions and conditional disclosure of contractual instruments; aligns with Metrics and Targets heading and rule mapping.,IFRS_S2_B30_C01,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""business_model_value_chain"", ""ghg_emissions"", ""scope_3""]",medium,True,0.78,True,Contains a mandatory ‘shall consider’ requirement but is largely definitional/guidance about secondary data; may not be a pure disclosure requirement and could be supporting guidance.,IFRS_S2_B49_C01,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""financial_effects""]",medium,True,0.9,False,Appendix B paragraph states a clear disclosure requirement covering all sustainability-related risks and opportunities affecting cash flows/access to finance/cost of capital; aligns with General Requirements mapping.,IFRS_S1_B1_C01,
General Requirements,0.93,mandatory,True,must_disclose_leaf,"[""materiality""]",general,True,0.9,False,Appendix B guidance tied to Materiality (paras 17–19) and states a required disclosure of material sustainability-related risks and opportunities; aligns with General Requirements.,IFRS_S1_B13_C01,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""materiality"", ""metrics""]",general,True,0.84,False,"Appendix B guidance under Materiality; uses 'shall apply' requirements for identifying material information and sources of guidance, fitting General Requirements.",IFRS_S1_B20_C01,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""materiality""]",general,True,0.9,False,Appendix B materiality guidance contains clear 'shall' requirements on assessing materiality and considering quantitative and qualitative factors; aligns with General Requirements heading and mapping.,IFRS_S1_B21_C01,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""financial_effects"", ""materiality""]",medium,True,0.84,False,"Appendix B guidance under Materiality; uses 'shall consider' and clause marker (a) is a valid list item, so it is a mandatory leaf in General Requirements.",IFRS_S1_B22_C01,
General Requirements,0.93,mandatory,True,must_disclose_leaf,"[""materiality""]",general,True,0.92,False,"Appendix B guidance under Materiality; uses 'shall consider' and clause (b) is a valid list marker, making it a mandatory leaf requirement in General Requirements.",IFRS_S1_B22_C02,
General Requirements,0.86,mandatory,True,supporting_guidance_leaf,"[""materiality""]",general,True,0.78,False,Appendix B materiality guidance uses 'shall' but explains how to assess materiality rather than a standalone disclosure item; best treated as supporting guidance within General Requirements.,IFRS_S1_B23_C01,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""financial_effects"", ""materiality""]",medium,True,0.9,False,Appendix B materiality requirement uses 'shall disclose' and fits General Requirements; leaf disclosure obligation to provide additional information when standard requirements are insufficient.,IFRS_S1_B26_C01,
General Requirements,0.86,prohibition,True,must_disclose_leaf,"[""materiality""]",general,True,0.78,True,Clause (a) is an example within a list of circumstances; better treated as supporting guidance/context rather than a standalone disclosure requirement.,IFRS_S1_B27_C01,
General Requirements,0.86,prohibition,True,must_disclose_leaf,"[""materiality""]",general,True,0.78,True,"Appendix B example item (b) describes a circumstance of obscuring material information; it is illustrative guidance supporting the prohibition, not a standalone prohibition itself.",IFRS_S1_B27_C02,
General Requirements,0.86,prohibition,True,must_disclose_leaf,"[""materiality""]",general,True,0.78,True,"Clause (c) is an example of obscuring material information, not a standalone prohibition; obligation type/bucket may be better treated as guidance/example rather than must-disclose leaf.",IFRS_S1_B27_C03,
General Requirements,0.86,prohibition,True,must_disclose_leaf,"[""materiality""]",general,True,0.84,False,"Appendix B guidance under Materiality; clause (d) is a specific example of obscuring material information (inappropriate aggregation), supporting a mandatory prohibition in General Requirements.",IFRS_S1_B27_C04,
General Requirements,0.86,prohibition,True,must_disclose_leaf,"[""materiality""]",general,True,0.83,False,"Appendix B materiality guidance; clause (e) is a specific example of prohibited obscuring via inappropriate disaggregation, fitting General Requirements and a mandatory prohibition leaf.",IFRS_S1_B27_C05,
General Requirements,0.86,prohibition,True,must_disclose_leaf,"[""materiality""]",general,True,0.83,False,"Appendix B materiality guidance; clause (f) is a specific example of obscuring material information, aligning with General Requirements and a mandatory prohibition.",IFRS_S1_B27_C06,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""materiality""]",general,True,0.9,False,Appendix B materiality guidance contains a clear 'shall' requirement to reassess materiality judgements each reporting date; aligns with General Requirements/Materiality heading.,IFRS_S1_B28_C01,
General Requirements,0.86,prohibition,True,must_disclose_leaf,"[""materiality""]",general,True,0.83,False,Appendix B guidance on interaction with law/regulation; contains a mandatory prohibition ('shall not obscure material information') within General Requirements.,IFRS_S1_B31_C01,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""materiality""]",general,True,0.9,False,Clear mandatory disclosure requirement in Appendix B on interaction with law/regulation; aligns with General Requirements and is a leaf obligation.,IFRS_S1_B32_C01,
General Requirements,0.74,prohibition,True,must_disclose_leaf,[],general,True,0.86,False,Clear prohibition limiting use of the B34 exemption; appendix heading aligns with General Requirements and is a leaf requirement.,IFRS_S1_B37_C01,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""connected_information"", ""financial_effects""]",medium,True,0.84,False,Appendix B guidance tied to paragraph 20 on reporting entity; contains mandatory 'shall' requirements about same reporting entity and enabling understanding of financial effects.,IFRS_S1_B38_C01,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""connected_information""]",general,True,0.84,False,Appendix B explains paragraph 21 on connected information; it states a required disclosure presentation enabling users to understand connections across items and disclosures.,IFRS_S1_B39_C01,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""connected_information""]",general,True,0.78,True,Clause (b) is partly definitional/context (“Connected information includes…”) and partly mandatory (“shall integrate…”); may need splitting into definition vs requirement.,IFRS_S1_B41_C04,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""connected_information""]",general,True,0.9,False,Appendix B guidance tied to paragraphs 21–24 on connected information; uses 'shall' and clause (a) is a true list item requiring explanation of connections.,IFRS_S1_B42_C01,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""connected_information""]",general,True,0.86,False,Appendix B guidance tied to General Requirements (Connected information). Uses 'shall' and is a leaf clause requiring avoidance of unnecessary duplication for common disclosures.,IFRS_S1_B42_C02,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""connected_information""]",general,True,0.9,False,Appendix B guidance tied to General Requirements (Connected information). Uses 'shall' and is a leaf clause requiring disclosure of significant differences in data/assumptions vs financial statements.,IFRS_S1_B42_C03,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""connected_information"", ""materiality""]",general,True,0.84,False,Appendix B guidance sets mandatory condition for using cross-references; aligns with heading on cross-referenced information under General Requirements.,IFRS_S1_B45_C01,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""connected_information"", ""materiality""]",general,True,0.84,False,Appendix B guidance tied to paragraph 63 on cross-referencing; clause (b) sets a mandatory condition that cross-referencing must not reduce understandability.,IFRS_S1_B45_C02,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""connected_information""]",general,True,0.86,False,Appendix B guidance on cross-referenced information forming part of the sustainability-related financial disclosures and requiring compliance with IFRS SDS; aligns with General Requirements.,IFRS_S1_B46_C01,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""connected_information""]",general,True,0.9,False,Appendix B guidance tied to paragraph 63 on cross-referencing; uses 'shall' and is a leaf clause (a) specifying required identification and access explanation.,IFRS_S1_B47_C01,
General Requirements,0.86,mandatory,True,must_disclose_leaf,"[""connected_information""]",general,True,0.9,False,"Appendix B guidance tied to paragraph 63 on cross-referencing; uses 'shall' requiring precise cross-reference location, fitting General Requirements.",IFRS_S1_B47_C02,
Metrics and Targets,0.74,mandatory,True,must_disclose_leaf,[],general,True,0.78,False,Leaf mandatory disclosure about providing comparative information for all amounts disclosed; heading and appendix mapping support Metrics and Targets classification.,IFRS_S1_B49_C01,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""metrics""]",general,True,0.9,False,Appendix B metrics guidance with clear 'shall' requirement to disclose revised comparative amount when new information about prior-period estimate arises.,IFRS_S1_B50_C01,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""metrics""]",general,True,0.9,False,Appendix B under Metrics; clause (b) is a clear mandatory disclosure about differences between prior disclosed estimate and revised comparative amount.,IFRS_S1_B50_C02,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""metrics""]",general,True,0.9,False,Appendix B metrics guidance; clause (c) is a clear mandatory leaf requiring explanation of reasons for revising comparative metric amounts.,IFRS_S1_B50_C03,
Metrics and Targets,0.93,mandatory,True,must_disclose_leaf,"[""metrics""]",general,True,0.9,False,"Appendix B metrics requirement: when redefining/replacing a metric, entity shall disclose revised comparative amount unless impracticable; leaf clause (a) is a mandatory disclosure with relief condition.",IFRS_S1_B52_C01,
Metrics and Targets,0.86,mandatory,True,must_disclose_leaf,"[""metrics""]",general,True,0.9,False,"Appendix B metrics requirement: when redefining/replacing a metric, entity shall explain the changes; clause marker is a valid list item.",IFRS_S1_B52_C02,
