disclosure_id,standard,core_area,subtopic,paragraph_ref,requirement_summary,required_evidence,source_paragraph_ids,source_quote,is_climate_specific,priority,notes
S1_STRATEGY_1_01,IFRS_S1,Strategy,Unknown,IFRS S1 §1,Disclose the information required by IFRS S1 paragraph 1 under Strategy.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""1""]",**The objective of IFRS S1** _**General Requirements for Disclosure of Sustainabilityrelated Financial Information**_ **is to require an entity to disclose information about its sustainability-related risks and opportunities that is useful to** _**primary users of general...,False,high,Deterministic row created from candidate paragraph; review recommended.
S1_GENERAL_REQUIREMENTS_13_01,IFRS_S1,General Requirements,Unknown,IFRS S1 §13,Disclose the information required by IFRS S1 paragraph 13 under General Requirements.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""13""]","**Fair presentation requires disclosure of relevant information about sustainability-related risks and opportunities that could reasonably be expected to affect the entity** ’ **s prospects, and their faithful representation in accordance with the principles set out in this...",False,medium,Deterministic row created from candidate paragraph; review recommended.
S1_RISK_MANAGEMENT_14_01,IFRS_S1,Risk Management,Unknown,IFRS S1 §14,Disclose the information required by IFRS S1 paragraph 14 under Risk Management.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""14""]","Materiality is an entity-specific aspect of relevance based on the nature or magnitude, or both, of the items to which the information relates, in the context of the entity ’ s sustainability-related financial disclosures.

- 15

Fair presentation also requires an entity:

-...",False,high,Deterministic row created from candidate paragraph; review recommended.
S1_GOVERNANCE_20_01,IFRS_S1,Governance,Unknown,IFRS S1 §20,Disclose the information required by IFRS S1 paragraph 20 under Governance.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""20""]","**An entity** ’ **s sustainability-related financial disclosures shall be for the same reporting entity as the related financial statements (see paragraph B38).**

## **Connected information**

- 21 **An entity shall provide information in a manner that enables users of general...",False,high,Deterministic row created from candidate paragraph; review recommended.
S1_GOVERNANCE_24_01,IFRS_S1,Governance,Unknown,IFRS S1 §24,Disclose the information required by IFRS S1 paragraph 24 under Governance.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""24""]","**When currency is specified as the unit of measure in the sustainabilityrelated financial disclosures, the entity shall use the presentation currency of its related financial statements.**

## **Core content**

- 25 **Unless another IFRS Sustainability Disclosure Standard...",False,high,Deterministic row created from candidate paragraph; review recommended.
S1_GOVERNANCE_27_01,IFRS_S1,Governance,Unknown,IFRS S1 §27,Disclose the information required by IFRS S1 paragraph 27 under Governance.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""27""]","To achieve this objective, an entity shall disclose information about:

- (a) the governance body(s) (which can include a board, committee or equivalent body charged with governance) or individual(s) responsible for oversight of sustainability-related risks and opportunities....",False,high,Deterministic row created from candidate paragraph; review recommended.
S1_STRATEGY_28_01,IFRS_S1,Strategy,Unknown,IFRS S1 §28,Disclose the information required by IFRS S1 paragraph 28 under Strategy.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""28""]","**The objective of sustainability-related financial disclosures on strategy is to enable users of general purpose financial reports to understand an entity** ’ **s strategy for managing sustainability-related risks and opportunities.**

- 29 Specifically, an entity shall...",False,high,Deterministic row created from candidate paragraph; review recommended.
S1_STRATEGY_30_01,IFRS_S1,Strategy,Unknown,IFRS S1 §30,Disclose the information required by IFRS S1 paragraph 30 under Strategy.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""30""]","An entity shall disclose information that enables users of general purpose financial reports to understand the sustainability-related risks and opportunities that could reasonably be expected to affect the entity ’ s prospects. Specifically, the entity shall:

- (a) describe...",False,high,Deterministic row created from candidate paragraph; review recommended.
S1_STRATEGY_32_01,IFRS_S1,Strategy,Unknown,IFRS S1 §32,Disclose the information required by IFRS S1 paragraph 32 under Strategy.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""32""]","An entity shall disclose information that enables users of general purpose financial reports to understand the current and anticipated effects of sustainability-related risks and opportunities on the entity ’ s business model and value chain. Specifically, the entity shall...",False,high,Deterministic row created from candidate paragraph; review recommended.
S1_STRATEGY_33_01,IFRS_S1,Strategy,Unknown,IFRS S1 §33,Disclose the information required by IFRS S1 paragraph 33 under Strategy.,"[""Evidence required by the source paragraph"", ""Entity-specific facts supporting the disclosure"", ""Evidence boundaries where information is unavailable""]","[""33""]","An entity shall disclose information that enables users of general purpose financial reports to understand the effects of sustainability-related risks and opportunities on its strategy and decision-making. Specifically, the entity shall disclose information about:

- (a) how...",False,high,Deterministic row created from candidate paragraph; review recommended.
