company_id,reporting_year,ghg_protocol_standard,ghg_protocol_version,consolidation_approach,organizational_boundary_note,reporting_boundary_note,scope1_methodology,scope2_methodology,scope3_methodology,scope2_basis_used,scope1_includes_refrigerants,scope1_includes_stationary_combustion,scope1_includes_mobile_combustion,emission_factor_source_scope1,emission_factor_source_scope2,emission_factor_source_scope3,base_year,base_year_recalculation_policy,material_exclusions_note,estimation_uncertainty_note,data_quality_note,third_party_verified,verification_note,source_document_name,source_document_type
C001,2020,GHG Protocol Corporate Standard,revised edition,equity_share,Covers entities included under the selected consolidation approach.,Reporting boundary includes material operations and excludes immaterial activities where relevant.,"Activity data multiplied by fuel, combustion and refrigerant emission factors.",Purchased electricity emissions calculated using both approach.,"Scope 3 estimated using a mix of spend-based, activity-based and supplier-specific methods depending on data availability.",both,True,True,True,DEFRA 2024,Residual mix supplier factors,EPA EEIO,2020,Base year is recalculated when structural or methodological changes materially affect comparability.,Non-material sources may be excluded where data is unavailable or immaterial.,"Certain values rely on estimates, proxies, and supplier assumptions where primary data is unavailable.",high,True,Limited assurance obtained for selected GHG indicators.,GHG Methodology Memo 2020,internal methodology memo
C001,2021,GHG Protocol Corporate Accounting and Reporting Standard,revised edition,operational_control,Covers entities included under the selected consolidation approach.,Reporting boundary includes material operations and excludes immaterial activities where relevant.,"Activity data multiplied by fuel, combustion and refrigerant emission factors.",Purchased electricity emissions calculated using location-based approach.,"Scope 3 estimated using a mix of spend-based, activity-based and supplier-specific methods depending on data availability.",location-based,True,True,True,National emission factor database 2024,DEFRA electricity factors 2024,EPA EEIO,2020,Base year is recalculated when structural or methodological changes materially affect comparability.,Non-material sources may be excluded where data is unavailable or immaterial.,"Certain values rely on estimates, proxies, and supplier assumptions where primary data is unavailable.",high,False,No external assurance obtained for methodology disclosures.,GHG Methodology Memo 2021,emissions calculation protocol
C001,2022,GHG Protocol Corporate Accounting and Reporting Standard,revised edition,operational_control,Covers entities included under the selected consolidation approach.,Reporting boundary includes material operations and excludes immaterial activities where relevant.,"Activity data multiplied by fuel, combustion and refrigerant emission factors.",Purchased electricity emissions calculated using market-based approach.,"Scope 3 estimated using a mix of spend-based, activity-based and supplier-specific methods depending on data availability.",market-based,False,True,True,IPCC 2006 Guidelines,DEFRA electricity factors 2024,Supplier-specific data,2020,Base year is recalculated when structural or methodological changes materially affect comparability.,Non-material sources may be excluded where data is unavailable or immaterial.,"Certain values rely on estimates, proxies, and supplier assumptions where primary data is unavailable.",high,True,Limited assurance obtained for selected GHG indicators.,GHG Methodology Memo 2022,emissions calculation protocol
C001,2023,GHG Protocol Corporate Accounting and Reporting Standard,revised edition,equity_share,Covers entities included under the selected consolidation approach.,Reporting boundary includes material operations and excludes immaterial activities where relevant.,"Activity data multiplied by fuel, combustion and refrigerant emission factors.",Purchased electricity emissions calculated using both approach.,"Scope 3 estimated using a mix of spend-based, activity-based and supplier-specific methods depending on data availability.",both,True,True,False,EPA 2024,National grid factor 2024,EPA EEIO,2021,Base year is recalculated when structural or methodological changes materially affect comparability.,Non-material sources may be excluded where data is unavailable or immaterial.,"Certain values rely on estimates, proxies, and supplier assumptions where primary data is unavailable.",mixed,True,Limited assurance obtained for selected GHG indicators.,GHG Methodology Memo 2023,GHG inventory manual
C001,2024,GHG Protocol Corporate Accounting and Reporting Standard,revised edition,equity_share,Covers entities included under the selected consolidation approach.,Reporting boundary includes material operations and excludes immaterial activities where relevant.,"Activity data multiplied by fuel, combustion and refrigerant emission factors.",Purchased electricity emissions calculated using market-based approach.,"Scope 3 estimated using a mix of spend-based, activity-based and supplier-specific methods depending on data availability.",market-based,False,False,False,IPCC 2006 Guidelines,IEA electricity emission factors,Supplier-specific data,2022,Base year is recalculated when structural or methodological changes materially affect comparability.,Non-material sources may be excluded where data is unavailable or immaterial.,"Certain values rely on estimates, proxies, and supplier assumptions where primary data is unavailable.",moderate,True,Limited assurance obtained for selected GHG indicators.,GHG Methodology Memo 2024,GHG inventory manual
C002,2020,GHG Protocol Corporate Standard,revised edition,equity_share,Covers entities included under the selected consolidation approach.,Reporting boundary includes material operations and excludes immaterial activities where relevant.,"Activity data multiplied by fuel, combustion and refrigerant emission factors.",Purchased electricity emissions calculated using both approach.,"Scope 3 estimated using a mix of spend-based, activity-based and supplier-specific methods depending on data availability.",both,False,True,False,EPA 2024,IEA electricity emission factors,Hybrid method using spend-based and activity-based factors,2020,Base year is recalculated when structural or methodological changes materially affect comparability.,Non-material sources may be excluded where data is unavailable or immaterial.,"Certain values rely on estimates, proxies, and supplier assumptions where primary data is unavailable.",moderate,False,No external assurance obtained for methodology disclosures.,GHG Methodology Memo 2020,sustainability reporting methodology
C002,2021,GHG Protocol Corporate Standard,revised edition,operational_control,Covers entities included under the selected consolidation approach.,Reporting boundary includes material operations and excludes immaterial activities where relevant.,"Activity data multiplied by fuel, combustion and refrigerant emission factors.",Purchased electricity emissions calculated using both approach.,"Scope 3 estimated using a mix of spend-based, activity-based and supplier-specific methods depending on data availability.",both,True,True,True,DEFRA 2024,DEFRA electricity factors 2024,Hybrid method using spend-based and activity-based factors,2020,Base year is recalculated when structural or methodological changes materially affect comparability.,Non-material sources may be excluded where data is unavailable or immaterial.,"Certain values rely on estimates, proxies, and supplier assumptions where primary data is unavailable.",moderate,False,No external assurance obtained for methodology disclosures.,GHG Methodology Memo 2021,internal methodology memo
C002,2022,GHG Protocol Corporate Accounting and Reporting Standard,revised edition,financial_control,Covers entities included under the selected consolidation approach.,Reporting boundary includes material operations and excludes immaterial activities where relevant.,"Activity data multiplied by fuel, combustion and refrigerant emission factors.",Purchased electricity emissions calculated using location-based approach.,"Scope 3 estimated using a mix of spend-based, activity-based and supplier-specific methods depending on data availability.",location-based,False,False,True,National emission factor database 2024,IEA electricity emission factors,Supplier-specific data,2020,Base year is recalculated when structural or methodological changes materially affect comparability.,Non-material sources may be excluded where data is unavailable or immaterial.,"Certain values rely on estimates, proxies, and supplier assumptions where primary data is unavailable.",high,True,Limited assurance obtained for selected GHG indicators.,GHG Methodology Memo 2022,GHG inventory manual
C002,2023,GHG Protocol Corporate Accounting and Reporting Standard,revised edition,financial_control,Covers entities included under the selected consolidation approach.,Reporting boundary includes material operations and excludes immaterial activities where relevant.,"Activity data multiplied by fuel, combustion and refrigerant emission factors.",Purchased electricity emissions calculated using both approach.,"Scope 3 estimated using a mix of spend-based, activity-based and supplier-specific methods depending on data availability.",both,True,True,True,EPA 2024,IEA electricity emission factors,Hybrid method using spend-based and activity-based factors,2021,Base year is recalculated when structural or methodological changes materially affect comparability.,Non-material sources may be excluded where data is unavailable or immaterial.,"Certain values rely on estimates, proxies, and supplier assumptions where primary data is unavailable.",high,False,No external assurance obtained for methodology disclosures.,GHG Methodology Memo 2023,internal methodology memo
C002,2024,GHG Protocol Corporate Accounting and Reporting Standard,revised edition,financial_control,Covers entities included under the selected consolidation approach.,Reporting boundary includes material operations and excludes immaterial activities where relevant.,"Activity data multiplied by fuel, combustion and refrigerant emission factors.",Purchased electricity emissions calculated using location-based approach.,"Scope 3 estimated using a mix of spend-based, activity-based and supplier-specific methods depending on data availability.",location-based,False,True,True,National emission factor database 2024,DEFRA electricity factors 2024,EPA EEIO,2022,Base year is recalculated when structural or methodological changes materially affect comparability.,Non-material sources may be excluded where data is unavailable or immaterial.,"Certain values rely on estimates, proxies, and supplier assumptions where primary data is unavailable.",mixed,False,No external assurance obtained for methodology disclosures.,GHG Methodology Memo 2024,internal methodology memo
C003,2020,GHG Protocol Corporate Accounting and Reporting Standard,revised edition,financial_control,Covers entities included under the selected consolidation approach.,Reporting boundary includes material operations and excludes immaterial activities where relevant.,"Activity data multiplied by fuel, combustion and refrigerant emission factors.",Purchased electricity emissions calculated using both approach.,"Scope 3 estimated using a mix of spend-based, activity-based and supplier-specific methods depending on data availability.",both,False,True,True,EPA 2024,Residual mix supplier factors,EPA EEIO,2020,Base year is recalculated when structural or methodological changes materially affect comparability.,Non-material sources may be excluded where data is unavailable or immaterial.,"Certain values rely on estimates, proxies, and supplier assumptions where primary data is unavailable.",mixed,True,Limited assurance obtained for selected GHG indicators.,GHG Methodology Memo 2020,sustainability reporting methodology
C003,2021,GHG Protocol Corporate Standard,revised edition,operational_control,Covers entities included under the selected consolidation approach.,Reporting boundary includes material operations and excludes immaterial activities where relevant.,"Activity data multiplied by fuel, combustion and refrigerant emission factors.",Purchased electricity emissions calculated using both approach.,"Scope 3 estimated using a mix of spend-based, activity-based and supplier-specific methods depending on data availability.",both,True,True,True,IPCC 2006 Guidelines,IEA electricity emission factors,EPA EEIO,2020,Base year is recalculated when structural or methodological changes materially affect comparability.,Non-material sources may be excluded where data is unavailable or immaterial.,"Certain values rely on estimates, proxies, and supplier assumptions where primary data is unavailable.",mixed,False,No external assurance obtained for methodology disclosures.,GHG Methodology Memo 2021,sustainability reporting methodology
C003,2022,GHG Protocol Corporate Accounting and Reporting Standard,revised edition,operational_control,Covers entities included under the selected consolidation approach.,Reporting boundary includes material operations and excludes immaterial activities where relevant.,"Activity data multiplied by fuel, combustion and refrigerant emission factors.",Purchased electricity emissions calculated using market-based approach.,"Scope 3 estimated using a mix of spend-based, activity-based and supplier-specific methods depending on data availability.",market-based,False,True,False,DEFRA 2024,IEA electricity emission factors,EPA EEIO,2020,Base year is recalculated when structural or methodological changes materially affect comparability.,Non-material sources may be excluded where data is unavailable or immaterial.,"Certain values rely on estimates, proxies, and supplier assumptions where primary data is unavailable.",high,False,No external assurance obtained for methodology disclosures.,GHG Methodology Memo 2022,emissions calculation protocol
C003,2023,GHG Protocol Corporate Standard,revised edition,financial_control,Covers entities included under the selected consolidation approach.,Reporting boundary includes material operations and excludes immaterial activities where relevant.,"Activity data multiplied by fuel, combustion and refrigerant emission factors.",Purchased electricity emissions calculated using location-based approach.,"Scope 3 estimated using a mix of spend-based, activity-based and supplier-specific methods depending on data availability.",location-based,True,False,True,National emission factor database 2024,IEA electricity emission factors,EXIOBASE,2021,Base year is recalculated when structural or methodological changes materially affect comparability.,Non-material sources may be excluded where data is unavailable or immaterial.,"Certain values rely on estimates, proxies, and supplier assumptions where primary data is unavailable.",mixed,False,No external assurance obtained for methodology disclosures.,GHG Methodology Memo 2023,sustainability reporting methodology
C003,2024,GHG Protocol Corporate Standard,revised edition,operational_control,Covers entities included under the selected consolidation approach.,Reporting boundary includes material operations and excludes immaterial activities where relevant.,"Activity data multiplied by fuel, combustion and refrigerant emission factors.",Purchased electricity emissions calculated using market-based approach.,"Scope 3 estimated using a mix of spend-based, activity-based and supplier-specific methods depending on data availability.",market-based,True,False,True,EPA 2024,National grid factor 2024,Supplier-specific data,2022,Base year is recalculated when structural or methodological changes materially affect comparability.,Non-material sources may be excluded where data is unavailable or immaterial.,"Certain values rely on estimates, proxies, and supplier assumptions where primary data is unavailable.",high,True,Limited assurance obtained for selected GHG indicators.,GHG Methodology Memo 2024,GHG inventory manual
C004,2020,GHG Protocol Corporate Standard,revised edition,financial_control,Covers entities included under the selected consolidation approach.,Reporting boundary includes material operations and excludes immaterial activities where relevant.,"Activity data multiplied by fuel, combustion and refrigerant emission factors.",Purchased electricity emissions calculated using both approach.,"Scope 3 estimated using a mix of spend-based, activity-based and supplier-specific methods depending on data availability.",both,False,True,True,DEFRA 2024,IEA electricity emission factors,Supplier-specific data,2020,Base year is recalculated when structural or methodological changes materially affect comparability.,Non-material sources may be excluded where data is unavailable or immaterial.,"Certain values rely on estimates, proxies, and supplier assumptions where primary data is unavailable.",mixed,True,Limited assurance obtained for selected GHG indicators.,GHG Methodology Memo 2020,emissions calculation protocol
C004,2021,GHG Protocol Corporate Standard,revised edition,financial_control,Covers entities included under the selected consolidation approach.,Reporting boundary includes material operations and excludes immaterial activities where relevant.,"Activity data multiplied by fuel, combustion and refrigerant emission factors.",Purchased electricity emissions calculated using location-based approach.,"Scope 3 estimated using a mix of spend-based, activity-based and supplier-specific methods depending on data availability.",location-based,False,True,True,National emission factor database 2024,IEA electricity emission factors,EPA EEIO,2020,Base year is recalculated when structural or methodological changes materially affect comparability.,Non-material sources may be excluded where data is unavailable or immaterial.,"Certain values rely on estimates, proxies, and supplier assumptions where primary data is unavailable.",high,False,No external assurance obtained for methodology disclosures.,GHG Methodology Memo 2021,emissions calculation protocol
C004,2022,GHG Protocol Corporate Standard,revised edition,operational_control,Covers entities included under the selected consolidation approach.,Reporting boundary includes material operations and excludes immaterial activities where relevant.,"Activity data multiplied by fuel, combustion and refrigerant emission factors.",Purchased electricity emissions calculated using market-based approach.,"Scope 3 estimated using a mix of spend-based, activity-based and supplier-specific methods depending on data availability.",market-based,False,True,True,National emission factor database 2024,DEFRA electricity factors 2024,EPA EEIO,2020,Base year is recalculated when structural or methodological changes materially affect comparability.,Non-material sources may be excluded where data is unavailable or immaterial.,"Certain values rely on estimates, proxies, and supplier assumptions where primary data is unavailable.",high,False,No external assurance obtained for methodology disclosures.,GHG Methodology Memo 2022,GHG inventory manual
C004,2023,GHG Protocol Corporate Standard,revised edition,financial_control,Covers entities included under the selected consolidation approach.,Reporting boundary includes material operations and excludes immaterial activities where relevant.,"Activity data multiplied by fuel, combustion and refrigerant emission factors.",Purchased electricity emissions calculated using location-based approach.,"Scope 3 estimated using a mix of spend-based, activity-based and supplier-specific methods depending on data availability.",location-based,True,True,True,DEFRA 2024,National grid factor 2024,EPA EEIO,2021,Base year is recalculated when structural or methodological changes materially affect comparability.,Non-material sources may be excluded where data is unavailable or immaterial.,"Certain values rely on estimates, proxies, and supplier assumptions where primary data is unavailable.",high,True,Limited assurance obtained for selected GHG indicators.,GHG Methodology Memo 2023,GHG inventory manual
C004,2024,GHG Protocol Corporate Standard,revised edition,financial_control,Covers entities included under the selected consolidation approach.,Reporting boundary includes material operations and excludes immaterial activities where relevant.,"Activity data multiplied by fuel, combustion and refrigerant emission factors.",Purchased electricity emissions calculated using location-based approach.,"Scope 3 estimated using a mix of spend-based, activity-based and supplier-specific methods depending on data availability.",location-based,False,True,True,DEFRA 2024,Residual mix supplier factors,Supplier-specific data,2022,Base year is recalculated when structural or methodological changes materially affect comparability.,Non-material sources may be excluded where data is unavailable or immaterial.,"Certain values rely on estimates, proxies, and supplier assumptions where primary data is unavailable.",moderate,False,No external assurance obtained for methodology disclosures.,GHG Methodology Memo 2024,sustainability reporting methodology
