standard,source_authority,paragraph,section,obligation_type,applies_to_banks,metric_type,requirement_text,covered_in_draft,evidence_sentence,missing_data
S1,core_standard,unknown,governance,shall,False,,"To achieve this objective, an entity shall disclose information about: (a) the governance body(s) (which can include a board, committee or equivalent body charged with governance) or individual(s) responsible for oversight of sustainability-related risks and opportunities.",,,
S1,core_standard,unknown,governance,shall,False,,"Specifically, the entity shall identify that body(s) or individual(s) and disclose information about: (i) how responsibilities for sustainability-related risks and opportunities are reflected in the terms of reference, mandates, role descriptions and other related policies applicable to that body(s) or individual(s);",,,
S1,core_standard,unknown,governance,shall,False,,(ii) how the body(s) or individual(s) determines whether appropriate skills and competencies are available or will be developed to oversee strategies designed to respond to sustainability-related risks and opportunities;,,,
S1,core_standard,unknown,governance,shall,False,,(iii) how and how often the body(s) or individual(s) is informed about sustainability-related risks and opportunities;,,,
S1,core_standard,unknown,governance,shall,False,,"(iv) how the body(s) or individual(s) takes into account sustainability-related risks and opportunities when overseeing the entity’s strategy, its decisions on major transactions and its risk management processes and related policies, including whether the body(s) or individual(s) has considered trade-offs associated with those risks and opportunities; and",,,
S1,core_standard,unknown,governance,shall,False,,"(v) how the body(s) or individual(s) oversees the setting of targets related to sustainability-related risks and opportunities, and monitors progress towards those targets (see paragraph 51 ), including whether and how related performance metrics are included in remuneration policies.",,,
S1,core_standard,unknown,governance,shall,False,,"To achieve this objective, an entity shall disclose information about: (b) management ’s role in the governance processes, controls and procedures used to monitor, manage and oversee sustainability-related risks and opportunities, including information about:",,,
S1,core_standard,unknown,governance,shall,False,,(i) whether the role is delegated to a specific management-level position or management-level committee and how oversight is exercised over that position or committee; and,,,
S1,core_standard,unknown,governance,shall,False,,"(ii) whether management uses controls and procedures to support the oversight of sustainability-related risks and opportunities and, if so, how these controls and procedures are integrated with other internal functions.",,,
S2,core_standard,6,governance,shall,False,,"To achieve this objective, an entity shall disclose information about:
(a) the governance body(s) (which can include a board, committee or equivalent body charged with governance) or individual(s) responsible for oversight of climate-related risks and opportunities. Specifically, the entity shall identify that body(s) or individual(s) and disclose information about:
(i) how responsibilities for climate-related risks and opportunities are reflected in the terms of reference, mandates, role descriptions and other related policies applicable to that body(s) or individual(s);
(ii) how the body(s) or individual(s) determines whether appropriate skills and competencies are available or will be developed to oversee strategies designed to respond to climate-related risks and opportunities;
(iii) how and how often the body(s) or individual(s) is informed about climate-related risks and opportunities;
(iv) how the body(s) or individual(s) takes into account climate-related risks and opportunities when overseeing the entity’s strategy, its decisions on major transactions and its risk management processes and related policies, including whether the body(s) or individual(s) has considered trade-offs associated with those risks and opportunities; and
(v) how the body(s) or individual(s) oversees the setting of targets related to climate-related risks and opportunities, and monitors progress towards those targets (see paragraphs 33–36), including whether and how related performance metrics are included in remuneration policies (see paragraph 29(g)).
(b) management’s role in the governance processes, controls and procedures used to monitor, manage and oversee climate-related risks and opportunities, including information about:
(i) whether the role is delegated to a specific management-level position or management-level committee and how oversight is exercised over that position or committee; and
(ii) whether management uses controls and procedures to support the oversight of climate-related risks and opportunities and, if so, how these controls and procedures are integrated with other internal functions.",,,
S2,core_standard,unknown,governance,shall,False,,"In preparing disclosures to fulfil the requirements in paragraph 6, an entity shall avoid unnecessary duplication in accordance with IFRS S1 General Requirements for Disclosure of Sustainability-related Financial Information (IFRS S1) (see paragraph B42(b) of IFRS S1).",,,
S2,core_standard,unknown,governance,shall,False,,"For example, although an entity shall provide the information required by paragraph 6, if oversight of sustainability-related risks and opportunities is managed on an integrated basis, the entity would avoid duplication by providing integrated governance disclosures instead of separate disclosures for each sustainability-related risk and opportunity.",,,
