requirement_id,standard,paragraph_id,page,report_section,official_section_heading,nearest_pdf_heading,clean_requirement_text,source_paragraph_text,clause_path,obligation_type,mandatory,evidence_tags,banking_relevance,paragraph_quality_score,requirement_quality_score
IFRS_S1_46_C01,IFRS S1,46,16,Metrics and Targets,Metrics and targets,Metrics and targets,"An entity shall disclose, for each sustainability-related risk and opportunity that could reasonably be expected to affect the entity’s prospects — (a) metrics required by an applicable IFRS Sustainability Disclosure Standard","An entity shall disclose, for each sustainability-related risk and opportunity that could reasonably be expected to affect the entity’s prospects: (a) metrics required by an applicable IFRS Sustainability Disclosure Standard; and (b) metrics the entity uses to measure and monitor: (i) that sustainability-related risk or opportunity; and (ii) its performance in relation to that sustainability-related risk or opportunity, including progress towards any targets the entity has set, and any targets it is required to meet by law or regulation.",(a),mandatory,True,"[""metrics"", ""targets""]",general,1.0,1.0
IFRS_S1_46_C03,IFRS S1,46,16,Metrics and Targets,Metrics and targets,Metrics and targets,"An entity shall disclose, for each sustainability-related risk and opportunity that could reasonably be expected to affect the entity’s prospects — (b) metrics the entity uses to measure and monitor: — (i) that sustainability-related risk or opportunity","An entity shall disclose, for each sustainability-related risk and opportunity that could reasonably be expected to affect the entity’s prospects: (a) metrics required by an applicable IFRS Sustainability Disclosure Standard; and (b) metrics the entity uses to measure and monitor: (i) that sustainability-related risk or opportunity; and (ii) its performance in relation to that sustainability-related risk or opportunity, including progress towards any targets the entity has set, and any targets it is required to meet by law or regulation.",(b)>(i),mandatory,True,"[""metrics"", ""targets""]",general,1.0,1.0
IFRS_S1_46_C04,IFRS S1,46,16,Metrics and Targets,Metrics and targets,Metrics and targets,"An entity shall disclose, for each sustainability-related risk and opportunity that could reasonably be expected to affect the entity’s prospects — (b) metrics the entity uses to measure and monitor: — (ii) its performance in relation to that sustainability-related risk or opportunity, including progress towards any targets the entity has set, and any targets it is required to meet by law or regulation.","An entity shall disclose, for each sustainability-related risk and opportunity that could reasonably be expected to affect the entity’s prospects: (a) metrics required by an applicable IFRS Sustainability Disclosure Standard; and (b) metrics the entity uses to measure and monitor: (i) that sustainability-related risk or opportunity; and (ii) its performance in relation to that sustainability-related risk or opportunity, including progress towards any targets the entity has set, and any targets it is required to meet by law or regulation.",(b)>(ii),mandatory,True,"[""metrics"", ""targets""]",general,1.0,1.0
IFRS_S1_47_C01,IFRS S1,47,16,Metrics and Targets,Metrics and targets,Metrics and targets,"In the absence of an IFRS Sustainability Disclosure Standard that specifically applies to a sustainability-related risk or opportunity, an entity shall apply paragraphs 57–58 to identify applicable metrics.","In the absence of an IFRS Sustainability Disclosure Standard that specifically applies to a sustainability-related risk or opportunity, an entity shall apply paragraphs 57–58 to identify applicable metrics.",,mandatory,True,"[""metrics"", ""targets""]",general,1.0,1.0
IFRS_S1_48_C01,IFRS S1,48,16,Metrics and Targets,Metrics and targets,Metrics and targets,"Metrics disclosed by an entity applying paragraphs 45–46 shall include metrics associated with particular business models, activities or other common features that characterise participation in an industry.","Metrics disclosed by an entity applying paragraphs 45–46 shall include metrics associated with particular business models, activities or other common features that characterise participation in an industry.",,mandatory,True,"[""business_model_value_chain"", ""metrics"", ""targets""]",general,1.0,1.0
IFRS_S1_49_C01,IFRS S1,49,16,Metrics and Targets,Metrics and targets,Metrics and targets,"If an entity discloses a metric taken from a source other than IFRS Sustainability Disclosure Standards, the entity shall identify the source and the metric taken.","If an entity discloses a metric taken from a source other than IFRS Sustainability Disclosure Standards, the entity shall identify the source and the metric taken.",,mandatory,True,"[""metrics"", ""targets""]",general,1.0,1.0
IFRS_S1_50_C01,IFRS S1,50,16,Metrics and Targets,Metrics and targets,Metrics and targets,"If a metric has been developed by an entity, the entity shall disclose information about — (a) how the metric is defined, including whether it is derived by adjusting a metric taken from a source other than IFRS Sustainability Disclosure Standards and, if so, which source and how the metric disclosed by the entity differs from the metric specified in that source","If a metric has been developed by an entity, the entity shall disclose information about: (a) how the metric is defined, including whether it is derived by adjusting a metric taken from a source other than IFRS Sustainability Disclosure Standards and, if so, which source and how the metric disclosed by the entity differs from the metric specified in that source; (b) whether the metric is an absolute measure, a measure expressed in relation to another metric or a qualitative measure (such as a red, amber, green—or RAG—status); (c) whether the metric is validated by a third party and, if so, which party; and (d) the method used to calculate the metric and the inputs to the calculation, including the limitations of the method used and the significant assumptions made.",(a),mandatory,True,"[""metrics"", ""targets""]",general,1.0,1.0
IFRS_S1_50_C02,IFRS S1,50,16,Metrics and Targets,Metrics and targets,Metrics and targets,"If a metric has been developed by an entity, the entity shall disclose information about — (b) whether the metric is an absolute measure, a measure expressed in relation to another metric or a qualitative measure (such as a red, amber, green—or RAG—status)","If a metric has been developed by an entity, the entity shall disclose information about: (a) how the metric is defined, including whether it is derived by adjusting a metric taken from a source other than IFRS Sustainability Disclosure Standards and, if so, which source and how the metric disclosed by the entity differs from the metric specified in that source; (b) whether the metric is an absolute measure, a measure expressed in relation to another metric or a qualitative measure (such as a red, amber, green—or RAG—status); (c) whether the metric is validated by a third party and, if so, which party; and (d) the method used to calculate the metric and the inputs to the calculation, including the limitations of the method used and the significant assumptions made.",(b),mandatory,True,"[""metrics"", ""targets""]",general,1.0,1.0
IFRS_S1_50_C03,IFRS S1,50,16,Metrics and Targets,Metrics and targets,Metrics and targets,"If a metric has been developed by an entity, the entity shall disclose information about — (c) whether the metric is validated by a third party and, if so, which party","If a metric has been developed by an entity, the entity shall disclose information about: (a) how the metric is defined, including whether it is derived by adjusting a metric taken from a source other than IFRS Sustainability Disclosure Standards and, if so, which source and how the metric disclosed by the entity differs from the metric specified in that source; (b) whether the metric is an absolute measure, a measure expressed in relation to another metric or a qualitative measure (such as a red, amber, green—or RAG—status); (c) whether the metric is validated by a third party and, if so, which party; and (d) the method used to calculate the metric and the inputs to the calculation, including the limitations of the method used and the significant assumptions made.",(c),mandatory,True,"[""metrics"", ""targets""]",general,1.0,1.0
IFRS_S1_50_C04,IFRS S1,50,16,Metrics and Targets,Metrics and targets,Metrics and targets,"If a metric has been developed by an entity, the entity shall disclose information about — (d) the method used to calculate the metric and the inputs to the calculation, including the limitations of the method used and the significant assumptions made.","If a metric has been developed by an entity, the entity shall disclose information about: (a) how the metric is defined, including whether it is derived by adjusting a metric taken from a source other than IFRS Sustainability Disclosure Standards and, if so, which source and how the metric disclosed by the entity differs from the metric specified in that source; (b) whether the metric is an absolute measure, a measure expressed in relation to another metric or a qualitative measure (such as a red, amber, green—or RAG—status); (c) whether the metric is validated by a third party and, if so, which party; and (d) the method used to calculate the metric and the inputs to the calculation, including the limitations of the method used and the significant assumptions made.",(d),mandatory,True,"[""metrics"", ""targets""]",general,1.0,1.0
IFRS_S1_51_C01,IFRS S1,51,17,Metrics and Targets,Metrics and targets,Metrics and targets,"An entity shall disclose information about the targets it has set to monitor progress towards achieving its strategic goals, and any targets it is required to meet by law or regulation. For each target, the entity shall disclose — (a) the metric used to set the target and to monitor progress towards reaching the target","An entity shall disclose information about the targets it has set to monitor progress towards achieving its strategic goals, and any targets it is required to meet by law or regulation. For each target, the entity shall disclose: (a) the metric used to set the target and to monitor progress towards reaching the target; (b) the specific quantitative or qualitative target the entity has set or is required to meet; (c) the period over which the target applies; (d) the base period from which progress is measured; (e) any milestones and interim targets; (f) performance against each target and an analysis of trends or changes in the entity’s performance; and (g) any revisions to the target and an explanation for those revisions.",(a),mandatory,True,"[""metrics"", ""targets""]",general,1.0,1.0
