requirement_id,standard,paragraph_id,page,report_section,official_section_heading,nearest_pdf_heading,mapping_method,appendix,clause_index,clause_marker,clause_level,clause_path,is_leaf_requirement,requirement_label,requirement_text,clean_requirement_text,parent_context,source_paragraph_text,obligation_type,mandatory,generation_bucket,evidence_tags,banking_relevance,paragraph_quality_score,paragraph_quality_issues,requirement_quality_score,requirement_quality_issues,rule_report_section,rule_obligation_type,rule_mandatory,rule_generation_bucket,rule_evidence_tags,rule_banking_relevance,final_report_section,final_obligation_type,final_mandatory,final_generation_bucket,final_evidence_tags,final_banking_relevance,hybrid_reviewed,hybrid_split_ok,hybrid_needs_review,hybrid_reason,hybrid_section_confidence,hybrid_classification_confidence
IFRS_S1_B27_C01,IFRS S1,B27,31,General Requirements,Materiality (paragraphs 17–19),Materiality (paragraphs 17–19),auto_appendix_reference_or_heading,B,1,(a),1,(a),True,An entity shall identify its sustainability-related financial disclosures clearly and distinguish them from other information provided…,An entity shall identify its sustainability-related financial disclosures clearly and distinguish them from other information provided by the entity (see paragraph 62). An entity shall not obscure material information. Information is obscured if it is communicated in a way that would have a similar effect for primary users to omitting or misstating that information. Examples of circumstances that might result in material information being obscured include — (a) material information is not clearly distinguished from additional information that is not material,An entity shall identify its sustainability-related financial disclosures clearly and distinguish them from other information provided by the entity (see paragraph 62). An entity shall not obscure material information. Information is obscured if it is communicated in a way that would have a similar effect for primary users to omitting or misstating that information. Examples of circumstances that might result in material information being obscured include — (a) material information is not clearly distinguished from additional information that is not material,An entity shall identify its sustainability-related financial disclosures clearly and distinguish them from other information provided by the entity (see paragraph 62). An entity shall not obscure material information. Information is obscured if it is communicated in a way that would have a similar effect for primary users to omitting or misstating that information. Examples of circumstances that might result in material information being obscured include,"An entity shall identify its sustainability-related financial disclosures clearly and distinguish them from other information provided by the entity (see paragraph 62). An entity shall not obscure material information. Information is obscured if it is communicated in a way that would have a similar effect for primary users to omitting or misstating that information. Examples of circumstances that might result in material information being obscured include: (a) material information is not clearly distinguished from additional information that is not material; (b) material information is disclosed in the sustainability-related financial disclosures, but the language used is vague or unclear; (c) material information about a sustainability-related risk or opportunity is scattered throughout the sustainability-related financial disclosures; (d) items of information that are dissimilar are inappropriately aggregated; (e) items of information that are similar are inappropriately disaggregated; and (f) the understandability of the sustainability-related financial disclosures is reduced as a result of material information being hidden by immaterial information to the extent that a primary user is unable to determine what information is material.",prohibition,True,must_disclose_leaf,"[""materiality""]",general,1.0,[],1.0,[],General Requirements,prohibition,True,must_disclose_leaf,"[""materiality""]",general,General Requirements,prohibition,True,must_disclose_leaf,"[""materiality""]",general,True,True,True,Clause (a) is an example within a list of circumstances; better treated as supporting guidance/context rather than a standalone disclosure requirement.,0.86,0.78
IFRS_S1_B27_C02,IFRS S1,B27,31,General Requirements,Materiality (paragraphs 17–19),Materiality (paragraphs 17–19),auto_appendix_reference_or_heading,B,2,(b),1,(b),True,An entity shall identify its sustainability-related financial disclosures clearly and distinguish them from other information provided…,"An entity shall identify its sustainability-related financial disclosures clearly and distinguish them from other information provided by the entity (see paragraph 62). An entity shall not obscure material information. Information is obscured if it is communicated in a way that would have a similar effect for primary users to omitting or misstating that information. Examples of circumstances that might result in material information being obscured include — (b) material information is disclosed in the sustainability-related financial disclosures, but the language used is vague or unclear","An entity shall identify its sustainability-related financial disclosures clearly and distinguish them from other information provided by the entity (see paragraph 62). An entity shall not obscure material information. Information is obscured if it is communicated in a way that would have a similar effect for primary users to omitting or misstating that information. Examples of circumstances that might result in material information being obscured include — (b) material information is disclosed in the sustainability-related financial disclosures, but the language used is vague or unclear",An entity shall identify its sustainability-related financial disclosures clearly and distinguish them from other information provided by the entity (see paragraph 62). An entity shall not obscure material information. Information is obscured if it is communicated in a way that would have a similar effect for primary users to omitting or misstating that information. Examples of circumstances that might result in material information being obscured include,"An entity shall identify its sustainability-related financial disclosures clearly and distinguish them from other information provided by the entity (see paragraph 62). An entity shall not obscure material information. Information is obscured if it is communicated in a way that would have a similar effect for primary users to omitting or misstating that information. Examples of circumstances that might result in material information being obscured include: (a) material information is not clearly distinguished from additional information that is not material; (b) material information is disclosed in the sustainability-related financial disclosures, but the language used is vague or unclear; (c) material information about a sustainability-related risk or opportunity is scattered throughout the sustainability-related financial disclosures; (d) items of information that are dissimilar are inappropriately aggregated; (e) items of information that are similar are inappropriately disaggregated; and (f) the understandability of the sustainability-related financial disclosures is reduced as a result of material information being hidden by immaterial information to the extent that a primary user is unable to determine what information is material.",prohibition,True,must_disclose_leaf,"[""materiality""]",general,1.0,[],1.0,[],General Requirements,prohibition,True,must_disclose_leaf,"[""materiality""]",general,General Requirements,prohibition,True,must_disclose_leaf,"[""materiality""]",general,True,True,True,"Appendix B example item (b) describes a circumstance of obscuring material information; it is illustrative guidance supporting the prohibition, not a standalone prohibition itself.",0.86,0.78
IFRS_S1_B27_C03,IFRS S1,B27,31,General Requirements,Materiality (paragraphs 17–19),Materiality (paragraphs 17–19),auto_appendix_reference_or_heading,B,3,(c),1,(c),True,An entity shall identify its sustainability-related financial disclosures clearly and distinguish them from other information provided…,An entity shall identify its sustainability-related financial disclosures clearly and distinguish them from other information provided by the entity (see paragraph 62). An entity shall not obscure material information. Information is obscured if it is communicated in a way that would have a similar effect for primary users to omitting or misstating that information. Examples of circumstances that might result in material information being obscured include — (c) material information about a sustainability-related risk or opportunity is scattered throughout the sustainability-related financial disclosures,An entity shall identify its sustainability-related financial disclosures clearly and distinguish them from other information provided by the entity (see paragraph 62). An entity shall not obscure material information. Information is obscured if it is communicated in a way that would have a similar effect for primary users to omitting or misstating that information. Examples of circumstances that might result in material information being obscured include — (c) material information about a sustainability-related risk or opportunity is scattered throughout the sustainability-related financial disclosures,An entity shall identify its sustainability-related financial disclosures clearly and distinguish them from other information provided by the entity (see paragraph 62). An entity shall not obscure material information. Information is obscured if it is communicated in a way that would have a similar effect for primary users to omitting or misstating that information. Examples of circumstances that might result in material information being obscured include,"An entity shall identify its sustainability-related financial disclosures clearly and distinguish them from other information provided by the entity (see paragraph 62). An entity shall not obscure material information. Information is obscured if it is communicated in a way that would have a similar effect for primary users to omitting or misstating that information. Examples of circumstances that might result in material information being obscured include: (a) material information is not clearly distinguished from additional information that is not material; (b) material information is disclosed in the sustainability-related financial disclosures, but the language used is vague or unclear; (c) material information about a sustainability-related risk or opportunity is scattered throughout the sustainability-related financial disclosures; (d) items of information that are dissimilar are inappropriately aggregated; (e) items of information that are similar are inappropriately disaggregated; and (f) the understandability of the sustainability-related financial disclosures is reduced as a result of material information being hidden by immaterial information to the extent that a primary user is unable to determine what information is material.",prohibition,True,must_disclose_leaf,"[""materiality""]",general,1.0,[],1.0,[],General Requirements,prohibition,True,must_disclose_leaf,"[""materiality""]",general,General Requirements,prohibition,True,must_disclose_leaf,"[""materiality""]",general,True,True,True,"Clause (c) is an example of obscuring material information, not a standalone prohibition; obligation type/bucket may be better treated as guidance/example rather than must-disclose leaf.",0.86,0.78
IFRS_S1_B41_C04,IFRS S1,B41,33,General Requirements,Connected information (paragraphs 21–24),Connected information (paragraphs 21–24),auto_appendix_reference_or_heading,B,4,(b),1,(b),True,"Connected information includes — (b) connections between disclosures about various sustainability-related risks and opportunities. For example,…","Connected information includes — (b) connections between disclosures about various sustainability-related risks and opportunities. For example, if an entity integrates its oversight of sustainability-related risks and opportunities, the entity shall integrate the disclosures on governance instead of providing separate disclosures on governance for each sustainability-related risk and opportunity.","Connected information includes — (b) connections between disclosures about various sustainability-related risks and opportunities. For example, if an entity integrates its oversight of sustainability-related risks and opportunities, the entity shall integrate the disclosures on governance instead of providing separate disclosures on governance for each sustainability-related risk and opportunity.",Connected information includes,"Connected information includes: (a) connections between various types of information about a particular sustainability-related risk or opportunity, such as: (i) between disclosures on governance, strategy and risk management; and (ii) between narrative information and quantitative information (including related metrics and targets and information in the related financial statements). (b) connections between disclosures about various sustainability-related risks and opportunities. For example, if an entity integrates its oversight of sustainability-related risks and opportunities, the entity shall integrate the disclosures on governance instead of providing separate disclosures on governance for each sustainability-related risk and opportunity.",mandatory,True,must_disclose_leaf,"[""connected_information""]",general,1.0,[],1.0,[],General Requirements,mandatory,True,must_disclose_leaf,"[""connected_information""]",general,General Requirements,mandatory,True,must_disclose_leaf,"[""connected_information""]",general,True,True,True,Clause (b) is partly definitional/context (“Connected information includes…”) and partly mandatory (“shall integrate…”); may need splitting into definition vs requirement.,0.86,0.78
IFRS_S1_B59_C01,IFRS S1,B59,37,General Requirements,Errors,Errors,auto_appendix_reference_or_heading,B,1,,0,,True,"When it is impracticable to determine the effect of an error on all prior periods presented,…","When it is impracticable to determine the effect of an error on all prior periods presented, the entity shall restate the comparative information to correct the error from the earliest date practicable.","When it is impracticable to determine the effect of an error on all prior periods presented, the entity shall restate the comparative information to correct the error from the earliest date practicable.",,"When it is impracticable to determine the effect of an error on all prior periods presented, the entity shall restate the comparative information to correct the error from the earliest date practicable.",mandatory,True,must_disclose_leaf,[],general,1.0,[],1.0,[],General Requirements,mandatory,True,must_disclose_leaf,[],general,General Requirements,mandatory,True,must_disclose_leaf,[],general,True,True,True,Appendix B 'Errors' text is about restating comparative information (accounting treatment) rather than sustainability disclosures; may be out of scope for report-generation KB.,0.74,0.86
IFRS_S1_D20_C01,IFRS S1,D20,42,General Requirements,Materiality,Materiality,auto_appendix_reference_or_heading,D,1,,0,,True,"Comparability is not uniformity. For information to be comparable, like things shall look alike and different…","Comparability is not uniformity. For information to be comparable, like things shall look alike and different things shall look different. Comparability of sustainability-related financial information is not enhanced by making unlike things look alike any more than it is enhanced by making like things look different. Verifiability","Comparability is not uniformity. For information to be comparable, like things shall look alike and different things shall look different. Comparability of sustainability-related financial information is not enhanced by making unlike things look alike any more than it is enhanced by making like things look different. Verifiability",,"Comparability is not uniformity. For information to be comparable, like things shall look alike and different things shall look different. Comparability of sustainability-related financial information is not enhanced by making unlike things look alike any more than it is enhanced by making like things look different. Verifiability",mandatory,True,must_disclose_leaf,"[""materiality""]",general,1.0,[],1.0,[],General Requirements,mandatory,True,must_disclose_leaf,"[""materiality""]",general,General Requirements,mandatory,True,must_disclose_leaf,"[""materiality""]",general,True,True,True,"Text explains qualitative characteristic (comparability) and reads as guidance, despite 'shall' wording; also appears truncated with stray 'Verifiability', so review extraction/leaf status.",0.72,0.74
IFRS_S1_D24_C01,IFRS S1,D24,42,General Requirements,Materiality,Materiality,auto_appendix_reference_or_heading,D,1,,0,,True,Some sustainability-related financial information will be presented as explanations or forward-looking information. That information can be…,"Some sustainability-related financial information will be presented as explanations or forward-looking information. That information can be supportable, for example by faithfully representing fact-based strategies, plans and risk analyses. To help primary users decide whether to use such information, an entity shall describe the underlying assumptions and methods of producing the information, as well as other factors that provide evidence that the information reflects the actual plans or decisions made by the entity. Timeliness","Some sustainability-related financial information will be presented as explanations or forward-looking information. That information can be supportable, for example by faithfully representing fact-based strategies, plans and risk analyses. To help primary users decide whether to use such information, an entity shall describe the underlying assumptions and methods of producing the information, as well as other factors that provide evidence that the information reflects the actual plans or decisions made by the entity. Timeliness",,"Some sustainability-related financial information will be presented as explanations or forward-looking information. That information can be supportable, for example by faithfully representing fact-based strategies, plans and risk analyses. To help primary users decide whether to use such information, an entity shall describe the underlying assumptions and methods of producing the information, as well as other factors that provide evidence that the information reflects the actual plans or decisions made by the entity. Timeliness",mandatory,True,must_disclose_leaf,"[""materiality""]",general,1.0,[],1.0,[],General Requirements,mandatory,True,must_disclose_leaf,"[""materiality""]",general,General Requirements,mandatory,True,must_disclose_leaf,"[""materiality""]",general,True,False,True,"Appendix D materiality; contains a clear 'shall describe' disclosure. However trailing 'Timeliness' suggests a heading/marker artifact, so splitting and text cleanliness need review.",0.74,0.72
IFRS_S2_B14_C01,IFRS S2,B14,28,Strategy,Making analytical choices,Making analytical choices,auto_appendix_reference_or_heading,B,1,,0,,True,An entity’s resilience assessment will be informed not only by the individual inputs to its climate-related…,"An entity’s resilience assessment will be informed not only by the individual inputs to its climate-related scenario analysis, but also by the information it develops in combining those inputs to carry out the analysis. The entity shall prioritise the analytical choices (for example, whether to use qualitative analysis or quantitative modelling) that will enable it to consider all reasonable and supportable information that is available to the entity at the reporting date without undue cost or effort. For example, if an entity is able— without undue cost or effort—to incorporate multiple carbon price pathways associated with a given outcome (for example, a 1.5 degree Celsius outcome), this analysis is likely to strengthen the entity’s resilience assessment, assuming such an approach is warranted by the entity’s risk exposure.","An entity’s resilience assessment will be informed not only by the individual inputs to its climate-related scenario analysis, but also by the information it develops in combining those inputs to carry out the analysis. The entity shall prioritise the analytical choices (for example, whether to use qualitative analysis or quantitative modelling) that will enable it to consider all reasonable and supportable information that is available to the entity at the reporting date without undue cost or effort. For example, if an entity is able— without undue cost or effort—to incorporate multiple carbon price pathways associated with a given outcome (for example, a 1.5 degree Celsius outcome), this analysis is likely to strengthen the entity’s resilience assessment, assuming such an approach is warranted by the entity’s risk exposure.",,"An entity’s resilience assessment will be informed not only by the individual inputs to its climate-related scenario analysis, but also by the information it develops in combining those inputs to carry out the analysis. The entity shall prioritise the analytical choices (for example, whether to use qualitative analysis or quantitative modelling) that will enable it to consider all reasonable and supportable information that is available to the entity at the reporting date without undue cost or effort. For example, if an entity is able— without undue cost or effort—to incorporate multiple carbon price pathways associated with a given outcome (for example, a 1.5 degree Celsius outcome), this analysis is likely to strengthen the entity’s resilience assessment, assuming such an approach is warranted by the entity’s risk exposure.",mandatory,True,must_disclose_leaf,"[""scenario_analysis""]",medium,1.0,[],1.0,[],Strategy,mandatory,True,must_disclose_leaf,"[""scenario_analysis""]",medium,Strategy,mandatory,True,must_disclose_leaf,"[""scenario_analysis""]",medium,True,True,True,"Appendix B text contains a mandatory 'shall' about prioritising analytical choices for scenario analysis, but it reads more like methodological guidance than a disclosure requirement.",0.78,0.74
IFRS_S2_B17_C01,IFRS S2,B17,29,Strategy,Additional considerations,Additional considerations,auto_appendix_reference_or_heading,B,1,,0,,True,"An entity might use a simpler approach to climate-related scenario analysis, such as qualitative scenario narratives,…","An entity might use a simpler approach to climate-related scenario analysis, such as qualitative scenario narratives, if such an approach is appropriate to the entity’s circumstances. For example, if an entity does not currently have the skills, capabilities or resources to carry out quantitative climate-related scenario analysis but has a high degree of exposure to climate-related risk, the entity might initially use a simpler approach to climate-related scenario analysis, but would build its capabilities through experience and, therefore, would apply a more advanced quantitative approach to climate-related scenario analysis over time. An entity with a high degree of exposure to climate-related risks and opportunities, and with access to the necessary skills, capabilities or resources, is required to apply a more advanced quantitative approach to climate-related scenario analysis.","An entity might use a simpler approach to climate-related scenario analysis, such as qualitative scenario narratives, if such an approach is appropriate to the entity’s circumstances. For example, if an entity does not currently have the skills, capabilities or resources to carry out quantitative climate-related scenario analysis but has a high degree of exposure to climate-related risk, the entity might initially use a simpler approach to climate-related scenario analysis, but would build its capabilities through experience and, therefore, would apply a more advanced quantitative approach to climate-related scenario analysis over time. An entity with a high degree of exposure to climate-related risks and opportunities, and with access to the necessary skills, capabilities or resources, is required to apply a more advanced quantitative approach to climate-related scenario analysis.",,"An entity might use a simpler approach to climate-related scenario analysis, such as qualitative scenario narratives, if such an approach is appropriate to the entity’s circumstances. For example, if an entity does not currently have the skills, capabilities or resources to carry out quantitative climate-related scenario analysis but has a high degree of exposure to climate-related risk, the entity might initially use a simpler approach to climate-related scenario analysis, but would build its capabilities through experience and, therefore, would apply a more advanced quantitative approach to climate-related scenario analysis over time. An entity with a high degree of exposure to climate-related risks and opportunities, and with access to the necessary skills, capabilities or resources, is required to apply a more advanced quantitative approach to climate-related scenario analysis.",mandatory,True,must_disclose_leaf,"[""scenario_analysis""]",medium,1.0,[],1.0,[],Strategy,mandatory,True,must_disclose_leaf,"[""scenario_analysis""]",medium,Strategy,mandatory,True,must_disclose_leaf,"[""scenario_analysis""]",medium,True,True,True,Appendix B guidance mixes optional language with one mandatory clause (“is required to apply”). Leaf/mandatory tagging is plausible but may be interpretive rather than a disclosure requirement.,0.74,0.72
IFRS_S2_B18_C01,IFRS S2,B18,29,Strategy,Additional considerations,Additional considerations,auto_appendix_reference_or_heading,B,1,,0,,True,Although paragraph 22 requires an entity to disclose information about its climate resilience at each reporting…,"Although paragraph 22 requires an entity to disclose information about its climate resilience at each reporting date, the entity might carry out its climate-related scenario analysis in line with its strategic planning cycle, including a multi-year strategic planning cycle (for example, every three to five years). Therefore, in some reporting periods the entity’s disclosures in accordance with paragraph 22(b) could remain unchanged from the previous reporting period if the entity does not conduct a scenario analysis annually. The entity shall—at a minimum—update its climate-related scenario analysis in line with its strategic planning cycle. However, an assessment of the entity’s resilience is required to be carried out annually to reflect updated insight into the implications of climate uncertainty for the entity’s business model and strategy. As such, an entity’s disclosure in accordance with paragraph 22(a)— that is, the results of the entity’s resilience assessment—shall be updated at each reporting period. Permission to use information from a reporting period that is different from the entity’s reporting period, in specific circumstances","Although paragraph 22 requires an entity to disclose information about its climate resilience at each reporting date, the entity might carry out its climate-related scenario analysis in line with its strategic planning cycle, including a multi-year strategic planning cycle (for example, every three to five years). Therefore, in some reporting periods the entity’s disclosures in accordance with paragraph 22(b) could remain unchanged from the previous reporting period if the entity does not conduct a scenario analysis annually. The entity shall—at a minimum—update its climate-related scenario analysis in line with its strategic planning cycle. However, an assessment of the entity’s resilience is required to be carried out annually to reflect updated insight into the implications of climate uncertainty for the entity’s business model and strategy. As such, an entity’s disclosure in accordance with paragraph 22(a)— that is, the results of the entity’s resilience assessment—shall be updated at each reporting period. Permission to use information from a reporting period that is different from the entity’s reporting period, in specific circumstances",,"Although paragraph 22 requires an entity to disclose information about its climate resilience at each reporting date, the entity might carry out its climate-related scenario analysis in line with its strategic planning cycle, including a multi-year strategic planning cycle (for example, every three to five years). Therefore, in some reporting periods the entity’s disclosures in accordance with paragraph 22(b) could remain unchanged from the previous reporting period if the entity does not conduct a scenario analysis annually. The entity shall—at a minimum—update its climate-related scenario analysis in line with its strategic planning cycle. However, an assessment of the entity’s resilience is required to be carried out annually to reflect updated insight into the implications of climate uncertainty for the entity’s business model and strategy. As such, an entity’s disclosure in accordance with paragraph 22(a)— that is, the results of the entity’s resilience assessment—shall be updated at each reporting period. Permission to use information from a reporting period that is different from the entity’s reporting period, in specific circumstances",mandatory,True,must_disclose_leaf,"[""business_model_value_chain"", ""scenario_analysis""]",medium,1.0,[],1.0,[],Strategy,mandatory,True,must_disclose_leaf,"[""business_model_value_chain"", ""scenario_analysis""]",medium,Strategy,mandatory,True,must_disclose_leaf,"[""business_model_value_chain"", ""scenario_analysis""]",medium,True,False,True,"Appendix B text contains mandatory update requirements, but ends with an unrelated fragment (“Permission to use information…”), suggesting extraction/merge error; keep Strategy but flag for cleanup.",0.86,0.78
