node_id,bank_id,node_name,node_type,upstream_downstream,sustainability_theme,climate_exposure_type,materiality_flag,climate_risk_description,financial_exposure_meur,nace_link,scope3_category,ifrs_s2_para_evidence
VC-BANK01-0001,BANK01,Own banking operations — buildings,own_operations,own,climate_physical,physical_chronic,True,Operational sites and travel generate Scope 1-2 emissions and face physical disruption.,,L68,,§13(a)
VC-BANK01-0002,BANK01,Corporate fleet & business travel,own_operations,own,climate_transition,transition_market,True,Operational sites and travel generate Scope 1-2 emissions and face physical disruption.,,H49,Cat.6,§13(a)
VC-BANK01-0003,BANK01,Employee commuting,downstream_customer,downstream,environmental_other,none,False,,,,Cat.7,§13(a)
VC-BANK01-0004,BANK01,IT infrastructure & cloud providers,upstream_supplier,upstream,environmental_other,none,False,,223.85,J62,Cat.1,§13(a)
VC-BANK01-0005,BANK01,Office space landlords,upstream_supplier,upstream,environmental_other,none,False,,445.41,L68,Cat.2,§13(a)
VC-BANK01-0006,BANK01,Professional services suppliers,upstream_supplier,upstream,environmental_other,none,False,,120.73,M70,Cat.1,§13(a)
VC-BANK01-0007,BANK01,Corporate borrowers — Manufacture of coke and refined petroleum,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Manufacture of coke and refined petroleum carries elevated transition risk from carbon pricing and demand shifts.,3903.65,C19,Cat.15,§13(a)
VC-BANK01-0008,BANK01,Corporate borrowers — Manufacture of motor vehicles,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Manufacture of motor vehicles subject to moderate physical and transition risk.,3871.6,C29,Cat.15,§13(a)
VC-BANK01-0009,BANK01,Corporate borrowers — Mining of coal and lignite,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Mining of coal and lignite carries elevated transition risk from carbon pricing and demand shifts.,3547.58,B05,Cat.15,§13(a)
VC-BANK01-0010,BANK01,Corporate borrowers — Education,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Education subject to moderate physical and transition risk.,2962.25,P85,Cat.15,§13(a)
VC-BANK01-0011,BANK01,Corporate borrowers — Mining of metal ores,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Mining of metal ores carries elevated transition risk from carbon pricing and demand shifts.,2749.58,B07,Cat.15,§13(a)
VC-BANK01-0012,BANK01,Corporate borrowers — Other mining and quarrying,financing_counterparty,downstream,climate_transition,transition_policy,True,Lending to Other mining and quarrying carries elevated transition risk from carbon pricing and demand shifts.,2102.44,B08,Cat.15,§13(a)
VC-BANK01-0013,BANK01,Corporate borrowers — Manufacture of electrical equipment,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Manufacture of electrical equipment subject to moderate physical and transition risk.,1827.09,C27,Cat.15,§13(a)
VC-BANK01-0014,BANK01,Corporate borrowers — Manufacture of food products,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Manufacture of food products subject to moderate physical and transition risk.,1765.5,C10,Cat.15,§13(a)
VC-BANK01-0015,BANK01,Corporate borrowers — Civil engineering,financing_counterparty,downstream,climate_physical,physical_chronic,True,Exposure to Civil engineering subject to moderate physical and transition risk.,1709.19,F42,Cat.15,§13(a)
