risk_id,bank_id,reporting_year,risk_name,risk_category,risk_description,time_horizon,likelihood_score,severity_score,risk_rating,financial_impact_meur,mitigation_actions,erm_integrated_flag,scenario_analysis_link,monitoring_frequency,changed_since_prior_period,ifrs_s2_para_evidence
RISK-BANK01-2023-0001,BANK01,2023,Physical risk — mortgage book flood exposure,physical_acute,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,short_0_2yr,4,5,critical,113.1,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",True,SCN0009,monthly,False,§25(a)
RISK-BANK01-2023-0002,BANK01,2023,Reputational risk — financed emissions scrutiny,transition_reputational,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,long_5yr_plus,5,3,critical,29.4,Enhanced financed-emissions disclosure controls and client engagement on transition plans,True,,quarterly,True,§25(a)
RISK-BANK01-2023-0003,BANK01,2023,Stranded assets — fossil fuel sector exposure,transition_market,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",medium_2_5yr,4,5,critical,119.3,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",True,,monthly,False,§25(a)
RISK-BANK01-2023-0004,BANK01,2023,Transition risk — carbon pricing on industrial loans,transition_policy,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",medium_2_5yr,5,3,critical,28.9,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",True,SCN0007,quarterly,True,§25(a)
RISK-BANK01-2023-0005,BANK01,2023,Transition risk — EV shift in auto lending,transition_technology,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,short_0_2yr,5,5,critical,414.2,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",True,SCN0007,monthly,False,§25(a)
RISK-BANK01-2023-0006,BANK01,2023,Physical risk — wildfire exposure in southern portfolio,physical_acute,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,long_5yr_plus,4,3,high,19.4,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",False,SCN0007,semi_annual,False,§25(a)
RISK-BANK01-2023-0007,BANK01,2023,Transition risk — building energy performance regulation,transition_policy,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",long_5yr_plus,3,4,high,72.8,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",True,SCN0011,semi_annual,False,§25(a)
RISK-BANK01-2023-0008,BANK01,2023,Physical risk — heat stress on agricultural borrowers,physical_chronic,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",long_5yr_plus,4,4,critical,88.9,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",True,SCN0005,quarterly,False,§25(a)
RISK-BANK01-2024-0001,BANK01,2024,Physical risk — mortgage book flood exposure,physical_acute,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,long_5yr_plus,5,3,critical,24.8,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",True,SCN0004,quarterly,False,§25(a)
RISK-BANK01-2024-0002,BANK01,2024,Transition risk — building energy performance regulation,transition_policy,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",long_5yr_plus,4,3,high,21.6,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",False,,semi_annual,False,§25(a)
RISK-BANK01-2024-0003,BANK01,2024,Physical risk — heat stress on agricultural borrowers,physical_chronic,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",short_0_2yr,3,3,high,20.6,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",True,SCN0011,semi_annual,True,§25(a)
RISK-BANK01-2024-0004,BANK01,2024,Physical risk — wildfire exposure in southern portfolio,physical_acute,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,short_0_2yr,4,3,high,22.7,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",False,SCN0002,semi_annual,False,§25(a)
RISK-BANK01-2024-0005,BANK01,2024,Stranded assets — fossil fuel sector exposure,transition_market,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",long_5yr_plus,4,4,critical,136.5,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",True,,quarterly,False,§25(a)
RISK-BANK01-2024-0006,BANK01,2024,Transition risk — EV shift in auto lending,transition_technology,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,short_0_2yr,4,4,critical,165.2,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",True,SCN0011,quarterly,True,§25(a)
RISK-BANK01-2024-0007,BANK01,2024,Reputational risk — financed emissions scrutiny,transition_reputational,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,medium_2_5yr,3,3,high,65.5,Enhanced financed-emissions disclosure controls and client engagement on transition plans,True,SCN0013,semi_annual,True,§25(a)
RISK-BANK01-2024-0008,BANK01,2024,Transition risk — carbon pricing on industrial loans,transition_policy,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",medium_2_5yr,4,4,critical,67.5,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",True,,quarterly,True,§25(a)
RISK-BANK02-2023-0001,BANK02,2023,Transition risk — carbon pricing on industrial loans,transition_policy,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",short_0_2yr,3,4,high,33.0,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",False,SCN0024,semi_annual,False,§25(a)
RISK-BANK02-2023-0002,BANK02,2023,Physical risk — heat stress on agricultural borrowers,physical_chronic,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",long_5yr_plus,5,3,critical,33.0,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",True,SCN0032,quarterly,False,§25(a)
RISK-BANK02-2023-0003,BANK02,2023,Physical risk — wildfire exposure in southern portfolio,physical_acute,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,short_0_2yr,3,4,high,72.6,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",True,SCN0030,semi_annual,True,§25(a)
RISK-BANK02-2023-0004,BANK02,2023,Transition risk — building energy performance regulation,transition_policy,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",short_0_2yr,4,4,critical,122.8,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",True,,quarterly,True,§25(a)
RISK-BANK02-2023-0005,BANK02,2023,Reputational risk — financed emissions scrutiny,transition_reputational,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,short_0_2yr,4,4,critical,54.1,Enhanced financed-emissions disclosure controls and client engagement on transition plans,True,SCN0022,quarterly,False,§25(a)
RISK-BANK02-2023-0006,BANK02,2023,Transition risk — EV shift in auto lending,transition_technology,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,short_0_2yr,3,4,high,124.9,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",True,SCN0035,semi_annual,False,§25(a)
RISK-BANK02-2023-0007,BANK02,2023,Stranded assets — fossil fuel sector exposure,transition_market,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",long_5yr_plus,5,5,critical,558.7,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",True,,monthly,False,§25(a)
RISK-BANK02-2023-0008,BANK02,2023,Physical risk — mortgage book flood exposure,physical_acute,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,long_5yr_plus,4,3,high,30.1,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",True,,semi_annual,True,§25(a)
RISK-BANK02-2024-0001,BANK02,2024,Physical risk — heat stress on agricultural borrowers,physical_chronic,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",short_0_2yr,4,4,critical,70.0,"Climate scenario stress testing, sector monitoring and borrower adaptation engagement",True,,quarterly,True,§25(a)
RISK-BANK02-2024-0002,BANK02,2024,Physical risk — wildfire exposure in southern portfolio,physical_acute,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,long_5yr_plus,3,5,critical,229.4,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",True,SCN0031,quarterly,True,§25(a)
RISK-BANK02-2024-0003,BANK02,2024,Transition risk — carbon pricing on industrial loans,transition_policy,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",medium_2_5yr,3,3,high,20.1,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",True,,semi_annual,True,§25(a)
RISK-BANK02-2024-0004,BANK02,2024,Reputational risk — financed emissions scrutiny,transition_reputational,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,medium_2_5yr,5,3,critical,9.2,Enhanced financed-emissions disclosure controls and client engagement on transition plans,True,,quarterly,True,§25(a)
RISK-BANK02-2024-0005,BANK02,2024,Physical risk — mortgage book flood exposure,physical_acute,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,medium_2_5yr,3,5,critical,441.2,"Collateral revaluation, flood-zone mapping overlay and updated mortgage underwriting criteria",True,,quarterly,False,§25(a)
RISK-BANK02-2024-0006,BANK02,2024,Stranded assets — fossil fuel sector exposure,transition_market,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",medium_2_5yr,4,5,critical,131.1,"Sector exposure limits, enhanced due diligence and portfolio decarbonisation glide-path monitoring",True,SCN0035,monthly,True,§25(a)
RISK-BANK02-2024-0007,BANK02,2024,Transition risk — EV shift in auto lending,transition_technology,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,long_5yr_plus,3,3,high,14.7,"Technology transition monitoring, sector concentration limits and client transition-plan engagement",False,SCN0033,semi_annual,False,§25(a)
RISK-BANK02-2024-0008,BANK02,2024,Transition risk — building energy performance regulation,transition_policy,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",short_0_2yr,4,4,critical,34.5,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",True,,quarterly,True,§25(a)
RISK-BANK03-2023-0001,BANK03,2023,Physical risk — wildfire exposure in southern portfolio,physical_acute,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,short_0_2yr,5,3,critical,23.5,"Wildfire hazard mapping, collateral revaluation and borrower resilience engagement",True,SCN0048,quarterly,False,§25(a)
RISK-BANK03-2023-0002,BANK03,2023,Transition risk — building energy performance regulation,transition_policy,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",short_0_2yr,3,3,high,12.3,"Sector exposure limits, carbon-cost sensitivity analysis and enhanced due diligence",True,,semi_annual,False,§25(a)
