company_id,reporting_year,has_climate_target,target_type,target_scope,target_base_year,target_year,target_value_pct,interim_target_year,interim_target_value_pct,target_status,target_validation_status,has_transition_plan,transition_plan_status,transition_plan_covers_operations,transition_plan_covers_supply_chain,transition_plan_covers_capex_alignment,uses_carbon_credits,carbon_credit_type,carbon_credit_planned_use,target_note,transition_plan_note,source_document_name,source_document_type
C001,2020,True,net zero target,"Scope 1, 2 and 3",2020.0,2040.0,25.0,2028.0,14.0,partially on track,under review,False,no formal transition plan,False,False,False,True,avoidance credits,interim target support,"The company has a net zero target covering Scope 1, 2 and 3 emissions.",No formal transition plan identified.,Target and Transition Pack 2020,net zero commitment document
C001,2021,True,emissions intensity reduction,Scope 2,2019.0,2045.0,50.0,2028.0,25.0,not assessed,SBTi validated,True,formal published plan,True,True,False,False,,,The company has a emissions intensity reduction covering Scope 2 emissions.,The company has a transition plan describing decarbonization actions and implementation priorities.,Target and Transition Pack 2021,climate transition plan
C001,2022,False,,,,,,,,,,False,no formal transition plan,False,False,False,False,,,No formal climate target identified.,No formal transition plan identified.,Target and Transition Pack 2022,climate transition plan
C001,2023,False,,,,,,,,,,True,board-approved internal plan,True,False,False,False,,,No formal climate target identified.,The company has a transition plan describing decarbonization actions and implementation priorities.,Target and Transition Pack 2023,target approval memo
C001,2024,True,energy efficiency target,Scope 1 and 2,2022.0,2035.0,30.0,2028.0,20.0,on track,not validated,True,partial transition actions only,True,True,True,False,,,The company has a energy efficiency target covering Scope 1 and 2 emissions.,The company has a transition plan describing decarbonization actions and implementation priorities.,Target and Transition Pack 2024,target approval memo
C002,2020,False,,,,,,,,,,True,board-approved internal plan,True,True,False,True,mixed portfolio,interim target support,No formal climate target identified.,The company has a transition plan describing decarbonization actions and implementation priorities.,Target and Transition Pack 2020,board-approved decarbonization roadmap
C002,2021,True,net zero target,Scope 1,2021.0,2035.0,20.0,2025.0,12.0,partially on track,internally approved,True,formal published plan,True,True,True,True,nature-based credits,voluntary offsetting only,The company has a net zero target covering Scope 1 emissions.,The company has a transition plan describing decarbonization actions and implementation priorities.,Target and Transition Pack 2021,target approval memo
C002,2022,True,net zero target,Scope 1,2020.0,2040.0,20.0,2025.0,13.0,not assessed,not validated,True,partial transition actions only,True,True,False,False,,,The company has a net zero target covering Scope 1 emissions.,The company has a transition plan describing decarbonization actions and implementation priorities.,Target and Transition Pack 2022,target approval memo
C002,2023,True,net zero target,Scope 1,2023.0,2030.0,90.0,2027.0,42.0,delayed,SBTi validated,False,no formal transition plan,False,False,False,False,,,The company has a net zero target covering Scope 1 emissions.,No formal transition plan identified.,Target and Transition Pack 2023,net zero commitment document
C002,2024,True,energy efficiency target,Scope 1,2022.0,2040.0,30.0,2028.0,14.0,delayed,not validated,True,board-approved internal plan,True,False,True,False,,,The company has a energy efficiency target covering Scope 1 emissions.,The company has a transition plan describing decarbonization actions and implementation priorities.,Target and Transition Pack 2024,target approval memo
C003,2020,True,emissions intensity reduction,"Scope 1, 2 and 3",2023.0,2050.0,50.0,2028.0,15.0,delayed,internally approved,True,board-approved internal plan,True,False,True,False,,,"The company has a emissions intensity reduction covering Scope 1, 2 and 3 emissions.",The company has a transition plan describing decarbonization actions and implementation priorities.,Target and Transition Pack 2020,net zero commitment document
C003,2021,True,emissions intensity reduction,Scope 1,2020.0,2045.0,90.0,2028.0,54.0,not assessed,not validated,True,board-approved internal plan,True,True,True,True,removal credits,interim target support,The company has a emissions intensity reduction covering Scope 1 emissions.,The company has a transition plan describing decarbonization actions and implementation priorities.,Target and Transition Pack 2021,net zero commitment document
C003,2022,True,net zero target,Scope 1 and 2,2021.0,2045.0,45.0,2027.0,18.0,on track,internally approved,True,board-approved internal plan,True,True,False,True,removal credits,residual emissions only,The company has a net zero target covering Scope 1 and 2 emissions.,The company has a transition plan describing decarbonization actions and implementation priorities.,Target and Transition Pack 2022,target approval memo
C003,2023,True,net zero target,Scope 1 and 2,2019.0,2035.0,40.0,2027.0,17.0,delayed,SBTi validated,True,partial transition actions only,True,True,False,False,,,The company has a net zero target covering Scope 1 and 2 emissions.,The company has a transition plan describing decarbonization actions and implementation priorities.,Target and Transition Pack 2023,net zero commitment document
C003,2024,True,energy efficiency target,Scope 1,2019.0,2050.0,75.0,2027.0,36.0,delayed,internally approved,False,no formal transition plan,False,False,False,False,,,The company has a energy efficiency target covering Scope 1 emissions.,No formal transition plan identified.,Target and Transition Pack 2024,climate transition plan
C004,2020,True,absolute emissions reduction,"Scope 1, 2 and 3",2022.0,2030.0,20.0,2025.0,10.0,delayed,SBTi validated,False,no formal transition plan,False,False,False,True,removal credits,residual emissions only,"The company has a absolute emissions reduction covering Scope 1, 2 and 3 emissions.",No formal transition plan identified.,Target and Transition Pack 2020,net zero commitment document
C004,2021,True,emissions intensity reduction,"Scope 1, 2 and 3",2022.0,2045.0,60.0,2027.0,25.0,on track,SBTi validated,True,formal published plan,True,True,True,False,,,"The company has a emissions intensity reduction covering Scope 1, 2 and 3 emissions.",The company has a transition plan describing decarbonization actions and implementation priorities.,Target and Transition Pack 2021,target approval memo
C004,2022,True,energy efficiency target,"Scope 1, 2 and 3",2021.0,2030.0,45.0,2026.0,26.0,not assessed,SBTi validated,True,partial transition actions only,True,True,False,True,removal credits,interim target support,"The company has a energy efficiency target covering Scope 1, 2 and 3 emissions.",The company has a transition plan describing decarbonization actions and implementation priorities.,Target and Transition Pack 2022,climate transition plan
C004,2023,True,emissions intensity reduction,Scope 1,2019.0,2035.0,45.0,2027.0,21.0,not assessed,under review,True,partial transition actions only,True,True,True,False,,,The company has a emissions intensity reduction covering Scope 1 emissions.,The company has a transition plan describing decarbonization actions and implementation priorities.,Target and Transition Pack 2023,board-approved decarbonization roadmap
C004,2024,True,renewable electricity target,Scope 1 and 2,2019.0,2030.0,20.0,2026.0,13.0,delayed,SBTi validated,True,formal published plan,True,False,False,False,,,The company has a renewable electricity target covering Scope 1 and 2 emissions.,The company has a transition plan describing decarbonization actions and implementation priorities.,Target and Transition Pack 2024,target approval memo
