report_section,standard,source_authority,paragraph,source_ref,primary_section,all_report_sections,obligation_type,applicability,applies_to_banks,metric_type,related_paragraphs,requirement_text,covered_in_draft,evidence_sentence,missing_data,qa_comment
metrics_targets,S1,core_standard,6(b)(i),S1 ¶6(b)(i) p.9-9,general_requirements,general_requirements;governance;strategy;risk_management;metrics_targets,shall,not_financial_specific,False,,,"within its sustainability-related financial disclosures —such as connections between disclosures on governance, strategy, risk management and metrics and targets; and",,,,
metrics_targets,S1,core_standard,14(vi)(b)(i),S1 ¶14(vi)(b)(i) p.16-17,general_requirements,general_requirements;metrics_targets,shall,not_financial_specific,False,,,"An entity shall label and define metrics and targets using meaningful, clear and precise names and descriptions.",,,,
metrics_targets,S1,core_standard,16(b)(iii)(a),S1 ¶16(b)(iii)(a) p.18-19,general_requirements,general_requirements;metrics_targets,shall,not_financial_specific,False,,57,In making the judgement described in paragraph 57: (a) an entity shall refer to and consider the applicability of the metrics associated with the disclosure topics included in the SASB Standards.,,,,
metrics_targets,S1,core_standard,32(ii)(b),S1 ¶32(ii)(b) p.34-34,general_requirements,general_requirements;governance;strategy;risk_management;metrics_targets,shall,not_financial_specific,False,,,"For example, if an entity integrates its oversight of sustainability-related risks and opportunities, the entity shall integrate the disclosures on governance instead of providing separate disclosures on governance for each sustainability-related risk and opportunity.",,,,
metrics_targets,S1,core_standard,32(ii)(c),S1 ¶32(ii)(c) p.34-34,general_requirements,general_requirements;metrics_targets,shall,not_financial_specific,False,,,"In providing connected information, an entity shall: disclose information about significant differences between the data and assumptions used in preparing the entity ’s sustainability-related financial disclosures and the data and assumptions used in preparing the related financial statements.",,,,
metrics_targets,S1,core_standard,34(a),S1 ¶34(a) p.36-36,general_requirements,general_requirements;metrics_targets,shall,not_financial_specific,False,,B51,"Except as specified in paragraph B51, if an entity identifies new information in relation to the estimated amount disclosed in the preceding period and the new information provides evidence of circumstances that existed in that period, the entity shall: disclose a revised comparative amount that reflects that new information;",,,,
metrics_targets,S1,core_standard,34(a),S1 ¶34(a) p.36-36,general_requirements,general_requirements;metrics_targets,shall,not_financial_specific,False,,,"If an entity redefines or replaces a metric in the reporting period, the entity shall: disclose a revised comparative amount, unless it is impracticable to do so;",,,,
metrics_targets,S1,core_standard,34(b),S1 ¶34(b) p.36-36,general_requirements,general_requirements;metrics_targets,shall,not_financial_specific,False,,B51,"Except as specified in paragraph B51, if an entity identifies new information in relation to the estimated amount disclosed in the preceding period and the new information provides evidence of circumstances that existed in that period, the entity shall: disclose the difference between the amount disclosed in the preceding period and the revised comparative amount; and",,,,
metrics_targets,S1,core_standard,34(b),S1 ¶34(b) p.36-36,general_requirements,general_requirements;metrics_targets,shall,not_financial_specific,False,,,"If an entity redefines or replaces a metric in the reporting period, the entity shall: explain the changes; and",,,,
metrics_targets,S1,core_standard,34(c),S1 ¶34(c) p.36-36,general_requirements,general_requirements;metrics_targets,shall,not_financial_specific,False,,B51,"Except as specified in paragraph B51, if an entity identifies new information in relation to the estimated amount disclosed in the preceding period and the new information provides evidence of circumstances that existed in that period, the entity shall: explain the reasons for revising the comparative amount.",,,,
metrics_targets,S1,core_standard,34(c),S1 ¶34(c) p.36-37,general_requirements,general_requirements;metrics_targets,shall,not_financial_specific,False,,,"If an entity introduces a new metric in the reporting period, it shall disclose a comparative amount for that metric unless it is impracticable to do so.",,,,
metrics_targets,S1,core_standard,34(c),S1 ¶34(c) p.36-37,general_requirements,general_requirements;metrics_targets,shall,not_financial_specific,False,,,"If it is impracticable to revise a comparative amount for the preceding period, an entity shall disclose that fact.",,,,
metrics_targets,S1,core_standard,42,S1 ¶42 p.43-45,general_requirements,general_requirements;governance;strategy;risk_management;metrics_targets,shall,not_financial_specific,False,,,"If an entity uses this transition relief, it shall disclose that fact.",,,,
metrics_targets,S1,core_standard,8(a)(v),S1 ¶8(a)(v) p.11-11,governance,governance;metrics_targets,shall,not_financial_specific,False,,51,"how the body(s) or individual(s) oversees the setting of targets related to sustainability-related risks and opportunities, and monitors progress towards those targets (see paragraph 51 ), including whether and how related performance metrics are included in remuneration policies.",,,,
metrics_targets,S1,core_standard,10(a),S1 ¶10(a) p.13-13,strategy,strategy;metrics_targets,shall,not_financial_specific,False,,,"the effects of sustainability-related risks and opportunities on the entity’s financial position, financial performance and cash flows for the reporting period (current financial effects); and",,,,
metrics_targets,S1,core_standard,10(a),S1 ¶10(a) p.13-13,strategy,strategy;metrics_targets,shall,not_financial_specific,False,,,"how sustainability-related risks and opportunities have affected its financial position, financial performance and cash flows for the reporting period;",,,,
metrics_targets,S1,core_standard,10(b),S1 ¶10(b) p.13-13,strategy,strategy;metrics_targets,shall,not_financial_specific,False,,,"the anticipated effects of sustainability-related risks and opportunities on the entity’s financial position, financial performance and cash flows over the short, medium and long term, taking into consideration how sustainability-related risks and opportunities are included in the entity’s financial planning (anticipated financial effects). Specifically, an entity shall disclose quantitative and qualitative information about:",,,,
metrics_targets,S1,core_standard,10(c),S1 ¶10(c) p.13-13,strategy,strategy;metrics_targets,shall,not_financial_specific,False,,,"how the entity expects its financial position to change over the short, medium and long term, given its strategy to manage sustainability- related risks and opportunities, taking into consideration:",,,,
metrics_targets,S1,core_standard,12(i),S1 ¶12(i) p.14-14,strategy,strategy;metrics_targets,shall,not_financial_specific,False,,,"its investment and disposal plans (for example, plans for capital expenditure, major acquisitions and divestments, joint ventures, business transformation, innovation, new business areas, and asset retirements), including plans the entity is not contractually committed to; and",,,,
metrics_targets,S1,core_standard,12(ii),S1 ¶12(ii) p.14-14,strategy,strategy;metrics_targets,shall,not_financial_specific,False,,,its planned sources of funding to implement its strategy; and,,,,
metrics_targets,S1,core_standard,8(d),S1 ¶8(d) p.10-10,metrics_targets,metrics_targets,shall,not_financial_specific,False,,45;46;47;48;49;50;51;52;53,"Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise in specified circumstances, an entity shall provide disclosures about: metrics and targets —the entity ’s performance in relation to sustainability-related risks and opportunities, including progress towards any targets the entity has set or is required to meet by law or regulation (see paragraphs 45–53).",,,,
metrics_targets,S1,core_standard,14(vi)(a),S1 ¶14(vi)(a) p.16-16,metrics_targets,metrics_targets,shall,not_financial_specific,False,,,metrics required by an applicable IFRS Sustainability Disclosure Standard; and,,,,
metrics_targets,S1,core_standard,14(vi)(b),S1 ¶14(vi)(b) p.16-16,metrics_targets,metrics_targets,shall,not_financial_specific,False,,,metrics the entity uses to measure and monitor:,,,,
metrics_targets,S1,core_standard,14(vi)(b)(i),S1 ¶14(vi)(b)(i) p.16-17,metrics_targets,metrics_targets,shall,not_financial_specific,False,,,"that sustainability-related risk or opportunity; and (ii) its performance in relation to that sustainability-related risk or opportunity, including progress towards any targets the entity has set, and any targets it is required to meet by law or regulation.",,,,
metrics_targets,S1,core_standard,14(vi)(b)(i),S1 ¶14(vi)(b)(i) p.16-17,metrics_targets,metrics_targets,shall,not_financial_specific,False,,,"If a metric taken from a source other than IFRS Sustainability Disclosure Standards, the entity shall identify the source and the metric taken.",,,,
metrics_targets,S1,core_standard,14(vi)(b)(i),S1 ¶14(vi)(b)(i) p.16-17,metrics_targets,metrics_targets,shall,not_financial_specific,False,,,"If a metric has been developed by an entity, the entity shall disclose information about: (a) how the metric is defined, including whether it is derived by adjusting a metric taken from a source other than IFRS Sustainability Disclosure Standards and, if so, which source and how the metric disclosed by the entity differs from the metric specified in that source;",,,,
