report_section,standard,source_authority,paragraph,source_ref,primary_section,all_report_sections,obligation_type,applicability,applies_to_banks,metric_type,related_paragraphs,requirement_text,covered_in_draft,evidence_sentence,missing_data,qa_comment
general_requirements,S1,core_standard,4,S1 ¶4 p.5-7,general_requirements,general_requirements,shall,not_financial_specific,False,,,An entity shall apply this Standard in preparing and reporting sustainability-related financial disclosures in accordance with IFRS Sustainability Disclosure Standards.,,,,
general_requirements,S1,core_standard,6,S1 ¶6 p.7-8,general_requirements,general_requirements,shall,not_financial_specific,False,,,A complete set of sustainability-related financial disclosures shall present fairly all sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s prospects.,,,,
general_requirements,S1,core_standard,6,S1 ¶6 p.7-8,general_requirements,general_requirements,shall,not_financial_specific,False,,B1,"To identify sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s prospects, an entity shall apply paragraphs B1–B12.",,,,
general_requirements,S1,core_standard,6,S1 ¶6 p.7-8,general_requirements,general_requirements,shall,not_financial_specific,False,,,"To achieve faithful representation, an entity shall provide a complete, neutral and accurate depiction of those sustainability-related risks and opportunities.",,,,
general_requirements,S1,core_standard,6(a),S1 ¶6(a) p.8-8,general_requirements,general_requirements,shall,not_financial_specific,False,,,"to disclose information that is comparable, verifiable, timely and understandable; and",,,,
general_requirements,S1,core_standard,6(b),S1 ¶6(b) p.8-9,general_requirements,general_requirements,shall,not_financial_specific,False,,,"to disclose additional information if compliance with the specifically applicable requirements in IFRS Sustainability Disclosure Standards is insufficient to enable users of general purpose financial reports to understand the effects of sustainability-related risks and opportunities on the entity’s cash flows, its access to finance and cost of capital over the short, medium and long term.",,,,
general_requirements,S1,core_standard,6(b),S1 ¶6(b) p.8-9,general_requirements,general_requirements,shall,not_financial_specific,False,,,An entity shall disclose material information about the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects.,,,,
general_requirements,S1,core_standard,6(b),S1 ¶6(b) p.8-9,general_requirements,general_requirements,shall,not_financial_specific,False,,B13,"To identify and disclose material information, an entity shall apply paragraphs B13–B37.",,,,
general_requirements,S1,core_standard,6(b),S1 ¶6(b) p.8-9,general_requirements,general_requirements,shall,not_financial_specific,False,,B38,An entity’s sustainability-related financial disclosures shall be for the same reporting entity as the related financial statements (see paragraph B38).,,,,
general_requirements,S1,core_standard,6(b),S1 ¶6(b) p.8-9,general_requirements,general_requirements,shall,not_financial_specific,False,,,An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections:,,,,
general_requirements,S1,core_standard,6(a),S1 ¶6(a) p.9-9,general_requirements,general_requirements,shall,not_financial_specific,False,,,the connections between the items to which the information relates —such as connections between various sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects; and,,,,
general_requirements,S1,core_standard,6(b),S1 ¶6(b) p.9-9,general_requirements,general_requirements,shall,not_financial_specific,False,,,the connections between disclosures provided by the entity:,,,,
general_requirements,S1,core_standard,6(b)(i),S1 ¶6(b)(i) p.9-9,general_requirements,general_requirements;governance;strategy;risk_management;metrics_targets,shall,not_financial_specific,False,,,"within its sustainability-related financial disclosures —such as connections between disclosures on governance, strategy, risk management and metrics and targets; and",,,,
general_requirements,S1,core_standard,6(b)(ii),S1 ¶6(b)(ii) p.9-9,general_requirements,general_requirements,shall,not_financial_specific,False,,,An entity shall identify the financial statements to which the sustainability- related financial disclosures relate.,,,,
general_requirements,S1,core_standard,8,S1 ¶8 p.9-10,general_requirements,general_requirements,shall,not_financial_specific,False,,B42,Data and assumptions used in preparing the sustainability-related financial disclosures shall be consistent —to the extent possible considering the requirements of IFRS Accounting Standards or other applicable GAAP — with the corresponding data and assumptions used in preparing the related financial statements (see paragraph B42).,,,,
general_requirements,S1,core_standard,8,S1 ¶8 p.9-10,general_requirements,general_requirements,shall,not_financial_specific,False,,,"When currency is specified as the unit of measure in the sustainability- related financial disclosures, the entity shall use the presentation currency of its related financial statements.",,,,
general_requirements,S1,core_standard,14(vi)(b)(i),S1 ¶14(vi)(b)(i) p.16-17,general_requirements,general_requirements;metrics_targets,shall,not_financial_specific,False,,,"An entity shall label and define metrics and targets using meaningful, clear and precise names and descriptions.",,,,
general_requirements,S1,core_standard,14(vi)(b)(i),S1 ¶14(vi)(b)(i) p.16-17,general_requirements,general_requirements,shall,not_financial_specific,False,,,"In identifying sustainability-related risks and opportunities that could reasonably be expected to affect an entity ’s prospects, an entity shall apply IFRS Sustainability Disclosure Standards.",,,,
