report_section,standard,source_authority,paragraph,source_ref,primary_section,all_report_sections,obligation_type,applicability,applies_to_banks,metric_type,related_paragraphs,requirement_text,covered_in_draft,evidence_sentence,missing_data,qa_comment
industry_metrics,S2,core_standard,23,S2 ¶23 p.13-13,metrics_targets,metrics_targets;industry_metrics,shall,not_financial_specific,False,,13;29,"In preparing disclosures to meet the requirements in paragraphs 13–22, an entity shall refer to and consider the applicability of cross-industry metric categories, as described in paragraph 29, and industry-based metrics associated with disclosure topics defined in the Industry-based Guidance on",,,,
industry_metrics,S2,core_standard,14(b),S2 ¶14(b) p.15-15,metrics_targets,metrics_targets;industry_metrics,shall,not_financial_specific,False,,32,"industry-based metrics that are associated with particular business models, activities or other common features that characterise participation in an industry (see paragraph 32); and",,,,
industry_metrics,S2,core_standard,18(e)(iv),S2 ¶18(e)(iv) p.19-20,metrics_targets,metrics_targets;industry_metrics,shall,not_financial_specific,False,,33;34;29;32,"In identifying and disclosing the metrics used to set and monitor progress towards reaching a target described in paragraphs 33 –34, an entity shall refer to and consider the applicability of cross-industry metrics (see paragraph 29) and industry-based metrics (see paragraph 32), including those described in an applicable IFRS Sustainability Disclosure Standard, or metrics that otherwise satisfy the requirements in IFRS S1.",,,,
industry_metrics,S2,core_standard,28(b),S2 ¶28(b) p.15-15,industry_metrics,metrics_targets;industry_metrics,shall,not_financial_specific,False,,32,"To achieve this objective, an entity shall disclose: (b) industry-based metrics that are associated with particular business models, activities or other common features that characterise participation in an industry (see paragraph 32); and",,,,
industry_metrics,S2,core_standard,16(ii)(g)(i),S2 ¶16(ii)(g)(i) p.17-18,industry_metrics,metrics_targets;industry_metrics,shall,not_financial_specific,False,,,"An entity shall disclose industry-based metrics that are associated with one or more particular business models, activities or other common features that characterise participation in an industry.",,,,
industry_metrics,S2,core_standard,16(ii)(g)(i),S2 ¶16(ii)(g)(i) p.17-18,industry_metrics,metrics_targets;industry_metrics,shall,not_financial_specific,False,,,"In determining the industry-based metrics that the entity discloses, the entity shall refer to and consider the applicability of the industry-based metrics associated with disclosure topics described in the Industry-based Guidance on Implementing IFRS S2.",,,,
industry_metrics,S2_IBG_CB,industry_guidance,6,S2_IBG_CB ¶6 p.6-6,governance,governance;risk_management;industry_metrics,shall,commercial_banking,True,FN-CB-410a.2,,The entity shall describe its oversight and accountability approach to the incorporation of ESG factors.,,,,
industry_metrics,S2_IBG_CB,industry_guidance,6,S2_IBG_CB ¶6 p.6-6,governance,governance;risk_management;industry_metrics,shall,commercial_banking,True,FN-CB-410a.2,,Formal oversight individuals or bodies involved,,,,
industry_metrics,S2_IBG_CB,industry_guidance,6,S2_IBG_CB ¶6 p.6-6,governance,governance;risk_management;industry_metrics,shall,commercial_banking,True,FN-CB-410a.2,,Criteria used in assessing the quality of ESG incorporation,,,,
industry_metrics,S2_IBG_CB,industry_guidance,1,S2_IBG_CB ¶1 p.5-5,risk_management,strategy;risk_management;industry_metrics,shall,commercial_banking,True,FN-CB-410a.2,,"The entity shall describe its approach to the incorporation of environmental, social and governance (ESG) factors in its credit analysis.",,,,
industry_metrics,S2_IBG_CB,industry_guidance,2,S2_IBG_CB ¶2 p.5-5,risk_management,risk_management;industry_metrics,shall,commercial_banking,True,FN-CB-410a.2,,The scope of disclosure shall include commercial and industrial lending as well as project finance.,,,,
industry_metrics,S2_IBG_CB,industry_guidance,3,S2_IBG_CB ¶3 p.5-5,risk_management,governance;risk_management;industry_metrics,shall,commercial_banking,True,FN-CB-410a.2,,The entity shall describe the policies that determine its approach to the incorporation of ESG factors in its credit analysis.,,,,
industry_metrics,S2_IBG_CB,industry_guidance,4,S2_IBG_CB ¶4 p.5-5,risk_management,risk_management;metrics_targets;industry_metrics,shall,commercial_banking,True,FN-CB-410a.2,,The entity shall discuss how it incorporates ESG factors when estimating credit losses over the contractual term of the entity’s financial assets.,,,,
industry_metrics,S2_IBG_CB,industry_guidance,5,S2_IBG_CB ¶5 p.5-5,risk_management,governance;risk_management;industry_metrics,shall,commercial_banking,True,FN-CB-410a.2,,The entity shall describe its approach to implementation of the aspects of the entity’s ESG incorporation practices.,,,,
