resilience_id,bank_id,reporting_year,scenario_type,capacity_to_adjust,asset_redeployment_capacity,financial_resource_flexibility,significant_uncertainties,assessment_horizon,is_synthetic,data_source
RES-BANK01-orderly,BANK01,2024,orderly,Modelled losses are within current capital buffers; gradual portfolio reweighting feasible.,Lending portfolio can be repriced and reweighted at origination/renewal; limited owned physical assets to redeploy.,Climate capex EUR 476.95m and opex EUR 219.32m; buffers per ICAAP.,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",short_medium_long,True,synthetic_estimate
RES-BANK01-disorderly,BANK01,2024,disorderly,Near-term resilience manageable; medium-term capital consumption from stranded assets may require additional buffers.,Lending portfolio can be repriced and reweighted at origination/renewal; limited owned physical assets to redeploy.,Climate capex EUR 476.95m and opex EUR 219.32m; buffers per ICAAP.,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",short_medium_long,True,synthetic_estimate
RES-BANK01-hot_house,BANK01,2024,hot_house,Physical-risk losses dominate long term; collateral revaluation and exposure limits are the main levers.,Lending portfolio can be repriced and reweighted at origination/renewal; limited owned physical assets to redeploy.,Climate capex EUR 476.95m and opex EUR 219.32m; buffers per ICAAP.,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",short_medium_long,True,synthetic_estimate
RES-BANK02-orderly,BANK02,2024,orderly,Modelled losses are within current capital buffers; gradual portfolio reweighting feasible.,Lending portfolio can be repriced and reweighted at origination/renewal; limited owned physical assets to redeploy.,Climate capex EUR 112.95m and opex EUR 296.85m; buffers per ICAAP.,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",short_medium_long,True,synthetic_estimate
RES-BANK02-disorderly,BANK02,2024,disorderly,Near-term resilience manageable; medium-term capital consumption from stranded assets may require additional buffers.,Lending portfolio can be repriced and reweighted at origination/renewal; limited owned physical assets to redeploy.,Climate capex EUR 112.95m and opex EUR 296.85m; buffers per ICAAP.,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",short_medium_long,True,synthetic_estimate
RES-BANK02-hot_house,BANK02,2024,hot_house,Physical-risk losses dominate long term; collateral revaluation and exposure limits are the main levers.,Lending portfolio can be repriced and reweighted at origination/renewal; limited owned physical assets to redeploy.,Climate capex EUR 112.95m and opex EUR 296.85m; buffers per ICAAP.,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",short_medium_long,True,synthetic_estimate
RES-BANK03-orderly,BANK03,2024,orderly,Modelled losses are within current capital buffers; gradual portfolio reweighting feasible.,Lending portfolio can be repriced and reweighted at origination/renewal; limited owned physical assets to redeploy.,Climate capex EUR 15.22m and opex EUR 43.07m; buffers per ICAAP.,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",short_medium_long,True,synthetic_estimate
RES-BANK03-disorderly,BANK03,2024,disorderly,Near-term resilience manageable; medium-term capital consumption from stranded assets may require additional buffers.,Lending portfolio can be repriced and reweighted at origination/renewal; limited owned physical assets to redeploy.,Climate capex EUR 15.22m and opex EUR 43.07m; buffers per ICAAP.,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",short_medium_long,True,synthetic_estimate
RES-BANK03-hot_house,BANK03,2024,hot_house,Physical-risk losses dominate long term; collateral revaluation and exposure limits are the main levers.,Lending portfolio can be repriced and reweighted at origination/renewal; limited owned physical assets to redeploy.,Climate capex EUR 15.22m and opex EUR 43.07m; buffers per ICAAP.,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",short_medium_long,True,synthetic_estimate
RES-BANK04-orderly,BANK04,2024,orderly,Modelled losses are within current capital buffers; gradual portfolio reweighting feasible.,Lending portfolio can be repriced and reweighted at origination/renewal; limited owned physical assets to redeploy.,Climate capex EUR 446.47m and opex EUR 6.85m; buffers per ICAAP.,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",short_medium_long,True,synthetic_estimate
RES-BANK04-disorderly,BANK04,2024,disorderly,Near-term resilience manageable; medium-term capital consumption from stranded assets may require additional buffers.,Lending portfolio can be repriced and reweighted at origination/renewal; limited owned physical assets to redeploy.,Climate capex EUR 446.47m and opex EUR 6.85m; buffers per ICAAP.,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",short_medium_long,True,synthetic_estimate
RES-BANK04-hot_house,BANK04,2024,hot_house,Physical-risk losses dominate long term; collateral revaluation and exposure limits are the main levers.,Lending portfolio can be repriced and reweighted at origination/renewal; limited owned physical assets to redeploy.,Climate capex EUR 446.47m and opex EUR 6.85m; buffers per ICAAP.,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",short_medium_long,True,synthetic_estimate
RES-BANK05-orderly,BANK05,2024,orderly,Modelled losses are within current capital buffers; gradual portfolio reweighting feasible.,Lending portfolio can be repriced and reweighted at origination/renewal; limited owned physical assets to redeploy.,Climate capex EUR 8.89m and opex EUR 17.65m; buffers per ICAAP.,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",short_medium_long,True,synthetic_estimate
RES-BANK05-disorderly,BANK05,2024,disorderly,Near-term resilience manageable; medium-term capital consumption from stranded assets may require additional buffers.,Lending portfolio can be repriced and reweighted at origination/renewal; limited owned physical assets to redeploy.,Climate capex EUR 8.89m and opex EUR 17.65m; buffers per ICAAP.,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",short_medium_long,True,synthetic_estimate
RES-BANK05-hot_house,BANK05,2024,hot_house,Physical-risk losses dominate long term; collateral revaluation and exposure limits are the main levers.,Lending portfolio can be repriced and reweighted at origination/renewal; limited owned physical assets to redeploy.,Climate capex EUR 8.89m and opex EUR 17.65m; buffers per ICAAP.,"Policy/carbon-price path, counterparty transition speed, physical-hazard frequency, and financed-emissions data quality.",short_medium_long,True,synthetic_estimate
