requirement_id,standard,paragraph_id,page,report_section,official_section_heading,nearest_pdf_heading,clean_requirement_text,source_paragraph_text,clause_path,obligation_type,mandatory,evidence_tags,banking_relevance,paragraph_quality_score,requirement_quality_score
IFRS_S1_29_C01,IFRS S1,29,11,Strategy,Strategy,Strategy,"Specifically, an entity shall disclose information to enable users of general purpose financial reports to understand — (a) the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects (see paragraphs 30–31)","Specifically, an entity shall disclose information to enable users of general purpose financial reports to understand: (a) the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects (see paragraphs 30–31); (b) the current and anticipated effects of those sustainability-related risks and opportunities on the entity’s business model and value chain (see paragraph 32); (c) the effects of those sustainability-related risks and opportunities on the entity’s strategy and decision-making (see paragraph 33); (d) the effects of those sustainability-related risks and opportunities on the entity’s financial position, financial performance and cash flows for the reporting period, and their anticipated effects on the entity’s financial position, financial performance and cash flows over the short, medium and long term, taking into consideration how those sustainability-related risks and opportunities have been factored into the entityʼs financial planning (see paragraphs 34–40); and (e) the resilience of the entity’s strategy and its business model to those sustainability-related risks (see paragraphs 41–42).",(a),mandatory,True,[],general,1.0,1.0
IFRS_S1_29_C02,IFRS S1,29,11,Strategy,Strategy,Strategy,"Specifically, an entity shall disclose information to enable users of general purpose financial reports to understand — (b) the current and anticipated effects of those sustainability-related risks and opportunities on the entity’s business model and value chain (see paragraph 32)","Specifically, an entity shall disclose information to enable users of general purpose financial reports to understand: (a) the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects (see paragraphs 30–31); (b) the current and anticipated effects of those sustainability-related risks and opportunities on the entity’s business model and value chain (see paragraph 32); (c) the effects of those sustainability-related risks and opportunities on the entity’s strategy and decision-making (see paragraph 33); (d) the effects of those sustainability-related risks and opportunities on the entity’s financial position, financial performance and cash flows for the reporting period, and their anticipated effects on the entity’s financial position, financial performance and cash flows over the short, medium and long term, taking into consideration how those sustainability-related risks and opportunities have been factored into the entityʼs financial planning (see paragraphs 34–40); and (e) the resilience of the entity’s strategy and its business model to those sustainability-related risks (see paragraphs 41–42).",(b),mandatory,True,"[""business_model_value_chain""]",general,1.0,1.0
IFRS_S1_29_C03,IFRS S1,29,11,Strategy,Strategy,Strategy,"Specifically, an entity shall disclose information to enable users of general purpose financial reports to understand — (c) the effects of those sustainability-related risks and opportunities on the entity’s strategy and decision-making (see paragraph 33)","Specifically, an entity shall disclose information to enable users of general purpose financial reports to understand: (a) the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects (see paragraphs 30–31); (b) the current and anticipated effects of those sustainability-related risks and opportunities on the entity’s business model and value chain (see paragraph 32); (c) the effects of those sustainability-related risks and opportunities on the entity’s strategy and decision-making (see paragraph 33); (d) the effects of those sustainability-related risks and opportunities on the entity’s financial position, financial performance and cash flows for the reporting period, and their anticipated effects on the entity’s financial position, financial performance and cash flows over the short, medium and long term, taking into consideration how those sustainability-related risks and opportunities have been factored into the entityʼs financial planning (see paragraphs 34–40); and (e) the resilience of the entity’s strategy and its business model to those sustainability-related risks (see paragraphs 41–42).",(c),mandatory,True,"[""strategy_decision_making""]",general,1.0,1.0
IFRS_S1_29_C04,IFRS S1,29,11,Strategy,Strategy,Strategy,"Specifically, an entity shall disclose information to enable users of general purpose financial reports to understand — (d) the effects of those sustainability-related risks and opportunities on the entity’s financial position, financial performance and cash flows for the reporting period, and their anticipated effects on the entity’s financial position, financial performance and cash flows over the short, medium and long term, taking into consideration how those sustainability-related risks and opportunities have been factored into the entityʼs financial planning (see paragraphs 34–40)","Specifically, an entity shall disclose information to enable users of general purpose financial reports to understand: (a) the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects (see paragraphs 30–31); (b) the current and anticipated effects of those sustainability-related risks and opportunities on the entity’s business model and value chain (see paragraph 32); (c) the effects of those sustainability-related risks and opportunities on the entity’s strategy and decision-making (see paragraph 33); (d) the effects of those sustainability-related risks and opportunities on the entity’s financial position, financial performance and cash flows for the reporting period, and their anticipated effects on the entity’s financial position, financial performance and cash flows over the short, medium and long term, taking into consideration how those sustainability-related risks and opportunities have been factored into the entityʼs financial planning (see paragraphs 34–40); and (e) the resilience of the entity’s strategy and its business model to those sustainability-related risks (see paragraphs 41–42).",(d),mandatory,True,"[""financial_effects""]",medium,1.0,1.0
IFRS_S1_29_C05,IFRS S1,29,11,Strategy,Strategy,Strategy,"Specifically, an entity shall disclose information to enable users of general purpose financial reports to understand — (e) the resilience of the entity’s strategy and its business model to those sustainability-related risks (see paragraphs 41–42).","Specifically, an entity shall disclose information to enable users of general purpose financial reports to understand: (a) the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects (see paragraphs 30–31); (b) the current and anticipated effects of those sustainability-related risks and opportunities on the entity’s business model and value chain (see paragraph 32); (c) the effects of those sustainability-related risks and opportunities on the entity’s strategy and decision-making (see paragraph 33); (d) the effects of those sustainability-related risks and opportunities on the entity’s financial position, financial performance and cash flows for the reporting period, and their anticipated effects on the entity’s financial position, financial performance and cash flows over the short, medium and long term, taking into consideration how those sustainability-related risks and opportunities have been factored into the entityʼs financial planning (see paragraphs 34–40); and (e) the resilience of the entity’s strategy and its business model to those sustainability-related risks (see paragraphs 41–42).",(e),mandatory,True,"[""business_model_value_chain""]",general,1.0,1.0
IFRS_S1_30_C01,IFRS S1,30,12,Strategy,Strategy,Sustainability-related risks and opportunities,"An entity shall disclose information that enables users of general purpose financial reports to understand the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects. Specifically, the entity shall — (a) describe sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects","An entity shall disclose information that enables users of general purpose financial reports to understand the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects. Specifically, the entity shall: (a) describe sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects; (b) specify the time horizons—short, medium or long term—over which the effects of each of those sustainability-related risks and opportunities could reasonably be expected to occur; and (c) explain how the entity defines ‘short term’, ‘medium term’ and ‘long term’ and how these definitions are linked to the planning horizons used by the entity for strategic decision-making.",(a),mandatory,True,[],general,1.0,1.0
IFRS_S1_30_C02,IFRS S1,30,12,Strategy,Strategy,Sustainability-related risks and opportunities,"An entity shall disclose information that enables users of general purpose financial reports to understand the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects. Specifically, the entity shall — (b) specify the time horizons—short, medium or long term—over which the effects of each of those sustainability-related risks and opportunities could reasonably be expected to occur","An entity shall disclose information that enables users of general purpose financial reports to understand the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects. Specifically, the entity shall: (a) describe sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects; (b) specify the time horizons—short, medium or long term—over which the effects of each of those sustainability-related risks and opportunities could reasonably be expected to occur; and (c) explain how the entity defines ‘short term’, ‘medium term’ and ‘long term’ and how these definitions are linked to the planning horizons used by the entity for strategic decision-making.",(b),mandatory,True,[],general,1.0,1.0
IFRS_S1_30_C03,IFRS S1,30,12,Strategy,Strategy,Sustainability-related risks and opportunities,"An entity shall disclose information that enables users of general purpose financial reports to understand the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects. Specifically, the entity shall — (c) explain how the entity defines ‘short term’, ‘medium term’ and ‘long term’ and how these definitions are linked to the planning horizons used by the entity for strategic decision-making.","An entity shall disclose information that enables users of general purpose financial reports to understand the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects. Specifically, the entity shall: (a) describe sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects; (b) specify the time horizons—short, medium or long term—over which the effects of each of those sustainability-related risks and opportunities could reasonably be expected to occur; and (c) explain how the entity defines ‘short term’, ‘medium term’ and ‘long term’ and how these definitions are linked to the planning horizons used by the entity for strategic decision-making.",(c),mandatory,True,[],general,1.0,1.0
IFRS_S1_32_C01,IFRS S1,32,12,Strategy,Strategy,Business model and value chain,"An entity shall disclose information that enables users of general purpose financial reports to understand the current and anticipated effects of sustainability-related risks and opportunities on the entity’s business model and value chain. Specifically, the entity shall disclose — (a) a description of the current and anticipated effects of sustainability-related risks and opportunities on the entity’s business model and value chain","An entity shall disclose information that enables users of general purpose financial reports to understand the current and anticipated effects of sustainability-related risks and opportunities on the entity’s business model and value chain. Specifically, the entity shall disclose: (a) a description of the current and anticipated effects of sustainability-related risks and opportunities on the entity’s business model and value chain; and (b) a description of where in the entity’s business model and value chain sustainability-related risks and opportunities are concentrated (for example, geographical areas, facilities and types of assets).",(a),mandatory,True,"[""business_model_value_chain""]",general,1.0,1.0
IFRS_S1_32_C02,IFRS S1,32,12,Strategy,Strategy,Business model and value chain,"An entity shall disclose information that enables users of general purpose financial reports to understand the current and anticipated effects of sustainability-related risks and opportunities on the entity’s business model and value chain. Specifically, the entity shall disclose — (b) a description of where in the entity’s business model and value chain sustainability-related risks and opportunities are concentrated (for example, geographical areas, facilities and types of assets).","An entity shall disclose information that enables users of general purpose financial reports to understand the current and anticipated effects of sustainability-related risks and opportunities on the entity’s business model and value chain. Specifically, the entity shall disclose: (a) a description of the current and anticipated effects of sustainability-related risks and opportunities on the entity’s business model and value chain; and (b) a description of where in the entity’s business model and value chain sustainability-related risks and opportunities are concentrated (for example, geographical areas, facilities and types of assets).",(b),mandatory,True,"[""business_model_value_chain""]",general,1.0,1.0
IFRS_S1_33_C01,IFRS S1,33,13,Strategy,Strategy,Strategy and decision-making,"An entity shall disclose information that enables users of general purpose financial reports to understand the effects of sustainability-related risks and opportunities on its strategy and decision-making. Specifically, the entity shall disclose information about — (a) how the entity has responded to, and plans to respond to, sustainability-related risks and opportunities in its strategy and decision-making","An entity shall disclose information that enables users of general purpose financial reports to understand the effects of sustainability-related risks and opportunities on its strategy and decision-making. Specifically, the entity shall disclose information about: (a) how the entity has responded to, and plans to respond to, sustainability-related risks and opportunities in its strategy and decision-making; (b) the progress against plans the entity has disclosed in previous reporting periods, including quantitative and qualitative information; and (c) trade-offs between sustainability-related risks and opportunities that the entity considered (for example, in making a decision on the location of new operations, an entity might have considered the environmental impacts of those operations and the employment opportunities they would create in a community).",(a),mandatory,True,"[""strategy_decision_making""]",general,1.0,1.0
IFRS_S1_33_C02,IFRS S1,33,13,Strategy,Strategy,Strategy and decision-making,"An entity shall disclose information that enables users of general purpose financial reports to understand the effects of sustainability-related risks and opportunities on its strategy and decision-making. Specifically, the entity shall disclose information about — (b) the progress against plans the entity has disclosed in previous reporting periods, including quantitative and qualitative information","An entity shall disclose information that enables users of general purpose financial reports to understand the effects of sustainability-related risks and opportunities on its strategy and decision-making. Specifically, the entity shall disclose information about: (a) how the entity has responded to, and plans to respond to, sustainability-related risks and opportunities in its strategy and decision-making; (b) the progress against plans the entity has disclosed in previous reporting periods, including quantitative and qualitative information; and (c) trade-offs between sustainability-related risks and opportunities that the entity considered (for example, in making a decision on the location of new operations, an entity might have considered the environmental impacts of those operations and the employment opportunities they would create in a community).",(b),mandatory,True,"[""strategy_decision_making""]",general,1.0,1.0
IFRS_S1_33_C03,IFRS S1,33,13,Strategy,Strategy,Strategy and decision-making,"An entity shall disclose information that enables users of general purpose financial reports to understand the effects of sustainability-related risks and opportunities on its strategy and decision-making. Specifically, the entity shall disclose information about — (c) trade-offs between sustainability-related risks and opportunities that the entity considered (for example, in making a decision on the location of new operations, an entity might have considered the environmental impacts of those operations and the employment opportunities they would create in a community).","An entity shall disclose information that enables users of general purpose financial reports to understand the effects of sustainability-related risks and opportunities on its strategy and decision-making. Specifically, the entity shall disclose information about: (a) how the entity has responded to, and plans to respond to, sustainability-related risks and opportunities in its strategy and decision-making; (b) the progress against plans the entity has disclosed in previous reporting periods, including quantitative and qualitative information; and (c) trade-offs between sustainability-related risks and opportunities that the entity considered (for example, in making a decision on the location of new operations, an entity might have considered the environmental impacts of those operations and the employment opportunities they would create in a community).",(c),mandatory,True,"[""strategy_decision_making""]",general,1.0,1.0
