requirement_id,standard,paragraph_id,page,report_section,official_section_heading,nearest_pdf_heading,clean_requirement_text,source_paragraph_text,clause_path,obligation_type,mandatory,evidence_tags,banking_relevance,paragraph_quality_score,requirement_quality_score
IFRS_S1_44_C02,IFRS S1,44,15,Risk Management,Risk management,Risk management,"To achieve this objective, an entity shall disclose information about — (a) the processes and related policies the entity uses to identify, assess, prioritise and monitor sustainability-related risks, including information about: — (i) the inputs and parameters the entity uses (for example, information about data sources and the scope of operations covered in the processes)","To achieve this objective, an entity shall disclose information about: (a) the processes and related policies the entity uses to identify, assess, prioritise and monitor sustainability-related risks, including information about: (i) the inputs and parameters the entity uses (for example, information about data sources and the scope of operations covered in the processes); (ii) whether and how the entity uses scenario analysis to inform its identification of sustainability-related risks; (iii) how the entity assesses the nature, likelihood and magnitude of the effects of those risks (for example, whether the entity considers qualitative factors, quantitative thresholds or other criteria); (iv) whether and how the entity prioritises sustainability-related risks relative to other types of risk; (v) how the entity monitors sustainability-related risks; and (vi) whether and how the entity has changed the processes it uses compared with the previous reporting period; (b) the processes the entity uses to identify, assess, prioritise and monitor sustainability-related opportunities; and (c) the extent to which, and how, the processes for identifying, assessing, prioritising and monitoring sustainability-related risks and opportunities are integrated into and inform the entity’s overall risk management process.",(a)>(i),mandatory,True,"[""risk_process""]",general,1.0,1.0
IFRS_S1_44_C03,IFRS S1,44,15,Risk Management,Risk management,Risk management,"To achieve this objective, an entity shall disclose information about — (a) the processes and related policies the entity uses to identify, assess, prioritise and monitor sustainability-related risks, including information about: — (ii) whether and how the entity uses scenario analysis to inform its identification of sustainability-related risks","To achieve this objective, an entity shall disclose information about: (a) the processes and related policies the entity uses to identify, assess, prioritise and monitor sustainability-related risks, including information about: (i) the inputs and parameters the entity uses (for example, information about data sources and the scope of operations covered in the processes); (ii) whether and how the entity uses scenario analysis to inform its identification of sustainability-related risks; (iii) how the entity assesses the nature, likelihood and magnitude of the effects of those risks (for example, whether the entity considers qualitative factors, quantitative thresholds or other criteria); (iv) whether and how the entity prioritises sustainability-related risks relative to other types of risk; (v) how the entity monitors sustainability-related risks; and (vi) whether and how the entity has changed the processes it uses compared with the previous reporting period; (b) the processes the entity uses to identify, assess, prioritise and monitor sustainability-related opportunities; and (c) the extent to which, and how, the processes for identifying, assessing, prioritising and monitoring sustainability-related risks and opportunities are integrated into and inform the entity’s overall risk management process.",(a)>(ii),mandatory,True,"[""scenario_analysis"", ""risk_process""]",general,1.0,1.0
IFRS_S1_44_C04,IFRS S1,44,15,Risk Management,Risk management,Risk management,"To achieve this objective, an entity shall disclose information about — (a) the processes and related policies the entity uses to identify, assess, prioritise and monitor sustainability-related risks, including information about: — (iii) how the entity assesses the nature, likelihood and magnitude of the effects of those risks (for example, whether the entity considers qualitative factors, quantitative thresholds or other criteria)","To achieve this objective, an entity shall disclose information about: (a) the processes and related policies the entity uses to identify, assess, prioritise and monitor sustainability-related risks, including information about: (i) the inputs and parameters the entity uses (for example, information about data sources and the scope of operations covered in the processes); (ii) whether and how the entity uses scenario analysis to inform its identification of sustainability-related risks; (iii) how the entity assesses the nature, likelihood and magnitude of the effects of those risks (for example, whether the entity considers qualitative factors, quantitative thresholds or other criteria); (iv) whether and how the entity prioritises sustainability-related risks relative to other types of risk; (v) how the entity monitors sustainability-related risks; and (vi) whether and how the entity has changed the processes it uses compared with the previous reporting period; (b) the processes the entity uses to identify, assess, prioritise and monitor sustainability-related opportunities; and (c) the extent to which, and how, the processes for identifying, assessing, prioritising and monitoring sustainability-related risks and opportunities are integrated into and inform the entity’s overall risk management process.",(a)>(iii),mandatory,True,"[""risk_process""]",general,1.0,1.0
IFRS_S1_44_C05,IFRS S1,44,15,Risk Management,Risk management,Risk management,"To achieve this objective, an entity shall disclose information about — (a) the processes and related policies the entity uses to identify, assess, prioritise and monitor sustainability-related risks, including information about: — (iv) whether and how the entity prioritises sustainability-related risks relative to other types of risk","To achieve this objective, an entity shall disclose information about: (a) the processes and related policies the entity uses to identify, assess, prioritise and monitor sustainability-related risks, including information about: (i) the inputs and parameters the entity uses (for example, information about data sources and the scope of operations covered in the processes); (ii) whether and how the entity uses scenario analysis to inform its identification of sustainability-related risks; (iii) how the entity assesses the nature, likelihood and magnitude of the effects of those risks (for example, whether the entity considers qualitative factors, quantitative thresholds or other criteria); (iv) whether and how the entity prioritises sustainability-related risks relative to other types of risk; (v) how the entity monitors sustainability-related risks; and (vi) whether and how the entity has changed the processes it uses compared with the previous reporting period; (b) the processes the entity uses to identify, assess, prioritise and monitor sustainability-related opportunities; and (c) the extent to which, and how, the processes for identifying, assessing, prioritising and monitoring sustainability-related risks and opportunities are integrated into and inform the entity’s overall risk management process.",(a)>(iv),mandatory,True,"[""risk_process""]",general,1.0,1.0
IFRS_S1_44_C06,IFRS S1,44,15,Risk Management,Risk management,Risk management,"To achieve this objective, an entity shall disclose information about — (a) the processes and related policies the entity uses to identify, assess, prioritise and monitor sustainability-related risks, including information about: — (v) how the entity monitors sustainability-related risks","To achieve this objective, an entity shall disclose information about: (a) the processes and related policies the entity uses to identify, assess, prioritise and monitor sustainability-related risks, including information about: (i) the inputs and parameters the entity uses (for example, information about data sources and the scope of operations covered in the processes); (ii) whether and how the entity uses scenario analysis to inform its identification of sustainability-related risks; (iii) how the entity assesses the nature, likelihood and magnitude of the effects of those risks (for example, whether the entity considers qualitative factors, quantitative thresholds or other criteria); (iv) whether and how the entity prioritises sustainability-related risks relative to other types of risk; (v) how the entity monitors sustainability-related risks; and (vi) whether and how the entity has changed the processes it uses compared with the previous reporting period; (b) the processes the entity uses to identify, assess, prioritise and monitor sustainability-related opportunities; and (c) the extent to which, and how, the processes for identifying, assessing, prioritising and monitoring sustainability-related risks and opportunities are integrated into and inform the entity’s overall risk management process.",(a)>(v),mandatory,True,"[""risk_process""]",general,1.0,1.0
IFRS_S1_44_C07,IFRS S1,44,15,Risk Management,Risk management,Risk management,"To achieve this objective, an entity shall disclose information about — (a) the processes and related policies the entity uses to identify, assess, prioritise and monitor sustainability-related risks, including information about: — (vi) whether and how the entity has changed the processes it uses compared with the previous reporting period","To achieve this objective, an entity shall disclose information about: (a) the processes and related policies the entity uses to identify, assess, prioritise and monitor sustainability-related risks, including information about: (i) the inputs and parameters the entity uses (for example, information about data sources and the scope of operations covered in the processes); (ii) whether and how the entity uses scenario analysis to inform its identification of sustainability-related risks; (iii) how the entity assesses the nature, likelihood and magnitude of the effects of those risks (for example, whether the entity considers qualitative factors, quantitative thresholds or other criteria); (iv) whether and how the entity prioritises sustainability-related risks relative to other types of risk; (v) how the entity monitors sustainability-related risks; and (vi) whether and how the entity has changed the processes it uses compared with the previous reporting period; (b) the processes the entity uses to identify, assess, prioritise and monitor sustainability-related opportunities; and (c) the extent to which, and how, the processes for identifying, assessing, prioritising and monitoring sustainability-related risks and opportunities are integrated into and inform the entity’s overall risk management process.",(a)>(vi),mandatory,True,"[""risk_process""]",general,1.0,1.0
IFRS_S1_44_C08,IFRS S1,44,15,Risk Management,Risk management,Risk management,"To achieve this objective, an entity shall disclose information about — (b) the processes the entity uses to identify, assess, prioritise and monitor sustainability-related opportunities","To achieve this objective, an entity shall disclose information about: (a) the processes and related policies the entity uses to identify, assess, prioritise and monitor sustainability-related risks, including information about: (i) the inputs and parameters the entity uses (for example, information about data sources and the scope of operations covered in the processes); (ii) whether and how the entity uses scenario analysis to inform its identification of sustainability-related risks; (iii) how the entity assesses the nature, likelihood and magnitude of the effects of those risks (for example, whether the entity considers qualitative factors, quantitative thresholds or other criteria); (iv) whether and how the entity prioritises sustainability-related risks relative to other types of risk; (v) how the entity monitors sustainability-related risks; and (vi) whether and how the entity has changed the processes it uses compared with the previous reporting period; (b) the processes the entity uses to identify, assess, prioritise and monitor sustainability-related opportunities; and (c) the extent to which, and how, the processes for identifying, assessing, prioritising and monitoring sustainability-related risks and opportunities are integrated into and inform the entity’s overall risk management process.",(b),mandatory,True,"[""risk_process""]",general,1.0,1.0
IFRS_S1_44_C09,IFRS S1,44,15,Risk Management,Risk management,Risk management,"To achieve this objective, an entity shall disclose information about — (c) the extent to which, and how, the processes for identifying, assessing, prioritising and monitoring sustainability-related risks and opportunities are integrated into and inform the entity’s overall risk management process.","To achieve this objective, an entity shall disclose information about: (a) the processes and related policies the entity uses to identify, assess, prioritise and monitor sustainability-related risks, including information about: (i) the inputs and parameters the entity uses (for example, information about data sources and the scope of operations covered in the processes); (ii) whether and how the entity uses scenario analysis to inform its identification of sustainability-related risks; (iii) how the entity assesses the nature, likelihood and magnitude of the effects of those risks (for example, whether the entity considers qualitative factors, quantitative thresholds or other criteria); (iv) whether and how the entity prioritises sustainability-related risks relative to other types of risk; (v) how the entity monitors sustainability-related risks; and (vi) whether and how the entity has changed the processes it uses compared with the previous reporting period; (b) the processes the entity uses to identify, assess, prioritise and monitor sustainability-related opportunities; and (c) the extent to which, and how, the processes for identifying, assessing, prioritising and monitoring sustainability-related risks and opportunities are integrated into and inform the entity’s overall risk management process.",(c),mandatory,True,"[""risk_process""]",general,1.0,1.0
IFRS_S2_25_C02,IFRS S2,25,14,Risk Management,Risk management,Risk management,"To achieve this objective, an entity shall disclose information about — (a) the processes and related policies the entity uses to identify, assess, prioritise and monitor climate-related risks, including information about: — (i) the inputs and parameters the entity uses (for example, information about data sources and the scope of operations covered in the processes)","To achieve this objective, an entity shall disclose information about: (a) the processes and related policies the entity uses to identify, assess, prioritise and monitor climate-related risks, including information about: (i) the inputs and parameters the entity uses (for example, information about data sources and the scope of operations covered in the processes); (ii) whether and how the entity uses climate-related scenario analysis to inform its identification of climate-related risks; (iii) how the entity assesses the nature, likelihood and magnitude of the effects of those risks (for example, whether the entity considers qualitative factors, quantitative thresholds or other criteria); (iv) whether and how the entity prioritises climate-related risks relative to other types of risk; (v) how the entity monitors climate-related risks; and (vi) whether and how the entity has changed the processes it uses compared with the previous reporting period; (b) the processes the entity uses to identify, assess, prioritise and monitor climate-related opportunities, including information about whether and how the entity uses climate-related scenario analysis to inform its identification of climate-related opportunities; and (c) the extent to which, and how, the processes for identifying, assessing, prioritising and monitoring climate-related risks and opportunities are integrated into and inform the entity’s overall risk management process.",(a)>(i),mandatory,True,"[""risk_process""]",medium,1.0,1.0
IFRS_S2_25_C03,IFRS S2,25,14,Risk Management,Risk management,Risk management,"To achieve this objective, an entity shall disclose information about — (a) the processes and related policies the entity uses to identify, assess, prioritise and monitor climate-related risks, including information about: — (ii) whether and how the entity uses climate-related scenario analysis to inform its identification of climate-related risks","To achieve this objective, an entity shall disclose information about: (a) the processes and related policies the entity uses to identify, assess, prioritise and monitor climate-related risks, including information about: (i) the inputs and parameters the entity uses (for example, information about data sources and the scope of operations covered in the processes); (ii) whether and how the entity uses climate-related scenario analysis to inform its identification of climate-related risks; (iii) how the entity assesses the nature, likelihood and magnitude of the effects of those risks (for example, whether the entity considers qualitative factors, quantitative thresholds or other criteria); (iv) whether and how the entity prioritises climate-related risks relative to other types of risk; (v) how the entity monitors climate-related risks; and (vi) whether and how the entity has changed the processes it uses compared with the previous reporting period; (b) the processes the entity uses to identify, assess, prioritise and monitor climate-related opportunities, including information about whether and how the entity uses climate-related scenario analysis to inform its identification of climate-related opportunities; and (c) the extent to which, and how, the processes for identifying, assessing, prioritising and monitoring climate-related risks and opportunities are integrated into and inform the entity’s overall risk management process.",(a)>(ii),mandatory,True,"[""scenario_analysis"", ""risk_process""]",medium,1.0,1.0
