requirement_id,standard,paragraph_id,paragraph_ref,source_pdf,source_pages,report_section,topic,mandatory_status,banking_relevance,evidence_tags,subclause_markers,requirement_label,paragraph_text
IFRS_S1.1,IFRS S1,1,IFRS S1 1,gen_data\IFRS\ifrs_s1.pdf,7,General Requirements,"Objective, scope, conceptual foundations, materiality, reporting entity, connected information",objective,general,[],[],The objective of IFRS S1 General Requirements for Disclosure of Sustainability- related Financial Information is to require an entity to disclose information about its sustainability-related risks and opportunities that is useful to primary users of general purpose financial repo...,The objective of IFRS S1 General Requirements for Disclosure of Sustainability- related Financial Information is to require an entity to disclose information about its sustainability-related risks and opportunities that is useful to primary users of general purpose financial reports in making decisions relating to providing resources to the entity.1
IFRS_S1.2,IFRS S1,2,IFRS S1 2,gen_data\IFRS\ifrs_s1.pdf,7,General Requirements,"Objective, scope, conceptual foundations, materiality, reporting entity, connected information",context_or_guidance,general,"['financial_effects', 'value_chain']",[],"Information about sustainability-related risks and opportunities is useful to primary users because an entity’s ability to generate cash flows over the short, medium and long term is inextricably linked to the interactions between the entity and its stakeholders, society, the eco...","Information about sustainability-related risks and opportunities is useful to primary users because an entity’s ability to generate cash flows over the short, medium and long term is inextricably linked to the interactions between the entity and its stakeholders, society, the economy and the natural environment throughout the entity’s value chain. Together, the entity and the resources and relationships throughout its value chain form an interdependent system in which the entity operates. The entity’s dependencies on those resources and relationships and its impacts on those resources and relationships give rise to sustainability-related risks and opportunities for the entity."
IFRS_S1.3,IFRS S1,3,IFRS S1 3,gen_data\IFRS\ifrs_s1.pdf,7,General Requirements,"Objective, scope, conceptual foundations, materiality, reporting entity, connected information",mandatory,general,['financial_effects'],[],"This Standard requires an entity to disclose information about all sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s cash flows, its access to finance or cost of capital over the short, medium or long term.","This Standard requires an entity to disclose information about all sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s cash flows, its access to finance or cost of capital over the short, medium or long term. For the purposes of this Standard, these risks and opportunities are collectively referred to as ‘sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects’."
IFRS_S1.4,IFRS S1,4,IFRS S1 4,gen_data\IFRS\ifrs_s1.pdf,7,General Requirements,"Objective, scope, conceptual foundations, materiality, reporting entity, connected information",context_or_guidance,general,[],[],This Standard also prescribes how an entity prepares and reports its sustainability-related financial disclosures.,This Standard also prescribes how an entity prepares and reports its sustainability-related financial disclosures. It sets out general requirements for the content and presentation of those disclosures so that the information disclosed is useful to primary users in making decisions relating to providing resources to the entity.
IFRS_S1.5,IFRS S1,5,IFRS S1 5,gen_data\IFRS\ifrs_s1.pdf,7,General Requirements,"Objective, scope, conceptual foundations, materiality, reporting entity, connected information",mandatory,general,[],[],An entity shall apply this Standard in preparing and reporting sustainability-related financial disclosures in accordance with IFRS Sustainability Disclosure Standards.,An entity shall apply this Standard in preparing and reporting sustainability-related financial disclosures in accordance with IFRS Sustainability Disclosure Standards.
IFRS_S1.6,IFRS S1,6,IFRS S1 6,gen_data\IFRS\ifrs_s1.pdf,7,General Requirements,"Objective, scope, conceptual foundations, materiality, reporting entity, connected information",context_or_guidance,general,[],[],Sustainability-related risks and opportunities that could not reasonably be expected to affect an entity’s prospects are outside the scope of this Standard.,Sustainability-related risks and opportunities that could not reasonably be expected to affect an entity’s prospects are outside the scope of this Standard.
IFRS_S1.7,IFRS S1,7,IFRS S1 7,gen_data\IFRS\ifrs_s1.pdf,7,General Requirements,"Objective, scope, conceptual foundations, materiality, reporting entity, connected information",mandatory,general,[],[],Other IFRS Sustainability Disclosure Standards specify information an entity is required to disclose about specific sustainability-related risks and opportunities.,Other IFRS Sustainability Disclosure Standards specify information an entity is required to disclose about specific sustainability-related risks and opportunities.
IFRS_S1.8,IFRS S1,8,IFRS S1 8,gen_data\IFRS\ifrs_s1.pdf,8,General Requirements,"Objective, scope, conceptual foundations, materiality, reporting entity, connected information",optional_or_relief,general,[],[],An entity may apply IFRS Sustainability Disclosure Standards irrespective of whether the entity’s related general purpose financial statements (referred to as ‘financial statements’) are prepared in accordance with IFRS Accounting Standards or other generally accepted accounting...,An entity may apply IFRS Sustainability Disclosure Standards irrespective of whether the entity’s related general purpose financial statements (referred to as ‘financial statements’) are prepared in accordance with IFRS Accounting Standards or other generally accepted accounting principles or practices (GAAP).
IFRS_S1.9,IFRS S1,9,IFRS S1 9,gen_data\IFRS\ifrs_s1.pdf,8,General Requirements,"Objective, scope, conceptual foundations, materiality, reporting entity, connected information",context_or_guidance,general,[],[],"This Standard uses terminology suitable for profit-oriented entities, including public-sector business entities.","This Standard uses terminology suitable for profit-oriented entities, including public-sector business entities. If entities with not-for-profit activities in the private sector or the public sector apply this Standard, they might need to amend the descriptions used for particular items of information when applying IFRS Sustainability Disclosure Standards."
IFRS_S1.10,IFRS S1,10,IFRS S1 10,gen_data\IFRS\ifrs_s1.pdf,8,General Requirements,"Objective, scope, conceptual foundations, materiality, reporting entity, connected information",context_or_guidance,general,[],[],"For sustainability-related financial information to be useful, it must be relevant and faithfully represent what it purports to represent.","For sustainability-related financial information to be useful, it must be relevant and faithfully represent what it purports to represent. These are fundamental qualitative characteristics of useful sustainability-related financial information. The usefulness of sustainability-related financial information is enhanced if the information is comparable, verifiable, timely and understandable. These are enhancing qualitative characteristics of useful sustainability-related financial information (see Appendix D). Fair presentation"
IFRS_S1.11,IFRS S1,11,IFRS S1 11,gen_data\IFRS\ifrs_s1.pdf,8,General Requirements,"Objective, scope, conceptual foundations, materiality, reporting entity, connected information",mandatory,general,[],[],A complete set of sustainability-related financial disclosures shall present fairly all sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s prospects.,A complete set of sustainability-related financial disclosures shall present fairly all sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s prospects.
IFRS_S1.12,IFRS S1,12,IFRS S1 12,gen_data\IFRS\ifrs_s1.pdf,8,General Requirements,"Objective, scope, conceptual foundations, materiality, reporting entity, connected information",mandatory,general,['risk_process'],[],"To identify sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s prospects, an entity shall apply paragraphs B1–B12.","To identify sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s prospects, an entity shall apply paragraphs B1–B12."
