audit_id,entity_id,entity_legal_name,country_code,regulatory_regime,reporting_year,auditor_name,auditor_type,assurance_standard,assurance_level,assurance_scope_type,scope_description,covered_kpi_codes,covered_kpi_names,linked_board_meeting_id,linked_erm_risk_ids,opinion,findings_summary,material_weakness_flag,remediation_due_date,sign_off_date,assurance_engagement_status,evidence_basis,data_source,created_from
AUD-ENT-GROUP-001-2019,ENT-GROUP-001,Atlas Banking Group SA,FR,CSRD,2019,EY France,big4,ISAE3410,limited,operational_emissions,Limited assurance over operational Scope 1 and Scope 2 emissions: Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions,ENV-001; ENV-002; ENV-003,Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions,MTG-000003,RISK-011; RISK-012,unmodified,Evidence obtained was sufficient and appropriate for the stated assurance scope.,False,,2020-03-24,signed_off,board_minutes; entity_master; erm_system; esg_kpi_tracker,synthetic_assurance_engagement_register,synthetic_audit_log_generation_v2_core_tables_aligned
AUD-ENT-GROUP-001-2020,ENT-GROUP-001,Atlas Banking Group SA,FR,CSRD,2020,EY France,big4,ISAE3000,limited,operational_emissions,Limited assurance over operational Scope 1 and Scope 2 emissions: Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions,ENV-001; ENV-002; ENV-003,Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions,MTG-000016,RISK-011; RISK-003,unmodified,Assurance procedures completed with clean conclusion across selected ESG metrics.,False,,2021-03-28,signed_off,board_minutes; entity_master; erm_system; esg_kpi_tracker,synthetic_assurance_engagement_register,synthetic_audit_log_generation_v2_core_tables_aligned
AUD-ENT-GROUP-001-2021,ENT-GROUP-001,Atlas Banking Group SA,FR,CSRD,2021,EY France,big4,ISAE3410,limited,operational_emissions,Limited assurance over operational Scope 1 and Scope 2 emissions: Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions,ENV-001; ENV-002; ENV-003,Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions,MTG-000021,RISK-008; RISK-011,modified,One data lineage weakness identified; management remediation plan agreed.,True,2022-06-19,2022-03-24,signed_off,board_minutes; entity_master; erm_system; esg_kpi_tracker,synthetic_assurance_engagement_register,synthetic_audit_log_generation_v2_core_tables_aligned
AUD-ENT-GROUP-001-2022,ENT-GROUP-001,Atlas Banking Group SA,FR,CSRD,2022,EY France,big4,ISAE3410,limited,operational_emissions_and_governance,Assurance over operational emissions and governance oversight metrics: Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions; Board meetings with ESG agenda,ENV-001; ENV-002; ENV-003; GOV-001,Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions; Board meetings with ESG agenda,MTG-000026,RISK-009; RISK-008,unmodified,No material misstatements identified; minor process observations communicated to management.,False,,2023-03-21,signed_off,board_minutes; entity_master; erm_system; esg_kpi_tracker,synthetic_assurance_engagement_register,synthetic_audit_log_generation_v2_core_tables_aligned
AUD-ENT-GROUP-001-2023,ENT-GROUP-001,Atlas Banking Group SA,FR,CSRD,2023,EY France,big4,ISAE3410,limited,operational_emissions_and_governance,Assurance over operational emissions and governance oversight metrics: Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions; Board meetings with ESG agenda,ENV-001; ENV-002; ENV-003; GOV-001,Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions; Board meetings with ESG agenda,MTG-000040,RISK-005; RISK-004,modified,One data lineage weakness identified; management remediation plan agreed.,True,2024-08-25,2024-03-27,signed_off,board_minutes; entity_master; erm_system; esg_kpi_tracker,synthetic_assurance_engagement_register,synthetic_audit_log_generation_v2_core_tables_aligned
AUD-ENT-GROUP-001-2024,ENT-GROUP-001,Atlas Banking Group SA,FR,CSRD,2024,EY France,big4,ISAE3000,reasonable,full_esg_and_financed_emissions,"Reasonable assurance over operational emissions, financed emissions, portfolio climate KPIs, governance and selected social metrics: Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions; Financed emissions Scope 1 and 2; High-emission sector exposure; Average PCAF data quality score; Financed emissions data coverage; Sovereign bond exposure; Project finance exposure; Real estate exposure; Motor vehicle exposure; Financed emissions Scope 1, 2 and 3; Board meetings with ESG agenda; Gender pay gap; ESG training completion",ENV-001; ENV-002; ENV-003; FIN-001; FIN-003; FIN-004; FIN-005; FIN-008; FIN-009; FIN-010; FIN-011; FIN-012; GOV-001; SOC-001; SOC-002,"Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions; Financed emissions Scope 1 and 2; High-emission sector exposure; Average PCAF data quality score; Financed emissions data coverage; Sovereign bond exposure; Project finance exposure; Real estate exposure; Motor vehicle exposure; Financed emissions Scope 1, 2 and 3; Board meetings with ESG agenda; Gender pay gap; ESG training completion",MTG-000041,RISK-006; RISK-015; RISK-011,unmodified,Assurance procedures completed with clean conclusion across selected ESG metrics.,False,,2025-03-21,signed_off,board_minutes; collateral_register; counterparty_master; emission_factors; entity_master; erm_system; esg_kpi_tracker; loan_book; utility_bills,synthetic_assurance_engagement_register,synthetic_audit_log_generation_v2_core_tables_aligned
AUD-ENT-FR-002-2019,ENT-FR-002,Atlas Retail Bank France SA,FR,CSRD,2019,PwC France,big4,ISAE3410,limited,operational_emissions,Limited assurance over operational Scope 1 and Scope 2 emissions: Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions,ENV-001; ENV-002; ENV-003,Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions,MTG-000049,RISK-002; RISK-014,unmodified,Evidence obtained was sufficient and appropriate for the stated assurance scope.,False,,2020-03-23,signed_off,board_minutes; entity_master; erm_system; esg_kpi_tracker,synthetic_assurance_engagement_register,synthetic_audit_log_generation_v2_core_tables_aligned
AUD-ENT-FR-002-2020,ENT-FR-002,Atlas Retail Bank France SA,FR,CSRD,2020,PwC France,big4,ISAE3000,limited,operational_emissions,Limited assurance over operational Scope 1 and Scope 2 emissions: Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions,ENV-001; ENV-002; ENV-003,Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions,MTG-000062,RISK-004; RISK-003,unmodified,No material misstatements identified; minor process observations communicated to management.,False,,2021-03-21,signed_off,board_minutes; entity_master; erm_system; esg_kpi_tracker,synthetic_assurance_engagement_register,synthetic_audit_log_generation_v2_core_tables_aligned
AUD-ENT-FR-002-2021,ENT-FR-002,Atlas Retail Bank France SA,FR,CSRD,2021,PwC France,big4,ISAE3000,limited,operational_emissions,Limited assurance over operational Scope 1 and Scope 2 emissions: Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions,ENV-001; ENV-002; ENV-003,Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions,MTG-000067,RISK-004; RISK-008,unmodified,No material misstatements identified; minor process observations communicated to management.,False,,2022-03-25,signed_off,board_minutes; entity_master; erm_system; esg_kpi_tracker,synthetic_assurance_engagement_register,synthetic_audit_log_generation_v2_core_tables_aligned
AUD-ENT-FR-002-2022,ENT-FR-002,Atlas Retail Bank France SA,FR,CSRD,2022,PwC France,big4,ISAE3410,limited,operational_emissions_and_governance,Assurance over operational emissions and governance oversight metrics: Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions; Board meetings with ESG agenda,ENV-001; ENV-002; ENV-003; GOV-001,Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions; Board meetings with ESG agenda,MTG-000078,RISK-008; RISK-011,unmodified,Assurance procedures completed with clean conclusion across selected ESG metrics.,False,,2023-03-22,signed_off,board_minutes; entity_master; erm_system; esg_kpi_tracker,synthetic_assurance_engagement_register,synthetic_audit_log_generation_v2_core_tables_aligned
AUD-ENT-FR-002-2023,ENT-FR-002,Atlas Retail Bank France SA,FR,CSRD,2023,PwC France,big4,ISAE3000,limited,operational_emissions_and_governance,Assurance over operational emissions and governance oversight metrics: Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions; Board meetings with ESG agenda,ENV-001; ENV-002; ENV-003; GOV-001,Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions; Board meetings with ESG agenda,MTG-000081,RISK-014; RISK-007,unmodified,Evidence obtained was sufficient and appropriate for the stated assurance scope.,False,,2024-03-22,signed_off,board_minutes; entity_master; erm_system; esg_kpi_tracker,synthetic_assurance_engagement_register,synthetic_audit_log_generation_v2_core_tables_aligned
AUD-ENT-FR-002-2024,ENT-FR-002,Atlas Retail Bank France SA,FR,CSRD,2024,PwC France,big4,ISAE3410,reasonable,full_esg_and_financed_emissions,"Reasonable assurance over operational emissions, financed emissions, portfolio climate KPIs, governance and selected social metrics: Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions; Financed emissions Scope 1 and 2; High-emission sector exposure; Average PCAF data quality score; Financed emissions data coverage; Sovereign bond exposure; Project finance exposure; Real estate exposure; Motor vehicle exposure; Financed emissions Scope 1, 2 and 3; Board meetings with ESG agenda; Gender pay gap; ESG training completion",ENV-001; ENV-002; ENV-003; FIN-001; FIN-003; FIN-004; FIN-005; FIN-008; FIN-009; FIN-010; FIN-011; FIN-012; GOV-001; SOC-001; SOC-002,"Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions; Financed emissions Scope 1 and 2; High-emission sector exposure; Average PCAF data quality score; Financed emissions data coverage; Sovereign bond exposure; Project finance exposure; Real estate exposure; Motor vehicle exposure; Financed emissions Scope 1, 2 and 3; Board meetings with ESG agenda; Gender pay gap; ESG training completion",MTG-000089,RISK-013; RISK-006; RISK-011,unmodified,Evidence obtained was sufficient and appropriate for the stated assurance scope.,False,,2025-03-20,signed_off,board_minutes; collateral_register; counterparty_master; emission_factors; entity_master; erm_system; esg_kpi_tracker; loan_book; utility_bills,synthetic_assurance_engagement_register,synthetic_audit_log_generation_v2_core_tables_aligned
AUD-ENT-DE-003-2019,ENT-DE-003,Atlas Bank Deutschland AG,DE,CSRD,2019,EY Germany,big4,ISAE3410,limited,operational_emissions,Limited assurance over operational Scope 1 and Scope 2 emissions: Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions,ENV-001; ENV-002; ENV-003,Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions,MTG-000101,RISK-006; RISK-004,unmodified,Evidence obtained was sufficient and appropriate for the stated assurance scope.,False,,2020-03-22,signed_off,board_minutes; entity_master; erm_system; esg_kpi_tracker,synthetic_assurance_engagement_register,synthetic_audit_log_generation_v2_core_tables_aligned
AUD-ENT-DE-003-2020,ENT-DE-003,Atlas Bank Deutschland AG,DE,CSRD,2020,EY Germany,big4,ISAE3410,limited,operational_emissions,Limited assurance over operational Scope 1 and Scope 2 emissions: Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions,ENV-001; ENV-002; ENV-003,Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions,MTG-000111,RISK-011; RISK-013,unmodified,Assurance procedures completed with clean conclusion across selected ESG metrics.,False,,2021-03-21,signed_off,board_minutes; entity_master; erm_system; esg_kpi_tracker,synthetic_assurance_engagement_register,synthetic_audit_log_generation_v2_core_tables_aligned
AUD-ENT-DE-003-2021,ENT-DE-003,Atlas Bank Deutschland AG,DE,CSRD,2021,EY Germany,big4,ISAE3000,limited,operational_emissions,Limited assurance over operational Scope 1 and Scope 2 emissions: Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions,ENV-001; ENV-002; ENV-003,Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions,MTG-000113,RISK-012; RISK-001,unmodified,No material misstatements identified; minor process observations communicated to management.,False,,2022-03-27,signed_off,board_minutes; entity_master; erm_system; esg_kpi_tracker,synthetic_assurance_engagement_register,synthetic_audit_log_generation_v2_core_tables_aligned
AUD-ENT-DE-003-2022,ENT-DE-003,Atlas Bank Deutschland AG,DE,CSRD,2022,EY Germany,big4,ISAE3410,limited,operational_emissions_and_governance,Assurance over operational emissions and governance oversight metrics: Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions; Board meetings with ESG agenda,ENV-001; ENV-002; ENV-003; GOV-001,Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions; Board meetings with ESG agenda,MTG-000127,RISK-008; RISK-014,unmodified,Assurance procedures completed with clean conclusion across selected ESG metrics.,False,,2023-03-25,signed_off,board_minutes; entity_master; erm_system; esg_kpi_tracker,synthetic_assurance_engagement_register,synthetic_audit_log_generation_v2_core_tables_aligned
AUD-ENT-DE-003-2023,ENT-DE-003,Atlas Bank Deutschland AG,DE,CSRD,2023,EY Germany,big4,ISAE3410,reasonable,operational_emissions_and_governance,Assurance over operational emissions and governance oversight metrics: Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions; Board meetings with ESG agenda,ENV-001; ENV-002; ENV-003; GOV-001,Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions; Board meetings with ESG agenda,MTG-000134,RISK-003; RISK-015,unmodified,No material misstatements identified; minor process observations communicated to management.,False,,2024-03-22,signed_off,board_minutes; entity_master; erm_system; esg_kpi_tracker,synthetic_assurance_engagement_register,synthetic_audit_log_generation_v2_core_tables_aligned
AUD-ENT-DE-003-2024,ENT-DE-003,Atlas Bank Deutschland AG,DE,CSRD,2024,EY Germany,big4,ISAE3000,reasonable,full_esg_and_financed_emissions,"Reasonable assurance over operational emissions, financed emissions, portfolio climate KPIs, governance and selected social metrics: Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions; Financed emissions Scope 1 and 2; High-emission sector exposure; Average PCAF data quality score; Financed emissions data coverage; Sovereign bond exposure; Project finance exposure; Real estate exposure; Motor vehicle exposure; Financed emissions Scope 1, 2 and 3; Board meetings with ESG agenda; Gender pay gap; ESG training completion",ENV-001; ENV-002; ENV-003; FIN-001; FIN-003; FIN-004; FIN-005; FIN-008; FIN-009; FIN-010; FIN-011; FIN-012; GOV-001; SOC-001; SOC-002,"Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions; Financed emissions Scope 1 and 2; High-emission sector exposure; Average PCAF data quality score; Financed emissions data coverage; Sovereign bond exposure; Project finance exposure; Real estate exposure; Motor vehicle exposure; Financed emissions Scope 1, 2 and 3; Board meetings with ESG agenda; Gender pay gap; ESG training completion",MTG-000139,RISK-012; RISK-004; RISK-015,unmodified,No material misstatements identified; minor process observations communicated to management.,False,,2025-03-20,signed_off,board_minutes; collateral_register; counterparty_master; emission_factors; entity_master; erm_system; esg_kpi_tracker; loan_book; utility_bills,synthetic_assurance_engagement_register,synthetic_audit_log_generation_v2_core_tables_aligned
AUD-ENT-NL-004-2019,ENT-NL-004,Atlas Bank Netherlands NV,NL,CSRD,2019,KPMG Netherlands,big4,ISAE3410,limited,operational_emissions,Limited assurance over operational Scope 1 and Scope 2 emissions: Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions,ENV-001; ENV-002; ENV-003,Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions,MTG-000145,RISK-003; RISK-014,unmodified,No material misstatements identified; minor process observations communicated to management.,False,,2020-03-21,signed_off,board_minutes; entity_master; erm_system; esg_kpi_tracker,synthetic_assurance_engagement_register,synthetic_audit_log_generation_v2_core_tables_aligned
AUD-ENT-NL-004-2020,ENT-NL-004,Atlas Bank Netherlands NV,NL,CSRD,2020,KPMG Netherlands,big4,ISAE3410,limited,operational_emissions,Limited assurance over operational Scope 1 and Scope 2 emissions: Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions,ENV-001; ENV-002; ENV-003,Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions,MTG-000158,RISK-001; RISK-007,unmodified,Evidence obtained was sufficient and appropriate for the stated assurance scope.,False,,2021-03-23,signed_off,board_minutes; entity_master; erm_system; esg_kpi_tracker,synthetic_assurance_engagement_register,synthetic_audit_log_generation_v2_core_tables_aligned
AUD-ENT-NL-004-2021,ENT-NL-004,Atlas Bank Netherlands NV,NL,CSRD,2021,KPMG Netherlands,big4,ISAE3000,limited,operational_emissions,Limited assurance over operational Scope 1 and Scope 2 emissions: Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions,ENV-001; ENV-002; ENV-003,Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions,MTG-000162,RISK-002; RISK-010,unmodified,Evidence obtained was sufficient and appropriate for the stated assurance scope.,False,,2022-03-20,signed_off,board_minutes; entity_master; erm_system; esg_kpi_tracker,synthetic_assurance_engagement_register,synthetic_audit_log_generation_v2_core_tables_aligned
AUD-ENT-NL-004-2022,ENT-NL-004,Atlas Bank Netherlands NV,NL,CSRD,2022,KPMG Netherlands,big4,ISAE3000,limited,operational_emissions_and_governance,Assurance over operational emissions and governance oversight metrics: Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions; Board meetings with ESG agenda,ENV-001; ENV-002; ENV-003; GOV-001,Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions; Board meetings with ESG agenda,MTG-000173,RISK-002; RISK-013,unmodified,Evidence obtained was sufficient and appropriate for the stated assurance scope.,False,,2023-03-24,signed_off,board_minutes; entity_master; erm_system; esg_kpi_tracker,synthetic_assurance_engagement_register,synthetic_audit_log_generation_v2_core_tables_aligned
AUD-ENT-NL-004-2023,ENT-NL-004,Atlas Bank Netherlands NV,NL,CSRD,2023,KPMG Netherlands,big4,ISAE3000,reasonable,operational_emissions_and_governance,Assurance over operational emissions and governance oversight metrics: Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions; Board meetings with ESG agenda,ENV-001; ENV-002; ENV-003; GOV-001,Scope 1 emissions; Scope 2 location-based emissions; Total operational Scope 1 and 2 emissions; Board meetings with ESG agenda,MTG-000181,RISK-015; RISK-010,unmodified,Evidence obtained was sufficient and appropriate for the stated assurance scope.,False,,2024-03-22,signed_off,board_minutes; entity_master; erm_system; esg_kpi_tracker,synthetic_assurance_engagement_register,synthetic_audit_log_generation_v2_core_tables_aligned
