icp_id,bank_id,reporting_year,carbon_price_eur_per_tco2e,price_type,application_scope,applies_to_lending_decisions,applies_to_financed_emissions,benchmark_reference,review_frequency,currency
ICP-BANK01-2022,BANK01,2022,42.73,shadow_price,investment_decisions,True,True,IEA_NZE,biennial,EUR
ICP-BANK01-2023,BANK01,2023,48.73,shadow_price,product_pricing,False,False,IEA_NZE,annual,EUR
ICP-BANK01-2024,BANK01,2024,54.73,internal_charge,investment_decisions,True,False,internal_model,annual,EUR
ICP-BANK02-2022,BANK02,2022,40.93,shadow_price,investment_decisions,True,False,EU_ETS_spot,annual,EUR
ICP-BANK02-2023,BANK02,2023,46.93,internal_charge,product_pricing,True,False,internal_model,biennial,EUR
ICP-BANK02-2024,BANK02,2024,52.93,shadow_price,product_pricing,True,True,internal_model,annual,EUR
ICP-BANK03-2022,BANK03,2022,36.61,internal_charge,investment_decisions,False,False,internal_model,biennial,EUR
ICP-BANK03-2023,BANK03,2023,42.61,shadow_price,all,False,False,internal_model,biennial,EUR
ICP-BANK03-2024,BANK03,2024,48.61,internal_charge,capex_appraisal,False,False,EU_ETS_spot,biennial,EUR
ICP-BANK04-2022,BANK04,2022,46.46,shadow_price,capex_appraisal,True,True,internal_model,annual,EUR
ICP-BANK04-2023,BANK04,2023,54.46,shadow_price,all,True,True,IEA_NZE,annual,EUR
ICP-BANK04-2024,BANK04,2024,62.46,shadow_price,investment_decisions,True,False,IEA_NZE,annual,EUR
ICP-BANK05-2022,BANK05,2022,27.95,shadow_price,all,False,False,EU_ETS_spot,biennial,EUR
ICP-BANK05-2023,BANK05,2023,30.95,shadow_price,all,False,False,NGFS_transition_pathway,biennial,EUR
ICP-BANK05-2024,BANK05,2024,33.95,shadow_price,capex_appraisal,False,False,NGFS_transition_pathway,biennial,EUR
