erm_record_id,risk_id,risk_name,risk_category,climate_risk_driver,time_horizon,reporting_year,entity_id,risk_owner_function,facility_id,counterparty_id,collateral_id,pcaf_asset_class,nace_code,exposure_at_risk_eur,likelihood_score,severity_score,risk_rating_score,risk_rating,financial_impact_eur,erm_integrated_flag,mitigation_status,control_effectiveness,residual_risk_score,residual_risk_rating,geo_id,country_code,postcode,geography_reference,linkage_source,data_source,created_from
ERM-RISK-001-2019,RISK-001,Flood risk - mortgage book,physical_acute,flood,short_term,2019,ENT-DE-003,Credit Risk,FAC-0047197,,COL-00015129,mortgage,H49.41,8488.97,3,4,12,medium,744.24,False,implemented,strong,8,medium,GEO-DE-00066,DE,20095-06,DE,collateral_register + geo_risk_db,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-001-2020,RISK-001,Flood risk - mortgage book,physical_acute,flood,short_term,2020,ENT-DE-003,Credit Risk,FAC-0025288,,COL-00008078,mortgage,C24.10,31586.93,3,4,12,medium,13288.81,False,implemented,moderate,10,medium,GEO-NL-00466,NL,2511-01,NL,collateral_register + geo_risk_db,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-001-2021,RISK-001,Flood risk - mortgage book,physical_acute,flood,short_term,2021,ENT-DE-003,Credit Risk,FAC-0008406,,COL-00002748,mortgage,H49.41,40912.03,3,4,12,medium,12382.67,False,in_progress,strong,8,medium,GEO-ES-00161,ES,08001-11,ES,collateral_register + geo_risk_db,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-001-2022,RISK-001,Flood risk - mortgage book,physical_acute,flood,short_term,2022,ENT-IT-007,Credit Risk,FAC-0040986,,COL-00013085,mortgage,C24.10,26762.64,3,4,12,medium,6334.41,True,in_progress,moderate,10,medium,GEO-ES-00161,ES,08001-11,ES,collateral_register + geo_risk_db,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-001-2023,RISK-001,Flood risk - mortgage book,physical_acute,flood,short_term,2023,ENT-GROUP-001,Credit Risk,FAC-0043611,,COL-00013943,mortgage,C24.10,13600.98,3,4,12,medium,3234.62,True,in_progress,moderate,10,medium,GEO-LU-00425,LU,L-4004,LU,collateral_register + geo_risk_db,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-001-2024,RISK-001,Flood risk - mortgage book,physical_acute,flood,short_term,2024,ENT-LU-009,Credit Risk,FAC-0002644,,COL-00000890,mortgage,C24.10,19997.01,3,4,12,medium,7660.28,False,in_progress,strong,8,medium,GEO-GB-00327,GB,L1 12AA,GB,collateral_register + geo_risk_db,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-002-2019,RISK-002,Storm surge - coastal collateral,physical_acute,storm_surge,short_term,2019,ENT-NL-004,Credit Risk,FAC-0039006,,COL-00012445,mortgage,H49.41,23997.95,3,4,12,medium,2541.41,True,not_started,strong,8,medium,GEO-DE-00066,DE,20095-06,DE,collateral_register + geo_risk_db,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-002-2020,RISK-002,Storm surge - coastal collateral,physical_acute,storm_surge,short_term,2020,ENT-IT-007,Credit Risk,FAC-0042781,,COL-00013645,mortgage,C24.10,51798.98,3,4,12,medium,12098.5,True,in_progress,weak,12,medium,GEO-ES-00161,ES,08001-11,ES,collateral_register + geo_risk_db,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-002-2021,RISK-002,Storm surge - coastal collateral,physical_acute,storm_surge,short_term,2021,ENT-ES-006,Credit Risk,FAC-0037104,,COL-00011820,commercial_re,C24.10,1927621.75,3,4,12,medium,585779.82,True,implemented,moderate,10,medium,GEO-NL-00466,NL,2511-01,NL,collateral_register + geo_risk_db,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-002-2022,RISK-002,Storm surge - coastal collateral,physical_acute,storm_surge,short_term,2022,ENT-UK-005,Credit Risk,FAC-0042688,,COL-00013614,mortgage,H49.41,9999.4,3,4,12,medium,2133.99,False,in_progress,weak,12,medium,GEO-NL-00466,NL,2511-01,NL,collateral_register + geo_risk_db,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-002-2023,RISK-002,Storm surge - coastal collateral,physical_acute,storm_surge,short_term,2023,ENT-FR-002,Credit Risk,FAC-0042705,,COL-00013618,commercial_re,C24.10,1537219.01,3,4,12,medium,558870.24,False,in_progress,strong,8,medium,GEO-ES-00161,ES,08001-11,ES,collateral_register + geo_risk_db,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-002-2024,RISK-002,Storm surge - coastal collateral,physical_acute,storm_surge,short_term,2024,ENT-US-010,Credit Risk,FAC-0009584,,COL-00003114,mortgage,H49.41,6417.55,3,4,12,medium,2175.19,True,in_progress,moderate,10,medium,GEO-LU-00425,LU,L-4004,LU,collateral_register + geo_risk_db,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-003-2019,RISK-003,Chronic heat - commercial real estate,physical_chronic,heat_stress,medium_term,2019,ENT-IT-007,Portfolio Risk,FAC-0037882,,COL-00012083,commercial_re,C24.10,679115.0,3,3,9,medium,115860.3,False,in_progress,weak,9,medium,GEO-DE-00076,DE,80331-01,DE,collateral_register + geo_risk_db,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-003-2020,RISK-003,Chronic heat - commercial real estate,physical_chronic,heat_stress,medium_term,2020,ENT-FR-002,Portfolio Risk,FAC-0019478,,COL-00006280,commercial_re,L68.20,355811.04,3,3,9,medium,117375.96,True,monitored,strong,5,low,GEO-GB-00335,GB,BS1 5AA,GB,collateral_register + geo_risk_db,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-003-2021,RISK-003,Chronic heat - commercial real estate,physical_chronic,heat_stress,medium_term,2021,ENT-LU-009,Portfolio Risk,FAC-0008954,,COL-00002939,commercial_re,H49.41,15535862.0,3,3,9,medium,6385875.61,True,in_progress,moderate,7,medium,GEO-IT-00352,IT,00100-07,IT,collateral_register + geo_risk_db,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-003-2022,RISK-003,Chronic heat - commercial real estate,physical_chronic,heat_stress,medium_term,2022,ENT-GROUP-001,Portfolio Risk,FAC-0028093,,COL-00008993,commercial_re,C24.10,2014525.48,3,3,9,medium,711949.04,False,in_progress,moderate,7,medium,GEO-FR-00239,FR,13001-14,FR,collateral_register + geo_risk_db,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-003-2023,RISK-003,Chronic heat - commercial real estate,physical_chronic,heat_stress,medium_term,2023,ENT-NL-004,Portfolio Risk,FAC-0040389,,COL-00012913,commercial_re,F41.20,3891692.8,3,3,9,medium,259364.47,True,in_progress,weak,9,medium,GEO-DE-00076,DE,80331-01,DE,collateral_register + geo_risk_db,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-003-2024,RISK-003,Chronic heat - commercial real estate,physical_chronic,heat_stress,medium_term,2024,ENT-DE-003,Portfolio Risk,FAC-0039013,,COL-00012448,commercial_re,C24.10,3219645.01,4,3,12,medium,1352405.6,True,in_progress,moderate,10,medium,GEO-ES-00166,ES,46001-01,ES,collateral_register + geo_risk_db,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-004-2019,RISK-004,Water stress - agribusiness borrowers,physical_chronic,water_stress,medium_term,2019,ENT-UK-005,Sector Risk,FAC-0016572,,COL-00005368,commercial_re,C24.10,340299.07,2,3,6,low,28276.13,False,in_progress,strong,2,low,GEO-GB-00335,GB,BS1 5AA,GB,collateral_register + geo_risk_db,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-004-2020,RISK-004,Water stress - agribusiness borrowers,physical_chronic,water_stress,medium_term,2020,ENT-UK-005,Sector Risk,FAC-0028111,,COL-00009001,commercial_re,C24.10,1141714.34,2,2,4,low,208508.55,False,in_progress,weak,4,low,GEO-FR-00239,FR,13001-14,FR,collateral_register + geo_risk_db,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-004-2021,RISK-004,Water stress - agribusiness borrowers,physical_chronic,water_stress,medium_term,2021,ENT-BE-008,Sector Risk,FAC-0049446,,COL-00015822,commercial_re,F41.20,4698124.07,2,3,6,low,438947.12,False,in_progress,moderate,4,low,GEO-FR-00239,FR,13001-14,FR,collateral_register + geo_risk_db,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-004-2022,RISK-004,Water stress - agribusiness borrowers,physical_chronic,water_stress,medium_term,2022,ENT-IT-007,Sector Risk,FAC-0021810,,COL-00006982,mortgage,C24.10,44235.63,3,3,9,medium,18419.93,True,not_started,moderate,7,medium,GEO-ES-00166,ES,46001-01,ES,collateral_register + geo_risk_db,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-004-2023,RISK-004,Water stress - agribusiness borrowers,physical_chronic,water_stress,medium_term,2023,ENT-UK-005,Sector Risk,FAC-0038895,,COL-00012409,mortgage,C24.10,8542.52,2,3,6,low,3683.19,False,in_progress,moderate,4,low,GEO-GB-00335,GB,BS1 5AA,GB,collateral_register + geo_risk_db,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-004-2024,RISK-004,Water stress - agribusiness borrowers,physical_chronic,water_stress,medium_term,2024,ENT-FR-002,Sector Risk,FAC-0042552,,COL-00013569,mortgage,H49.41,8368.35,2,3,6,low,1874.84,False,monitored,strong,2,low,GEO-US-00497,US,10001-02,US,collateral_register + geo_risk_db,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-005-2019,RISK-005,Carbon pricing - industrial loans,transition_policy,carbon_pricing,medium_term,2019,ENT-FR-002,Credit Risk,FAC-0030594,CP-0010845,,project_finance,C24.10,87187226.62,4,4,16,high,31283210.48,True,in_progress,weak,16,high,,GB,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-005-2020,RISK-005,Carbon pricing - industrial loans,transition_policy,carbon_pricing,medium_term,2020,ENT-FR-002,Credit Risk,FAC-0003675,CP-0003675,,mortgage,C24.10,53575.45,5,4,20,critical,7842.82,True,implemented,weak,20,critical,,ES,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-005-2021,RISK-005,Carbon pricing - industrial loans,transition_policy,carbon_pricing,medium_term,2021,ENT-IT-007,Credit Risk,FAC-0031115,CP-0007008,,business_loan,C24.10,133607.31,5,4,20,critical,48227.15,False,in_progress,weak,20,critical,,GB,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-005-2022,RISK-005,Carbon pricing - industrial loans,transition_policy,carbon_pricing,medium_term,2022,ENT-GROUP-001,Credit Risk,FAC-0028654,CP-0000828,,business_loan,H49.41,271925.36,4,4,16,high,87305.3,True,in_progress,moderate,14,high,,US,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-005-2023,RISK-005,Carbon pricing - industrial loans,transition_policy,carbon_pricing,medium_term,2023,ENT-IT-007,Credit Risk,FAC-0045993,CP-0008484,,commercial_re,C24.10,31825711.3,4,4,16,high,10998762.19,True,in_progress,strong,12,medium,,FR,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-005-2024,RISK-005,Carbon pricing - industrial loans,transition_policy,carbon_pricing,medium_term,2024,ENT-IT-007,Credit Risk,FAC-0015854,CP-0015854,,business_loan,C24.10,1015911.4,4,4,16,high,320160.09,False,in_progress,strong,12,medium,,DE,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-006-2019,RISK-006,Mandatory climate disclosure non-compliance,transition_policy,climate_disclosure_regulation,short_term,2019,ENT-FR-002,Compliance,FAC-0036230,CP-0011146,,business_loan,F41.20,32278733.0,3,4,12,medium,3425930.4,True,monitored,moderate,10,medium,,DE,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-006-2020,RISK-006,Mandatory climate disclosure non-compliance,transition_policy,climate_disclosure_regulation,short_term,2020,ENT-BE-008,Compliance,FAC-0015522,CP-0015522,,business_loan,L68.20,10331679.4,3,4,12,medium,3759753.72,True,in_progress,strong,8,medium,,FR,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-006-2021,RISK-006,Mandatory climate disclosure non-compliance,transition_policy,climate_disclosure_regulation,short_term,2021,ENT-BE-008,Compliance,FAC-0016806,CP-0016806,,business_loan,H49.41,27998623.76,2,4,8,medium,11118129.78,False,in_progress,moderate,6,low,,BE,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-006-2022,RISK-006,Mandatory climate disclosure non-compliance,transition_policy,climate_disclosure_regulation,short_term,2022,ENT-NL-004,Compliance,FAC-0024595,CP-0012216,,commercial_re,C24.10,3986989.04,4,4,16,high,923222.21,True,in_progress,strong,12,medium,,DE,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-006-2023,RISK-006,Mandatory climate disclosure non-compliance,transition_policy,climate_disclosure_regulation,short_term,2023,ENT-UK-005,Compliance,FAC-0022741,CP-0010450,,business_loan,H49.41,776906.81,4,4,16,high,84270.54,True,in_progress,weak,16,high,,LU,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
