report_section,standard,source_authority,paragraph,source_ref,primary_section,all_report_sections,obligation_type,applicability,applies_to_banks,metric_type,related_paragraphs,requirement_text,covered_in_draft,evidence_sentence,missing_data,qa_comment
governance,S1,core_standard,21(b)(i),S1 ¶21(b)(i) p.9-9,general_requirements,general_requirements;governance;strategy;risk_management;metrics_targets,shall,not_financial_specific,False,,,"An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections: (b) the connections between disclosures provided by the entity: within its sustainability-related financial disclosures—such (i) as connections between disclosures on governance, strategy, risk management and metrics and targets;",,,,
governance,S1,core_standard,6(b)(i),S1 ¶6(b)(i) p.9-9,general_requirements,general_requirements;governance;strategy;risk_management;metrics_targets,shall,not_financial_specific,False,,,"within its sustainability-related financial disclosures —such as connections between disclosures on governance, strategy, risk management and metrics and targets; and",,,,
governance,S1,core_standard,B1,S1 ¶B1 p.26-26,general_requirements,general_requirements;governance;strategy;risk_management;metrics_targets,shall,not_financial_specific,False,,3,"This Standard requires an entity to disclose information about all sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s cash flows, its access to finance or cost of capital over the short, medium or long term (referred to as ‘sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects’) (see paragraph 3).",,,,
governance,S1,core_standard,32(ii)(b),S1 ¶32(ii)(b) p.34-34,general_requirements,general_requirements;governance;strategy;risk_management;metrics_targets,shall,not_financial_specific,False,,,"For example, if an entity integrates its oversight of sustainability-related risks and opportunities, the entity shall integrate the disclosures on governance instead of providing separate disclosures on governance for each sustainability-related risk and opportunity.",,,,
governance,S1,core_standard,42,S1 ¶42 p.43-45,general_requirements,general_requirements;governance;strategy;risk_management;metrics_targets,shall,not_financial_specific,False,,,"If an entity uses this transition relief, it shall disclose that fact.",,,,
governance,S1,core_standard,25(a),S1 ¶25(a) p.10-10,governance,governance,shall,not_financial_specific,False,,26,"Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise in specified circumstances, an entity shall provide disclosures about: governance—the governance processes, controls and procedures the (a) entity uses to monitor and manage sustainability-related risks and opportunities (see paragraphs 26–27);",,,,
governance,S1,core_standard,27(a),S1 ¶27(a) p.10-10,governance,governance,shall,not_financial_specific,False,,,"To achieve this objective, an entity shall disclose information about: (a) the governance body(s) (which can include a board, committee or equivalent body charged with governance) or individual(s) responsible for oversight of sustainability-related risks and opportunities.",,,,
governance,S1,core_standard,27(a)(i),S1 ¶27(a)(i) p.10-10,governance,governance,shall,not_financial_specific,False,,,"Specifically, the entity shall identify that body(s) or individual(s) and disclose information about: (i) how responsibilities for sustainability-related risks and opportunities are reflected in the terms of reference, mandates, role descriptions and other related policies applicable to that body(s) or individual(s);",,,,
governance,S1,core_standard,8(a),S1 ¶8(a) p.10-10,governance,governance,shall,not_financial_specific,False,,26;27,"Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise in specified circumstances, an entity shall provide disclosures about: governance —the governance processes, controls and procedures the entity uses to monitor and manage sustainability-related risks and opportunities (see paragraphs 26–27);",,,,
governance,S1,core_standard,8(a),S1 ¶8(a) p.10-10,governance,governance,shall,not_financial_specific,False,,,"To achieve this objective, an entity shall disclose information about: the governance body(s) (which can include a board, committee or equivalent body charged with governance) or individual(s) responsible for oversight of sustainability-related risks and opportunities. Specifically, the entity shall identify that body(s) or individual(s) and disclose information about:",,,,
governance,S1,core_standard,8(a)(i),S1 ¶8(a)(i) p.10-10,governance,governance,shall,not_financial_specific,False,,,"how responsibilities for sustainability-related risks and opportunities are reflected in the terms of reference, mandates, role descriptions and other related policies applicable to that body(s) or individual(s);",,,,
governance,S1,core_standard,8(a)(ii),S1 ¶8(a)(ii) p.11-11,governance,governance,shall,not_financial_specific,False,,,how the body(s) or individual(s) determines whether appropriate skills and competencies are available or will be developed to oversee strategies designed to respond to sustainability-related risks and opportunities;,,,,
governance,S1,core_standard,8(a)(iii),S1 ¶8(a)(iii) p.11-11,governance,governance,shall,not_financial_specific,False,,,how and how often the body(s) or individual(s) is informed about sustainability-related risks and opportunities;,,,,
governance,S1,core_standard,8(a)(iv),S1 ¶8(a)(iv) p.11-11,governance,governance;strategy;risk_management,shall,not_financial_specific,False,,,"how the body(s) or individual(s) takes into account sustainability-related risks and opportunities when overseeing the entity’s strategy, its decisions on major transactions and its risk management processes and related policies, including whether the body(s) or individual(s) has considered trade-offs associated with those risks and opportunities; and",,,,
governance,S1,core_standard,8(a)(v),S1 ¶8(a)(v) p.11-11,governance,governance;metrics_targets,shall,not_financial_specific,False,,51,"how the body(s) or individual(s) oversees the setting of targets related to sustainability-related risks and opportunities, and monitors progress towards those targets (see paragraph 51 ), including whether and how related performance metrics are included in remuneration policies.",,,,
governance,S1,core_standard,8(a)(v)(b),S1 ¶8(a)(v)(b) p.11-11,governance,governance,shall,not_financial_specific,False,,,"management ’s role in the governance processes, controls and procedures used to monitor, manage and oversee sustainability-related risks and opportunities, including information about: (i) whether the role is delegated to a specific management-level position or management-level committee and how oversight is exercised over that position or committee; and (ii) whether management uses controls and procedures to support the oversight of sustainability-related risks and opportunities and, if so, how these controls and procedures are integrated with other internal functions.",,,,
governance,S1,core_standard,S1(b),S1 ¶S1(b) p.11-11,governance,governance,shall,not_financial_specific,False,,,"management’s role in the governance processes, controls and (b) procedures used to monitor, manage and oversee sustainability-related risks and opportunities, including information about:",,,,
