page,text,char_count
1,"Emirates NBD Group 
2024 IFRS S1 and S2 
Report",47
2,"2
Emirates NBD Group 2024 IFRS S1 and S2 Report",47
3,"Contents
General Requirements   
 4
1.1 Understanding Emirates NBD group’s approach towards implementing IFRS S1
 and IFRS S2 requirements  
 5
1.2 Fair presentation  
 5
1.3 Connected information  
 6
1.4 Comparative information  
 6
1.5 Timing and location of disclosure  
 6
1.6 Reporting entity, business model and value chain  
 6
1.7 Sources of guidance  
 7
1.8 Statement of compliance  
 7
1.9 Materiality assessment  
 7
Governance  
 8
2.1 Overview  
 9
2.2 The role of the board of directors  
 10
2.3 The role of nominated board committees  
 10
2.4 ESG leads & the role of EXCO  
 12
2.5 Role of the working team members  
 14
2.6 Role of additional working groups and committees  
 16
2.7 ESG Governance across asset management  
 17
2.8 ESG Governance within our subsidiaries  
 18
2.9 The ongoing transformation of our governance model  
 18
Strategy  
 19
3.1 Overview  
 20
3.2 Sustainability risks & opportunities across the value chain  
 23
3.3 Strategic management of sustainability related risks & opportunities across our value chain  
 30
3.4 Sustainability linked strategic decision-making  
 38
3.5 Current and future anticipated impact on financial performance  
 38
3.6 Resilience  
 40
3.7 Our approach towards climate change  
 40
3.8 Impact across business and value chain  
 43
3.9 Impact of climate risks on strategy and decision-making  
 45
3.10 Financial effects of climate-related risks and opportunities  
 46
Risk management   
 47
4.1  Sustainability-related risk management overview  
 48
4.2 Upstream sustainability risks  
 48
4.3  Risks management across internal operations  
 48
4.4  Downstream sustainability risks  
 50
4.5 Climate Risk Management  
 52
Metrics and targets  
 55
5.1 Overview  
 56
5.2 Sustainability-related metrics and targets  
 56
5.3 Managing our exposure towards financed emissions  
 62
Appendix:  
 64
ISSB disclosures for S1 and S2  
 64
Appendix 2: Additional information  
 67
7.1 Reports referenced for this document - Emirates NBD (2024)  
 69
7.2 Emirates NBD’S subsidiaries as of 31 December 2024  
 69
Contents
Contents
Contents
3
Emirates NBD Group 2024 IFRS S1 and S2 Report",2158
4,"01
General 
Requirements",24
5,"General Requirements
General Requirements
The information disclosed within this report 
corresponds to the Financial Year 2024. This information 
is complete, neutral and accurate. While preparing this 
report, the Group aimed for:
• 
A complete depiction of a sustainability-related 
risk or opportunity is provided, which includes all 
material information necessary for primary users to 
understand that risk or opportunity
• 
A level of clarity which is dependent on the nature of 
the information, with a focus on presenting as clearly 
as possible, rather than excluding any complex 
assumptions, if any
• 
Presented information free from material error and 
precise corresponding descriptions 
• 
Reasonable assertions and inputs used in developing 
estimates; based on information of sufficient quality 
and quantity 
• 
Information on judgements about the future 
transparently reflecting both those judgements and 
the information on which they are based
• 
Information is presented to explain the context 
and the connections between the related items of 
information
• 
In case of commercially sensitive information 
which may be related to sustainability-related 
opportunities, The Group has assessed whether 
the disclosure of such information may potentially 
impact the Group’s advantage in pursuing the said 
opportunity.
IFRS S1 General Requirements for Disclosure of 
Sustainability-related Financial Information and 
IFRS S2 Climate-related Disclosures, issued by the 
ISSB (International Sustainability Standards Board) in 
June 2023 are the first IFRS sustainability disclosure 
standards. These Standards are yet to be fully endorsed 
by various jurisdictions across the world, including MENA 
countries.
Emirates NBD Group (“Emirates NBD” or “the Group”) 
accedes the IFRS S1 and S2 standard disclosure 
requirements. The Group believes that these measures 
will promote more comprehensive, transparent and 
consistent reporting of sustainability-related financial 
information, while also enhancing governance and 
management of sustainability practices.
IFRS S1 outlines the essential requirements for a 
comprehensive set of sustainability-related financial 
disclosures that an entity must provide regarding 
sustainability-related risks and opportunities. It 
emphasises the importance of governance, strategy, 
risk management, metrics and targets related to these 
risks and opportunities. Such information is deemed 
important to enable existing and potential investors, 
lenders and other creditors estimate the value of the 
reporting entity.
Additionally, IFRS S1 is intended to be used alongside 
IFRS S2, which focuses specifically on climate-related 
disclosures. According to IFRS S2, companies must 
share information about climate-related risks and 
 
1.1 Understanding Emirates NBD group’s approach towards implementing IFRS S1 and IFRS S2 
requirements
 
1.2 Fair presentation
opportunities that could reasonably impact their future, 
including effects on cash flows, access to financing and 
cost of capital in the short, medium and long term.
Given that the standard is a first of its kind initiative, the 
Group’s aim has been to implement the IFRS S1 and 
S2 as much as possible in its fundamental structure 
for the financial year ending 2024 and to integrate it 
in the best way possible in our strategy and approach 
towards the management of sustainability-related risks 
and opportunities, to inform our future strategy and 
reporting.
The Emirates NBD Group 2024 IFRS S1 and S2 report 
(“ISSB Report”) for the year ended 31 December 2024 
comprises of the ESG related financial disclosures for 
Emirates NBD Group and all its subsidiaries. This report 
is the Group’s first voluntary disclosure of IFRS S1 and S2, 
and this should be read in conjunction with the Group’s 
other annual sustainability disclosures for a full view of 
our performance.
5
Emirates NBD Group 2024 IFRS S1 and S2 Report",3950
6,"1.3 Connected information
 
1.6 Reporting entity, business model and value 
chain
 
1.4 Comparative information
 
1.5 Timing and location of disclosure
To ensure consistency across different reports 
published by the Emirates NBD Group, the Group has 
relied on the same data and assumptions in preparing 
the sustainability-related financial disclosures as per 
the reporting boundaries of our Financial report for the 
2024 Financial Year. This includes referencing the same 
accounting policies, methods and estimates used in the 
preparation of the financial statements and the same 
presentation currency i.e. AED (UAE Dirhams).
The sustainability-related financial disclosures 
presented in this report correspond to the same 
reporting group entities and boundaries as the 
corresponding financial statements. Emirates NBD 
Group is in the process of further enhancing internal 
policies and controls in alignment with IFRS S1 and 
S2 requirements to ensure comparable information 
across all identified sustainability-related risks and 
opportunities in coming years and the coverage of 
relevant performance metrics.
The IFRS S1 and S2 disclosures are intended to be 
read alongside the Group’s general-purpose financial 
statements. 
This report is a first voluntary disclosure of the 
requirements of IFRS Standard S1 and S2. The 
information presented in this report represents a 
time frame corresponding to the Financial Year 2024, 
however, to fully contextualise the disclosure, 
Emirates NBD has elaborated on elements which 
potentially align with the Group’s activities within 
the Financial Year 2023. Such elements are clearly 
highlighted within the report. 
The disclosures have been integrated alongside 
annual financial statements, for the Financial Year 
2024 in alignment with guidance provided by the IFRS 
Sustainability Disclosure Standards.
Emirates NBD Bank (P.J.S.C.) was incorporated in the 
UAE on 16 July 2007 consequent to the merger between 
Emirates Bank International P.J.S.C. and National Bank 
of Dubai P.J.S.C. under the Commercial Companies Law 
(Federal Law Number 8 of 1984 as amended) as a Public 
Joint Stock Company.
The Group serves its customers (individuals, businesses, 
governments and institutions) and facilitates their 
financial objectives through a range of banking products 
and services. Emirates NBD offers Islamic products 
through its wholly owned subsidiary Emirates Islamic 
Bank (P.J.S.C.). Emirates Islamic has a presence across 
the UAE with 40 branches. DenizBank A.Ş, which is a 
100% owned subsidiary, became one of the foremost 
names in the Turkish banking industry. The Group has 
operations in the UAE, Egypt, India, Türkiye, the Kingdom 
of Saudi Arabia (“KSA”), Singapore, the United Kingdom, 
Austria, Germany and Bahrain and representative offices 
in China and Indonesia.
General Requirements
The Group’s principal business activities are:
• Corporate and Institutional Banking (C&IB)
• Retail Banking and Wealth Management 
(RBWM)
• Global Markets & Treasury (GM&T)
• Islamic banking 
Emirates NBD’s annual report (Note:36) specify 
the subsidiaries and the key sectors in which 
the Group operates (Refer to Appendix 7.2 for a 
summary of our subsidiaries).
6
Emirates NBD Group 2024 IFRS S1 and S2 Report",3289
7,"1.7 Sources of guidance
 
1.8 Statement of compliance
This report follows the IFRS S1 and S2 requirements for disclosing sustainability related financial information. 
Emirates NBD Group has identified that the following IFRS S2 volumes that are applicable to the operations. 
These are:
This information presented in this report also links to the Emirates NBD Group ESG report 2024 and Emirates NBD 
Group ESG momentum report 2024. Both these reports align with the Global Reporting Initiative (GRI) 2021 Universal 
Standards and Sustainability Accounting Standards Board (SASB) standards, the Dubai Financial Market ESG 
Reporting Guidelines, and applicable guidelines from Central Bank of the UAE (CBUAE). Other references include 
Taskforce for Climate-related Financial Disclosures (TCFD) report 2023, and a Corporate Governance report 2024.
Refer to Appendix 7.1 for a full set of our most recent sustainability-related disclosures, which have been referenced 
during the preparation of this report.
In 2024, the Group has refreshed our existing double materiality assessment to identify issues that matter to 
internal as well as external stakeholders. The process included: 
• 
Assessing the ESG related impact of the business on society, reflecting both internal and external influences.
• 
Evaluating ESG related impact on the business and its entire value chain, considering both financial and non-
financial implications.
• 
Identification, assessment and management of risk and opportunities for the business, integrating financial 
and societal impacts in line with double materiality.
The assessment has been guided by the impact of existing and forthcoming regulations, evolving requirements 
from reporting frameworks, sector, regional and global best practices and benchmarks established by global 
peers. In addition to the existing shortlist of material topics from the previous assessments, this approach 
has allowed Emirates NBD to consider emerging themes such as nature-related risks and opportunities, ESG 
regulations and disclosure requirements as a key focus in the materiality refresh. The assessment was performed 
through a survey which allowed stakeholders to provide valuable input, highlighting the significant ESG issues 
according to stakeholder priorities. This survey covered following set of key stakeholders:
Volume 15 – Asset 
management and 
custody activities
Volume 16 – 
Commercial banking
Volume 18 – Investment banking 
and brokerage services 
General Requirements
General Requirements
As a result of the survey, the five most important and critical areas were identified for Emirates NBD Group from 
a financial materiality perspective and enterprise value creation from a sustainability perspective. This will be 
published as part of the Group 2024 Annual ESG Report. These include:
Internal stakeholders
External stakeholders
Executive 
Committee
Other relevant 
heads
International 
POCs
Investors
Key government 
authorities
Key 
regulators 
Suppliers
NGOs
Sustainable 
Finance
Climate-Related Risks 
and Opportunities
Diversity and Inclusion
Data Privacy and 
Cybersecurity
Corporate Governance 
and Ethics
At Emirates NBD Group, we are dedicated to transparency and to aligning with the IFRS Sustainability Disclosure 
Standards (S1 and S2) as they evolve. Our accounting policies have been consistently applied throughout the 
financial year and in comparative figures. The data is consolidated following the same principles used for our financial 
statements.
We are committed to continuously improving our approach to financial materiality and the implementation of IFRS S1 
and S2, as well as enhancing our related disclosures in the coming years.
 
1.9 Materiality assessment
7
Emirates NBD Group 2024 IFRS S1 and S2 Report",3784
8,"02
Governance",13
9,"2.1 Overview
Sustainability is embedded in the Group’s business 
ethos. Its approach to sustainability is reflected in how 
capital is raised, internal operations are managed, 
financial products are deployed, and how the Group 
engages with the economies and societies in which 
it operates. The Group adapts to evolving market 
conditions within sustainability, while remaining true to its 
core principles.
This commitment to sustainability is possible through a 
governance model managed by the ESG team, with the 
aim of making a positive impact while generating value 
for the shareholders. The 2024 Corporate Governance 
Report and 2024 ESG Report together demonstrate the 
entirety of the governance structure at the Group.
This report further elucidates sustainability governance, 
climate-related risks and opportunities, the strategies 
and the targets and metrics used to manage them. 
Emirates NBD Group’s governance structure ensures 
adequate oversight across a diverse range of 
sustainability considerations across the value chain and 
manages accountability for implementing strategies 
to manage emerging sustainability-related risks and 
opportunities.
Figure-2 depicts our overall sustainability governance 
structure and highlights the board and executive 
level committees that contribute to the Group’s 
sustainability-related decision-making process.
Governance
Governance
The Board of Directors
Oversees the Group’s ESG and climate strategies and guides the group towards its sustainability 
objectives.
Group Executive Committee
Oversees the Group’s exposure to financial and non-financial risks, including sustainability 
and climate change.
Group ESG
Implement actions to progress towards achieving sustainability targets
Board 
Committees
Executive 
Committees
Group 
Heads
Working Teams
ESG Teams within 
Subsidiaries
Additional Working 
Groups and 
Committees
Lines of defence
1st
Leads
Informs
Informs
2nd
3rd
 Investment Banking 
 
Emirates NBD Capital PJSC 
Emirates NBD Capital KSA
Group Corporate 
Affairs
Enterprise Risk 
Management
Group Model Oversight Committee
Sustainable Finance Committee
Group Asset Liability Committee
The Business
Group Credit
Group Risk
Internal Audit
Group ESG committee
This proposed committee will oversee all 
sustainability-related activities across the group
Group Risk Committee
Oversees risk across the Group and reviews and 
recommends risk-related policy documents
Vijay Bains, Chief Sustainability Officer 
and Group Head of ESG 
The CSO leads the Sustainability strategy and implementation 
across the group
Manoj Chawla, Group Chief Risk Officer 
The Group CRO chairs the Group Risk Committee, and is a 
member of the Model Risk Management Committee and the 
Management Credit Committee in his capacity as GCRO
BCIC
Execute oversight on the impact of 
sustainability-related risk on credit 
and investment proposals
Management Credit 
CommitteeManage sustainability-
related risks in the discretionary credit 
portfolio
Responsible Investment
Committee
Asset Management Investment 
Committee
Asset Management Product 
Development Committee
Board Nomination, Remuneration and
ESG Committee (BNRESGC)
Ensures that environmental and social considerations are 
integral to our corporate decision-making processes
Board Risk Committee (BRC)
Identifies high level sustainability-related risks 
across our operations
Asset Management ESG governance
Informs
Informs
Informs
Informs
Informs
Informs
Informs
Figure 2: The ESG Governance and deci-
sion-making process at the Group
DenizBank
Emirates NBD Global 
Services LLC
Emirates Islamic
All other subsidiaries
9
Emirates NBD Group 2024 IFRS S1 and S2 Report",3679
10,"BNRESGC Member’s background and summary of relevant details
Members
Mr. Buti Obaid Buti Al Mulla
Mr. Hesham Abdulla Al Qassim
Mr. Ali Humaid Ali Al Owais
Position
Chairman (Independent Non-
Executive Director)
Member (Non-Independent Non-
Executive Director)
Member (Non-Independent Non-
Executive Director)
Years of experience
33
20
17
Job and related competency 
Mr. Al Mulla has over 33 years of 
professional experience that spans 
the banking, finance, real estate, 
hospitality and investment sectors.
 Mr. Al Qassim has more than 20 years’ 
experience in the banking industry. 
Mr. Al Owais has over 17 years of 
entrepreneurial experience and in the 
investment and real estate sectors.
Qualification(s)
pertaining to the role
 Mr. Al Mulla holds a diploma in 
Business Administration.
Mr. Al Qassim holds a Bachelor’s 
degree in Banking and Finance and 
a Master’s degree in International 
Business Management and in Executive 
Leadership Development.
Mr. Al Owais holds a Bachelor’s degree in 
Business E-Commerce. 
Board Nomination, Remuneration and Environmental Social Governance Committee (BNRESGC) 
The BNRESGC oversees the Group’s alignment with the ESG and corporate sustainability strategy and oversees both risks and opportunities management relating to 
sustainability, including the development of new products, regulatory alignments and capitalisation on emerging ESG trends in the banking sector. The BNRESGC is 
responsible for approving sustainability-related targets for the Group including sustainable finance targets, when proposed by the Chief Sustainability Officer & Group Head 
of ESG. Based on these targets, the BNRESGC also oversees incentives and other emoluments across the Group, deciding on appropriate incentives for the achievement of 
targets (depending on whether a target is “achieved”, “mid-stretched” or “stretched”). The BNRESGC ensures alignment between the Group’s ESG efforts and its long-term 
sustainability goals and adherence to the Group Net Zero pathway by overseeing the implementation and progress of ESG initiatives and programmes and reviewing progress 
every quarter. The BNRESGC is also responsible for reviewing and approving ESG -related documents across the Group, including policies, procedures and disclosures.
The BNRESGC discusses sustainability and climate-related issues during its meetings when consulted by the Chief Sustainability Officer & Group Head of ESG in periodic 
committee meetings. Sustainability and climate related topics are also prioritised as a topic of general discussion in various other committee-led forums which are 
subsequently incorporated into the committee agendas.
The Board of Directors (BOD) is at the forefront of 
ESG governance, serving as the highest authority 
overseeing all sustainability-related matters. They 
play a crucial role in shaping sustainability and 
climate strategies at Emirates NBD, ensuring these 
are integrated into the initiatives and operations 
through the designated Board-level committees.
The BOD has established two key committees: 
the Board Risk Committee (BRC) and the Board 
Nomination, Remuneration and ESG Committee 
(BNRESGC), which hold decision-making authority 
in these areas.
In their annual strategic and financial planning 
sessions, the Board assesses sustainability and 
climate-related risks and opportunities. ESG and 
climate initiatives are monitored and reviewed 
to adapt to evolving markets and regulatory 
conditions, with a formal review conducted 
annually.
 
2.2 The role of the board of directors
 
2.3 The role of nominated board committees
Governance
BNRESGC Member Profile 
10
Emirates NBD Group 2024 IFRS S1 and S2 Report",3688
