risk_id,bank_id,reporting_year,risk_name,risk_category,risk_description,time_horizon,likelihood_score,severity_score,risk_rating,financial_impact_meur,mitigation_actions,erm_integrated_flag,scenario_analysis_link,monitoring_frequency,changed_since_prior_period,ifrs_s2_para_evidence
RISK-BANK01-2023-0001,BANK01,2023,Physical risk — mortgage book flood exposure,physical_acute,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,short_0_2yr,4,5,critical,113.1,Engagement and transition-plan covenants with borrowers,True,SCN0009,monthly,False,§25(a)
RISK-BANK01-2023-0002,BANK01,2023,Reputational risk — financed emissions scrutiny,transition_reputational,Stakeholder and NGO scrutiny of financed emissions and fossil financing could damage brand and trigger client attrition.,long_5yr_plus,5,3,high,29.4,Engagement and transition-plan covenants with borrowers,True,,quarterly,True,§25(a)
RISK-BANK01-2023-0003,BANK01,2023,Stranded assets — fossil fuel sector exposure,transition_market,"Demand shifts away from fossil fuels risk stranding reserves and assets held by oil, gas and coal counterparties, reducing their enterprise value.",medium_2_5yr,4,5,critical,119.3,Green retrofit financing incentives,True,,monthly,False,§25(a)
RISK-BANK01-2023-0004,BANK01,2023,Transition risk — carbon pricing on industrial loans,transition_policy,"Tightening EU ETS and national carbon pricing raise operating costs for carbon-intensive borrowers, increasing default probability in cement, steel and chemicals.",medium_2_5yr,5,3,high,28.9,Sector exposure limits and enhanced due diligence,True,SCN0007,quarterly,True,§25(a)
RISK-BANK01-2023-0005,BANK01,2023,Transition risk — EV shift in auto lending,transition_technology,Rapid electrification could strand internal-combustion vehicle manufacturers and suppliers in the lending book.,short_0_2yr,5,5,critical,414.2,Portfolio decarbonisation glide-path monitoring,True,SCN0007,monthly,False,§25(a)
RISK-BANK01-2023-0006,BANK01,2023,Physical risk — wildfire exposure in southern portfolio,physical_acute,Wildfire frequency in southern European exposures threatens collateral and business continuity for affected counterparties.,long_5yr_plus,4,3,medium,19.4,Green retrofit financing incentives,False,SCN0007,semi_annual,False,§25(a)
RISK-BANK01-2023-0007,BANK01,2023,Transition risk — building energy performance regulation,transition_policy,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",long_5yr_plus,3,4,medium,72.8,Portfolio decarbonisation glide-path monitoring,True,SCN0011,semi_annual,False,§25(a)
RISK-BANK01-2023-0008,BANK01,2023,Physical risk — heat stress on agricultural borrowers,physical_chronic,"Chronic heat and shifting precipitation reduce yields for agricultural counterparties, weakening repayment capacity over the medium term.",long_5yr_plus,4,4,high,88.9,Sector exposure limits and enhanced due diligence,True,SCN0005,quarterly,False,§25(a)
RISK-BANK01-2024-0001,BANK01,2024,Physical risk — mortgage book flood exposure,physical_acute,Residential and commercial mortgage collateral located in flood-prone zones faces rising acute physical risk. Property damage and devaluation could impair collateral coverage.,long_5yr_plus,5,3,high,24.8,Engagement and transition-plan covenants with borrowers,True,SCN0004,quarterly,False,§25(a)
RISK-BANK01-2024-0002,BANK01,2024,Transition risk — building energy performance regulation,transition_policy,"Minimum energy performance standards may require costly retrofits for low-EPC mortgage collateral, reducing values and increasing LTV.",long_5yr_plus,4,3,medium,21.6,Green retrofit financing incentives,False,,semi_annual,False,§25(a)
